,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,15.9,35.2,0.0,,,E,31.0,01:35,24.7,49,,SW,6,1014.9,34.5,22,,SW,15,1010.8
,2025-02-2,21.5,40.5,0.0,,,NE,50.0,22:16,28.9,30,,NNW,9,1010.7,39.2,15,,SW,17,1008.1
,2025-02-3,23.8,41.2,0.0,,,NNE,31.0,09:45,33.2,32,,NNE,11,1008.1,40.3,19,,WSW,15,1006.0
,2025-02-4,24.6,35.0,0.0,,,S,37.0,16:29,28.9,59,,S,2,1008.3,32.2,34,,SSE,17,1008.5
,2025-02-5,17.2,30.9,0.0,,,SE,31.0,06:32,20.2,54,,SE,13,1013.8,29.7,31,,ESE,9,1011.0
,2025-02-6,16.2,34.9,0.0,,,WSW,26.0,15:32,23.4,45,, ,Calm,1009.3,33.7,25,,WSW,11,1007.4
,2025-02-7,16.8,29.6,0.0,,,S,39.0,17:52,22.5,59,,SE,9,1010.7,28.0,36,,SE,20,1009.2
,2025-02-8,17.0,26.9,0.0,,,SE,44.0,09:06,20.2,52,,SE,17,1012.8,26.2,40,,SSE,15,1009.9
,2025-02-9,15.4,29.7,0.0,,,ESE,46.0,00:22,20.1,60,,ESE,7,1012.0,28.9,32,,SE,13,1008.4
,2025-02-10,17.3,33.7,0.0,,,ESE,33.0,23:05,23.0,61,,NE,7,1009.9,32.8,32,,NW,11,1007.7
,2025-02-11,22.6,38.4,0.0,,,NNE,30.0,08:05,28.9,34,,NE,15,1007.3,37.6,15,,SW,15,1006.1
,2025-02-12,28.3,43.3,0.0,,,NNE,30.0,08:56,32.1,27,,NE,13,1005.3,42.1,16,,SW,11,1001.9
,2025-02-13,21.7,26.9,0.0,,,,,,21.7,66,,W,20,1006.7,25.2,55,,SW,24,1006.3
,2025-02-14,17.5,,,,,,,,19.2,68,,SSW,11,1010.8,23.6,52,,SW,19,1011.7
,2025-02-15,16.1,23.3,,,,SSW,46.0,12:09,18.7,55,,S,15,1015.2,23.2,43,,SSW,13,1015.6
,2025-02-16,13.2,24.4,0.0,,,WSW,39.0,13:44,14.9,56,,ENE,9,1021.0,22.2,40,,WNW,17,1018.9
,2025-02-17,14.6,,0.0,,,,,,19.8,34,,NE,13,1020.0,26.8,22,,WSW,17,1017.7
