,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,19.3,24.6,0.0,,,,,,21.9,69,7,SSW,11,1013.8,,,,,,1012.9
,2025-02-2,18.6,24.1,0.0,,,,,,22.4,61,7,NE,9,1012.5,,,,,,1009.1
,2025-02-3,19.2,23.1,0.2,,,,,,19.9,68,8,SSW,13,1015.6,,,,,,1015.0
,2025-02-4,18.1,24.7,0.0,,,,,,21.7,53,4,E,13,1018.7,,,,,,1015.3
,2025-02-5,19.0,25.1,0.0,,,,,,24.0,62,0,E,11,1012.4,,,,,,1008.0
,2025-02-6,20.8,24.2,0.0,,,,,,22.8,68,6,SE,26,1012.5,,,,,,1012.2
,2025-02-7,20.4,25.0,0.0,,,,,,21.6,75,8,SE,31,1015.1,,,,,,1012.4
,2025-02-8,19.5,25.1,0.0,,,,,,22.0,71,8,E,33,1010.1,,,,,,1004.8
,2025-02-9,20.8,27.7,0.0,,,,,,23.4,66,4,NE,9,999.6,,,,,,998.9
,2025-02-10,18.9,25.0,0.0,,,,,,23.0,66,6,W,31,1002.9,,,,,,1002.6
,2025-02-11,17.2,20.3,0.2,,,,,,17.8,84,8,W,15,1004.0,,,,,,1005.7
,2025-02-12,14.0,18.8,11.4,,,,,,17.9,72,4,SW,41,1013.9,,,,,,1016.2
,2025-02-13,15.1,19.8,0.2,,,,,,17.9,82,5,S,20,1021.4,,,,,,1020.7
,2025-02-14,16.6,22.3,0.0,,,,,,19.8,62,6,S,13,1023.4,,,,,,1021.7
,2025-02-15,17.6,25.0,0.0,,,,,,21.8,52,1,ENE,11,1020.0,,,,,,1015.6
,2025-02-16,16.1,29.1,0.0,,,,,,22.0,64,1,SE,7,1011.4,,,,,,1009.9
,2025-02-17,19.8,,0.0,,,,,,21.9,80,8,SE,31,1016.4,,,,,,1017.2
