,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,18.2,36.9,0.0,,,NNE,31.0,21:45,25.1,55.0,,ESE,9.0,1018.7,35.3,22,,E,17,1014.4
,2025-02-2,21.8,38.2,0.0,,,NNE,33.0,23:47,25.8,49.0,,NE,15.0,1018.3,36.3,21,,SSW,11,1013.5
,2025-02-3,22.0,37.8,0.0,,,NNE,31.0,08:02,29.1,32.0,,NE,20.0,1015.1,36.3,21,,WSW,11,1011.8
,2025-02-4,19.4,39.6,0.0,,,ENE,41.0,01:44,27.4,50.0,,SE,9.0,1012.0,37.1,23,,WSW,17,1007.6
,2025-02-5,20.2,38.4,0.0,,,SSE,41.0,17:06,27.1,52.0,,SE,9.0,1009.7,36.9,27,1.0,NNW,11,1006.8
,2025-02-6,19.4,37.0,0.0,,,N,31.0,14:55,25.9,57.0,,SE,9.0,1013.5,34.8,30,,N,13,1009.9
,2025-02-7,23.1,37.5,0.0,,,WNW,72.0,14:31,29.5,45.0,,NNE,22.0,1009.5,30.4,53,1.0,NNE,17,1004.8
,2025-02-8,19.7,29.5,20.8,,,E,28.0,14:37,22.9,78.0,,ESE,9.0,1007.7,27.6,59,1.0,NE,15,1006.3
,2025-02-9,20.4,31.7,0.8,,,SSE,63.0,19:10,24.3,64.0,,SSE,11.0,1009.5,30.1,44,,SE,11,1007.1
,2025-02-10,17.0,31.1,7.6,,,,,,22.4,63.0,,SE,13.0,1011.1,29.4,34,,ESE,17,1008.5
,2025-02-11,,31.8,,,,,,,,,,,,1012.0,30.4,33,,NE,6,1008.6
,2025-02-12,18.8,33.6,,,,NNE,37.0,21:58,23.7,65.0,,SE,11.0,1012.1,32.2,34,,SSE,13,1008.6
,2025-02-13,22.7,34.7,0.0,,,N,43.0,11:59,26.3,50.0,,NE,22.0,1009.0,31.9,34,1.0,N,17,1004.9
,2025-02-14,19.9,30.1,1.6,,,W,44.0,15:39,19.9,76.0,8.0,WSW,13.0,1005.6,26.5,40,7.0,NW,15,1002.9
,2025-02-15,13.5,23.3,0.8,,,WSW,50.0,15:37,15.8,56.0,,W,20.0,1006.8,20.5,35,3.0,WSW,26,1006.0
,2025-02-16,8.1,22.9,0.0,,,WSW,33.0,23:23,12.9,50.0,,WSW,15.0,1014.0,20.2,27,,SE,13,1014.1
,2025-02-17,10.5,,0.0,,,,,,15.8,46.0,,SE,19.0,1020.3,23.6,17,,W,7,1017.5
