,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-03-1,20.7,30.5,0.4,,,SSW,31,03:28,22.1,86,,ESE,7,1016.2,29.3,64,,N,9,1012.6
,2024-03-2,21.9,25.6,0.0,,,SE,24,10:38,24.9,88,,S,4,1011.7,23.6,82,,SE,7,1013.8
,2024-03-3,16.8,32.7,0.0,,,SSW,33,17:14,21.0,85,,WSW,6,1014.3,32.5,23,,SW,19,1009.7
,2024-03-4,18.2,24.6,0.0,,,SSE,28,04:34,19.4,61,,S,9,1022.2,22.6,54,,SE,13,1022.3
,2024-03-5,14.8,27.3,0.0,,,NNE,24,13:06,19.6,66,,SW,4,1024.2,26.2,45,,NE,9,1020.6
,2024-03-6,14.5,32.2,0.0,,,NNE,22,12:47,19.6,81,,SW,4,1021.1,31.7,43,,N,7,1016.0
,2024-03-7,17.9,31.9,0.0,,,SE,31,13:37,27.0,66,,ESE,4,1021.8,29.1,57,,SE,17,1021.0
,2024-03-8,20.4,31.7,0.0,,,E,30,15:57,24.6,72,,WSW,2,1025.3,29.9,49,,NNE,13,1023.5
,2024-03-9,16.1,31.3,0.0,,,NE,31,17:18,21.6,80,, ,Calm,1026.6,30.4,41,,ENE,17,1023.5
,2024-03-10,15.9,31.4,0.0,,,ENE,37,15:58,22.2,82,, ,Calm,1028.1,29.7,45,,NNE,17,1026.3
,2024-03-11,16.3,30.9,0.0,,,NE,30,09:38,22.4,80,, ,Calm,1027.3,28.7,49,,ENE,11,1023.7
,2024-03-12,14.5,35.7,0.0,,,ESE,33,16:02,26.7,57,,NNE,6,1018.6,33.0,36,,SE,20,1014.0
,2024-03-13,16.4,30.4,0.0,,,E,26,15:00,21.4,76,,WSW,4,1017.8,28.9,50,,E,9,1014.5
,2024-03-14,15.4,35.0,0.0,,,S,44,20:54,17.6,99,, ,Calm,1011.0,26.9,62,,SE,20,1008.3
,2024-03-15,16.2,24.9,3.4,,,ESE,33,14:50,17.9,82,,SW,11,1019.4,24.1,53,,SE,17,1020.1
,2024-03-16,14.5,25.0,0.8,,,E,30,10:32,18.2,76,,SW,11,1023.0,24.1,60,,ESE,15,1019.3
,2024-03-17,16.6,23.0,9.6,,,SE,22,15:13,18.0,100,,SE,4,1017.8,20.6,80,,E,7,1014.9
,2024-03-18,16.5,27.1,0.2,,,E,26,19:42,17.2,100,, ,Calm,1015.4,23.6,64,,WSW,4,1014.8
,2024-03-19,17.2,29.6,0.0,,,N,22,15:34,22.4,78,,SE,4,1017.5,28.5,55,,N,9,1014.5
,2024-03-20,17.9,26.4,0.8,,,SSE,41,16:48,20.4,100,, ,Calm,1014.6,25.8,55,,S,9,1016.6
,2024-03-21,11.9,23.2,0.8,,,S,35,01:33,15.9,59,,SW,15,1029.4,21.3,47,,SE,17,1027.5
,2024-03-22,13.1,24.7,0.0,,,NNE,22,15:58,17.2,77,,SW,6,1026.3,23.5,56,,NE,15,1021.8
,2024-03-23,13.4,27.9,0.0,,,ESE,28,14:56,16.7,96,,SW,6,1023.7,27.5,44,,NE,6,1020.7
,2024-03-24,16.7,28.8,0.4,,,ESE,24,17:37,22.4,67,,WNW,2,1020.9,27.1,51,,N,9,1017.2
,2024-03-25,12.7,31.4,0.0,,,WSW,28,13:14,17.0,96,, ,Calm,1019.6,30.1,21,,SSW,9,1016.0
,2024-03-26,12.4,30.6,0.0,,,ESE,33,16:50,18.7,62,,WSW,4,1020.7,29.8,41,,NNE,4,1017.6
,2024-03-27,16.9,27.9,0.0,,,E,28,16:25,21.0,76,,SW,6,1024.4,27.2,49,,E,7,1022.2
,2024-03-28,17.1,27.4,0.0,,,SE,26,15:54,22.8,70,,S,9,1025.4,23.4,64,,ESE,17,1023.5
,2024-03-29,15.7,28.9,0.0,,,ENE,26,14:31,24.7,58,,N,6,1028.0,27.3,43,,ENE,7,1024.9
,2024-03-30,12.4,31.0,0.0,,,E,26,16:26,13.9,99,, ,Calm,1026.3,30.5,36,,SE,9,1022.0
,2024-03-31,13.7,29.4,0.0,,,NE,22,12:39,17.7,100,, ,Calm,1024.2,27.1,39,,NNE,7,1020.0
