,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-03-1,12.9,32.4,0.0,,,W,37.0,11:39,20.0,65,2.0,SSE,7,1013.8,29.8,33,6.0,WNW,19,1012.1
,2024-03-2,13.4,26.1,0.0,,,SSE,37.0,08:59,16.9,62,,S,20,1016.1,24.9,33,,S,13,1015.5
,2024-03-3,6.9,25.2,0.0,,,SSW,41.0,15:18,12.9,65,,SW,11,1017.7,23.7,33,,SW,22,1017.2
,2024-03-4,7.7,28.2,0.0,,,SSE,31.0,13:04,13.6,61,,SSE,17,1021.4,26.7,21,,ESE,17,1018.5
,2024-03-5,9.4,31.6,0.0,,,N,26.0,13:54,15.6,55,,SSE,15,1019.7,29.6,24,,N,11,1016.8
,2024-03-6,15.2,35.7,0.0,,,SSE,39.0,19:38,21.4,38,8.0,SE,7,1016.8,33.4,13,,NW,19,1014.0
,2024-03-7,15.2,30.7,0.0,,,SSE,35.0,00:07,17.6,66,,S,17,1021.9,28.8,27,,S,17,1020.1
,2024-03-8,12.2,33.9,0.0,,,SSE,28.0,05:13,17.0,73,,SE,13,1021.9,31.4,26,,NNW,17,1019.5
,2024-03-9,17.0,38.3,0.0,,,N,44.0,12:46,31.1,32,,N,22,1020.6,37.6,24,3.0,N,30,1017.7
,2024-03-10,18.3,36.4,0.0,,,N,33.0,13:27,29.5,31,,NE,13,1024.6,35.0,19,,NNE,15,1022.1
,2024-03-11,16.3,35.5,0.0,,,N,39.0,13:39,22.6,53,,SSE,9,1023.3,32.8,19,,N,22,1019.2
,2024-03-12,18.6,35.0,0.0,,,,,,23.1,48,8.0,SSE,11,1017.3,33.8,17,8.0,NW,13,1015.0
,2024-03-13,18.0,29.8,,,,SSE,31.0,08:38,18.6,69,8.0,SSE,17,1016.1,29.4,37,,W,2,1012.4
,2024-03-14,16.1,26.3,0.0,,,SSE,46.0,19:28,16.7,74,,S,9,1013.5,25.3,39,8.0,SSE,20,1013.2
,2024-03-15,14.3,29.3,0.0,,,SSE,39.0,00:37,17.2,69,,SSE,19,1018.4,27.6,35,,E,13,1016.8
,2024-03-16,14.7,28.4,0.0,,,ENE,31.0,08:08,20.2,49,,ENE,19,1020.5,27.5,29,,N,20,1015.0
,2024-03-17,13.1,29.0,0.0,,,NNE,39.0,10:15,18.1,70,,E,11,1015.6,25.4,41,1.0,NE,17,1011.8
,2024-03-18,13.7,30.4,0.0,,,NNE,35.0,14:42,24.5,47,,NE,17,1014.7,29.0,34,,NE,19,1012.1
,2024-03-19,15.5,26.3,0.0,,,NNE,44.0,10:14,21.1,64,8.0,NNE,24,1011.4,25.6,52,8.0,NW,17,1009.0
,2024-03-20,10.7,20.4,0.0,,,SW,46.0,08:53,12.3,64,,SSW,19,1022.6,18.8,29,,S,24,1024.0
,2024-03-21,3.1,23.6,0.0,,,E,31.0,10:18,11.8,65,,SSE,11,1029.0,21.4,25,,ESE,15,1025.4
,2024-03-22,8.1,26.4,0.0,,,SSE,41.0,22:39,13.3,66,,SSE,15,1024.6,24.9,26,,N,9,1021.2
,2024-03-23,12.0,23.9,0.0,,,SSE,37.0,23:02,14.6,69,,SSE,15,1024.0,21.6,36,,S,22,1021.7
,2024-03-24,6.1,23.9,0.0,,,WSW,33.0,15:32,10.5,72,,SW,6,1023.6,23.7,34,,S,13,1019.9
,2024-03-25,6.4,26.3,0.0,,,WSW,28.0,13:40,12.7,75,,NNW,6,1020.8,24.2,35,,W,13,1018.5
,2024-03-26,7.8,25.7,0.0,,,W,33.0,12:39,13.8,77,,SSE,7,1021.5,25.5,33,,W,15,1019.9
,2024-03-27,11.2,24.7,0.0,,,SSE,39.0,16:41,14.4,72,,S,15,1024.4,23.8,30,,SSE,20,1023.3
,2024-03-28,11.2,25.5,0.0,,,SSE,33.0,08:31,18.6,48,,S,20,1024.9,23.8,30,,SSE,11,1022.8
,2024-03-29,7.1,29.1,0.0,,,SSE,28.0,00:12,13.1,78,,SSE,11,1025.2,26.8,25,,NNE,13,1022.8
,2024-03-30,10.7,32.0,0.0,,,SSE,30.0,22:12,19.3,39,1.0,SSE,11,1025.0,31.1,10,,SW,9,1022.5
,2024-03-31,11.8,32.6,0.0,,,WNW,30.0,14:29,17.5,49,,SSE,11,1022.1,31.5,16,,NW,20,1018.0
