,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-01-1,20.4,30.0,0.0,7.6,10.4,ENE,26.0,16:10,27.0,59,7,E,6.0,1013.9,28.3,53,5,E,13.0,1010.7
,2025-01-2,22.7,27.8,0.8,9.0,1.8,ESE,30.0,16:11,22.9,89,8,S,4.0,1014.7,26.9,55,8,ESE,9.0,1013.7
,2025-01-3,19.7,29.6,3.0,5.0,7.3,ENE,37.0,12:19,25.0,82,7,NNE,4.0,1017.1,28.7,52,7,ESE,15.0,1015.1
,2025-01-4,20.0,29.1,3.6,7.0,13.0,E,33.0,14:57,26.6,63,3,SE,11.0,1018.0,26.5,57,5,E,15.0,1016.5
,2025-01-5,18.5,28.8,0.8,9.2,12.4,ENE,26.0,14:11,25.1,63,7,SW,2.0,1018.9,27.0,56,2,ENE,11.0,1016.8
,2025-01-6,18.6,29.4,0.0,8.2,13.2,ENE,26.0,13:44,27.9,58,3,E,6.0,1018.7,28.1,55,1,NE,11.0,1015.9
,2025-01-7,18.3,29.9,0.0,7.6,13.0,ENE,24.0,15:55,26.9,58,2,S,4.0,1016.9,27.7,56,5,ENE,11.0,1013.9
,2025-01-8,21.3,29.8,0.0,9.4,10.2,S,26.0,21:37,26.4,60,7,WNW,4.0,1014.6,29.5,50,4,N,7.0,1011.7
,2025-01-9,18.4,29.4,19.2,7.2,6.5,E,28.0,14:42,26.2,68,6,WSW,6.0,1013.9,23.2,83,7,E,13.0,1012.3
,2025-01-10,20.8,29.3,13.8,5.4,7.4,ENE,30.0,14:00,26.3,77,7,E,6.0,1014.5,26.3,70,7,ENE,13.0,1011.1
,2025-01-11,20.9,27.1,17.6,5.4,1.0,E,20.0,11:00,23.9,85,7,SE,6.0,1012.0,21.8,96,8,ENE,4.0,1009.3
,2025-01-12,20.6,28.2,66.0,4.6,8.5,E,22.0,16:14,24.2,82,7,ESE,7.0,1009.9,25.7,74,5,E,7.0,1007.1
,2025-01-13,20.8,30.0,8.8,9.4,9.8,E,26.0,14:21,25.8,75,6,SW,4.0,1009.3,28.5,66,6,E,11.0,1006.1
,2025-01-14,21.4,30.9,0.4,3.4,11.8,ENE,22.0,13:18,27.5,67,6,ENE,4.0,1008.7,30.0,63,2,ENE,7.0,1006.4
,2025-01-15,22.2,34.1,0.4,7.4,11.7,NNE,26.0,18:42,28.7,63,7,NNE,4.0,1006.9,32.3,60,7,NE,9.0,1001.2
,2025-01-16,25.1,37.4,0.0,7.0,12.0,WSW,44.0,13:51,30.9,63,1,NE,4.0,999.5,32.9,49,5,W,6.0,994.4
,2025-01-17,18.6,31.2,1.0,14.0,9.8,W,22.0,13:58,25.7,48,1,W,6.0,1004.9,29.4,39,7,SSE,6.0,1002.3
,2025-01-18,22.0,30.2,0.6,6.6,6.7,SE,35.0,23:00,27.3,56,3,SSW,7.0,1005.4,28.9,57,3,E,4.0,1004.3
,2025-01-19,20.9,29.8,38.6,9.2,7.6,ESE,33.0,14:27,26.5,65,7,SE,13.0,1010.0,26.7,63,5,ESE,13.0,1009.1
,2025-01-20,19.5,29.7,0.0,7.4,12.7,E,24.0,15:47,24.6,58,1,SW,7.0,1011.3,29.2,51,6,NE,7.0,1008.8
,2025-01-21,20.7,31.4,0.0,7.0,11.3,NE,24.0,16:26,27.1,60,7,N,6.0,1012.3,29.3,63,2,NNE,9.0,1008.8
,2025-01-22,22.7,36.4,0.0,7.4,11.5,,,,29.8,67,1,W,4.0,1008.9,35.8,52,1,NE,7.0,1004.9
,2025-01-23,23.7,31.0,,8.2,10.1,,,,29.4,61,6,,,1009.0,29.9,55,1,NNE,13.0,1006.3
,2025-01-24,24.3,35.5,0.4,8.0,1.0,SSE,41.0,19:39,28.3,75,7,NE,4.0,1003.6,35.4,54,8,NNW,6.0,1001.3
,2025-01-25,23.8,30.4,4.8,7.2,11.7,,,,27.8,60,6,E,11.0,1013.8,29.5,59,2,E,13.0,1011.0
,2025-01-26,21.0,30.1,0.0,9.0,11.3,,,,28.0,65,5,ESE,6.0,1014.4,29.3,62,1,NE,7.0,1012.4
,2025-01-27,23.5,29.6,0.0,8.0,6.7,,,,27.1,71,7,,,1016.5,28.1,63,6,,,1014.8
,2025-01-28,20.0,30.9,0.0,7.8,13.0,,,,28.4,55,2,NNW,6.0,1016.2,30.0,53,1,ENE,9.0,1013.2
,2025-01-29,20.9,31.6,0.0,7.2,12.4,E,24.0,15:25,29.1,62,4,ENE,6.0,1014.3,29.9,58,1,NE,9.0,1011.1
,2025-01-30,21.9,31.2,0.0,9.2,11.1,E,24.0,14:14,27.3,71,6,ENE,4.0,1011.9,29.6,58,1,ENE,11.0,1010.1
,2025-01-31,22.2,31.7,0.0,5.4,12.2,NE,30.0,13:41,28.5,70,4,NNE,6.0,1012.2,30.1,59,1,ENE,13.0,1012.3
