,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,12.3,30.1,0.0,,,E,39.0,15:46,18.3,75,8.0,SE,11,1021.3,28.8,41,1.0,NE,20,1017.8
,2025-02-2,17.1,33.1,0.0,,,E,39.0,15:44,20.1,65,8.0,E,9,1020.6,31.2,24,,ESE,17,1015.8
,2025-02-3,10.6,34.1,0.0,,,NE,35.0,16:02,20.4,63,,SSE,9,1018.2,32.8,24,,NW,11,1013.9
,2025-02-4,13.4,35.7,0.0,,,NNW,52.0,15:12,22.1,72,,NW,6,1014.3,33.3,27,3.0,NW,24,1009.4
,2025-02-5,19.8,34.4,0.0,,,S,54.0,14:27,24.4,54,7.0,ESE,9,1011.3,31.2,34,8.0,WNW,13,1008.8
,2025-02-6,14.7,33.4,4.6,,,ENE,33.0,19:06,19.7,77,8.0,SE,6,1015.3,31.9,32,,NNW,19,1011.9
,2025-02-7,14.0,35.4,0.0,,,W,78.0,20:46,21.8,76,,SW,7,1012.1,33.5,32,,NW,15,1007.5
,2025-02-8,16.8,31.3,5.8,,,SE,41.0,15:45,21.5,79,,SE,6,1009.2,28.1,45,8.0,WNW,15,1005.5
,2025-02-9,14.2,29.1,0.0,,,SSE,50.0,15:11,21.2,71,5.0,E,15,1011.1,29.0,40,4.0,NNW,9,1008.3
,2025-02-10,15.3,26.0,16.8,,,S,48.0,18:57,16.5,98,8.0,SW,9,1011.3,25.4,48,,N,9,1009.9
,2025-02-11,11.8,25.7,1.6,,,SE,24.0,13:40,17.3,81,1.0, ,Calm,1012.2,24.0,47,8.0,SSE,17,1009.8
,2025-02-12,11.7,28.1,0.8,,,ENE,43.0,16:14,17.9,89,,SSE,7,1013.7,26.4,48,6.0,E,20,1011.1
,2025-02-13,16.4,30.2,0.0,,,NE,37.0,11:41,22.5,70,7.0,NE,24,1011.4,27.2,52,8.0,NE,19,1007.4
,2025-02-14,18.2,25.7,10.0,,,WNW,52.0,16:17,18.7,100,8.0,SE,9,1006.4,24.6,67,8.0,N,13,1003.3
,2025-02-15,12.8,22.1,7.6,,,WNW,50.0,10:02,17.1,75,,NW,17,1002.9,21.3,32,,W,28,1002.3
,2025-02-16,3.2,19.7,0.0,,,SSW,43.0,09:39,10.5,47,,S,17,1009.9,18.1,30,3.0,SW,13,1010.6
,2025-02-17,4.1,,0.0,,,,,,12.1,60,,SE,13,1019.7,21.2,27,,NE,9,1016.6
