,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,12.0,33.0,0.0,,,ESE,28.0,08:58,16.4,75,,E,13,1018.2,29.5,24,,N,7,1014.2
,2025-02-2,15.2,39.6,0.0,,,SSW,35.0,14:53,22.0,70,,S,7,1012.2,33.4,42,,SW,20,1009.5
,2025-02-3,16.2,39.6,0.0,,,NNW,48.0,11:07,27.4,52,,N,11,1010.0,35.0,36,,SSW,24,1008.0
,2025-02-4,22.4,25.6,0.0,,,S,48.0,15:04,23.9,65,,W,13,1009.2,24.5,51,,SSE,24,1011.4
,2025-02-5,12.7,24.1,0.0,,,SE,52.0,13:28,16.8,53,,ESE,31,1015.9,23.0,39,,ESE,30,1015.0
,2025-02-6,14.5,30.8,0.0,,,SSW,31.0,13:50,20.1,78,,E,13,1011.5,28.9,40,,SSW,19,1009.2
,2025-02-7,15.0,25.5,0.0,,,S,44.0,14:51,19.1,80,,SSE,17,1010.7,23.0,53,,SSE,26,1011.3
,2025-02-8,13.9,23.1,0.0,,,ESE,50.0,14:26,17.2,62,,SSE,22,1014.4,20.7,45,,SE,28,1013.4
,2025-02-9,15.6,21.9,1.0,,,SE,61.0,13:33,17.9,76,,SE,28,1013.7,20.7,61,,SE,41,1012.8
,2025-02-10,16.9,29.5,0.0,,,ESE,48.0,07:38,20.1,71,,ESE,24,1014.3,28.4,45,,ESE,28,1012.1
,2025-02-11,17.1,35.1,0.0,,,E,33.0,23:40,21.2,72,,ENE,13,1012.1,32.8,27,,ENE,9,1009.1
,2025-02-12,17.2,39.7,0.0,,,S,41.0,15:02,23.5,65,,E,6,1009.1,38.7,15,,ESE,9,1005.9
,2025-02-13,21.2,28.0,0.0,,,NW,57.0,14:32,21.5,67,,SW,7,1002.2,26.4,40,,WNW,22,1002.0
,2025-02-14,13.4,22.1,0.0,,,SW,39.0,13:20,16.1,82,,NW,9,1008.3,20.9,50,,SSW,24,1008.9
,2025-02-15,11.2,,4.2,,,S,57.0,14:09,13.5,76,,SSW,19,1011.3,16.7,48,,SSW,20,1014.1
,2025-02-16,,19.9,0.8,,,SSE,39.0,14:56,11.9,85,, ,Calm,1020.0,18.0,41,,SSE,19,1020.9
,2025-02-17,3.8,,0.0,,,,,,10.4,77,,NE,2,1022.7,23.8,22,,WSW,7,1019.6
