,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-07-1,22.8,32.7,0.0,6.8,10.7,E,41,09:31,26.9,62,5.0,ESE,20,1013.6,31.5,48,2.0,NE,26,1010.6
,2024-07-2,22.3,32.6,0.0,6.4,10.9,ESE,50,10:39,25.9,68,1.0,SE,17,1016.0,32.0,37,1.0,E,19,1012.3
,2024-07-3,20.0,31.7,0.0,8.4,11.0,ESE,44,09:10,20.2,65,,SE,20,1016.5,30.9,29,1.0,SE,17,1013.1
,2024-07-4,19.4,29.7,0.0,9.8,11.0,SE,48,08:34,19.4,49,,SSE,24,1016.8,28.9,24,0.0,SSE,20,1012.8
,2024-07-5,17.6,30.3,0.0,8.6,11.0,ESE,39,10:39,20.0,40,1.0,SE,22,1015.6,28.4,27,,E,11,1012.9
,2024-07-6,18.9,31.4,0.0,6.2,9.5,ENE,28,12:03,22.9,53,1.0,SE,11,1014.1,30.3,49,6.0,NW,19,1010.4
,2024-07-7,22.4,33.6,0.0,4.2,10.4,E,31,10:42,26.1,72,3.0,S,6,1014.2,32.5,44,4.0,E,13,1010.8
,2024-07-8,22.0,33.1,0.0,5.2,10.3,ENE,35,11:36,26.0,68,3.0,ESE,20,1014.7,32.7,42,5.0,E,15,1010.3
,2024-07-9,22.0,33.6,0.0,6.0,10.4,NNE,37,15:43,25.9,67,2.0,E,19,1015.2,33.0,37,3.0,NNE,20,1011.7
,2024-07-10,20.7,33.8,0.0,6.2,10.4,E,44,12:54,21.5,92,,SE,6,1015.9,32.6,31,1.0,E,17,1012.2
,2024-07-11,19.9,33.1,0.0,6.6,10.2,SE,37,12:35,20.5,94,,E,4,1015.8,32.0,30,2.0,SSE,15,1011.1
,2024-07-12,18.4,31.6,0.0,7.6,10.3,NNW,35,16:31,19.1,92,,E,2,1012.8,29.7,38,,S,15,1010.0
,2024-07-13,18.8,31.8,0.0,6.6,10.0,WNW,37,12:58,24.3,75,6.0,NE,6,1012.9,29.8,44,3.0,NW,19,1009.2
,2024-07-14,19.0,29.9,0.0,6.2,7.5,N,24,15:08,19.1,86,,ENE,2,1014.2,28.4,48,,WNW,11,1012.2
,2024-07-15,18.6,30.4,0.0,4.0,10.7,N,35,15:37,19.8,87,,SE,4,1013.5,27.9,55,4.0,NNW,20,1010.2
,2024-07-16,19.1,30.1,0.0,5.4,9.9,N,33,16:51,23.8,66,5.0,SE,17,1016.2,28.7,53,5.0,NW,17,1012.4
,2024-07-17,18.2,28.7,0.0,6.2,11.2,SE,46,10:18,20.8,34,3.0,SE,28,1019.0,27.8,14,1.0,SE,22,1013.8
,2024-07-18,14.8,26.9,0.0,9.4,10.8,E,46,10:30,18.5,37,1.0,SE,15,1021.3,24.8,26,,SE,22,1017.3
,2024-07-19,15.2,27.1,0.0,7.0,11.1,ESE,39,10:19,18.6,39,0.0,E,22,1019.9,26.0,23,1.0,ENE,6,1015.0
,2024-07-20,15.4,29.8,0.0,6.0,11.3,E,33,10:22,22.0,43,1.0,ESE,19,1017.7,28.1,35,1.0,WNW,19,1014.1
,2024-07-21,17.3,31.0,0.0,6.0,11.2,E,48,11:20,21.3,40,1.0,E,22,1018.5,29.8,14,1.0,ESE,9,1014.7
,2024-07-22,17.9,30.7,0.0,7.8,11.1,ESE,44,12:29,22.4,31,1.0,E,20,1018.2,30.1,18,1.0,ESE,19,1014.3
,2024-07-23,18.3,30.8,0.0,7.4,11.2,E,31,10:57,18.4,61,,ESE,7,1016.5,29.6,28,,ESE,17,1014.2
,2024-07-24,19.2,31.3,0.0,8.0,9.7,NNE,30,16:13,23.3,59,5.0,SE,11,1014.7,31.2,43,1.0,NW,19,1011.0
,2024-07-25,22.7,32.2,0.0,3.6,9.1,NNE,31,15:25,25.4,78,4.0,E,11,1013.8,30.9,48,2.0,NNE,22,1009.7
,2024-07-26,23.7,31.9,2.4,4.6,6.8,NE,39,10:35,25.0,87,7.0,NE,17,1014.1,30.3,54,6.0,ENE,20,1011.6
,2024-07-27,24.9,30.2,0.0,6.2,1.2,SSW,19,11:50,27.2,71,7.0,ENE,6,1016.5,28.9,62,7.0,WNW,9,1012.5
,2024-07-28,24.2,32.6,0.0,3.4,5.4,E,33,13:23,26.3,75,7.0,E,15,1016.1,31.3,46,4.0,N,11,1011.3
,2024-07-29,23.6,32.4,0.0,5.4,10.6,ESE,48,09:31,25.2,51,3.0,ESE,28,1016.1,30.7,40,,E,20,1013.2
,2024-07-30,21.5,32.3,0.0,8.0,9.9,E,44,11:06,23.2,56,,ESE,15,1017.0,30.8,45,1.0,NE,20,1013.3
,2024-07-31,22.5,33.7,0.0,8.0,11.1,E,41,10:17,25.5,56,0.0,SE,15,1018.3,32.5,31,0.0,ESE,17,1013.6
