,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,22.9,29.0,3.6,,,SE,61.0,19:01,25.6,84,,SE,17,1017.0,28.3,70,,SE,35,1015.5
,2025-02-2,22.7,28.6,1.0,,,SE,59.0,16:23,26.8,67,,SSE,22,1016.4,26.9,71,,SE,37,1014.5
,2025-02-3,23.7,27.9,2.6,,,ESE,54.0,00:45,26.4,74,,ESE,30,1016.0,26.5,69,,SE,30,1014.2
,2025-02-4,22.8,28.3,6.2,,,E,43.0,03:35,25.4,81,,ESE,24,1014.6,27.0,75,,E,26,1012.4
,2025-02-5,23.1,27.5,2.6,,,ESE,31.0,10:28,24.5,88,,SW,7,1012.2,24.9,84,,E,13,1010.5
,2025-02-6,22.0,29.3,2.0,,,SE,50.0,15:51,27.1,73,,SSE,19,1013.0,27.9,71,,SE,22,1011.1
,2025-02-7,21.7,29.3,0.4,,,SSE,44.0,12:55,27.7,67,,SSE,13,1011.7,26.0,68,,SE,20,1009.9
,2025-02-8,20.4,28.6,0.0,,,SE,30.0,12:09,27.6,66,,SSE,15,1010.5,26.8,65,,E,17,1008.0
,2025-02-9,21.4,29.3,0.0,,,E,33.0,15:39,27.4,62,,SE,17,1010.8,27.6,68,,ESE,22,1008.5
,2025-02-10,23.1,29.2,8.6,,,E,37.0,02:28,27.4,71,,ENE,13,1011.5,28.2,62,,E,15,1009.7
,2025-02-11,22.0,28.7,0.0,,,NE,31.0,19:12,27.3,75,,SE,7,1012.0,27.2,76,,ENE,20,1009.3
,2025-02-12,23.5,29.8,0.0,,,E,37.0,20:37,27.4,72,,E,4,1012.2,27.2,73,,ENE,19,1010.0
,2025-02-13,21.7,28.3,38.0,,,SSE,50.0,08:01,22.0,94,,SSE,22,1013.0,26.1,74,,ESE,28,1009.5
,2025-02-14,21.6,28.1,10.4,,,SE,31.0,07:44,26.6,80,,SSE,17,1009.7,27.6,75,,E,15,1006.8
,2025-02-15,23.6,30.4,0.4,,,NE,35.0,15:35,25.7,85,,N,9,1003.0,29.5,75,,NE,26,1000.2
,2025-02-16,23.9,29.5,0.0,,,SSE,54.0,21:21,27.7,71,,SSE,20,1005.2,27.5,74,,SE,35,1005.6
,2025-02-17,21.6,,0.0,,,,,,24.7,56,,S,19,1016.2,25.0,69,,SE,35,1014.0
