,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-03-1,13.2,24.6,0.0,,,NW,59.0,14:23,18.0,52.0,,NNW,17,1009.9,23.9,38,,NW,24,1006.4
,2024-03-2,11.9,20.1,0.0,,,WNW,80.0,21:30,12.6,61.0,,SSW,13,1014.0,18.7,35,,W,9,1013.9
,2024-03-3,12.7,15.7,0.0,,,WSW,94.0,08:34,14.7,47.0,,WSW,46,1003.8,14.8,43,,SW,39,1011.9
,2024-03-4,8.9,17.6,0.6,,,S,43.0,10:58,11.4,53.0,,WSW,11,1025.7,16.3,47,,ESE,24,1024.9
,2024-03-5,8.0,23.7,0.0,,,NNW,35.0,07:23,12.0,68.0,,NNW,20,1019.9,21.6,42,,SE,20,1017.5
,2024-03-6,11.4,27.4,0.0,,,NW,50.0,16:53,16.2,61.0,,N,13,1014.0,26.6,29,,NNW,13,1011.7
,2024-03-7,11.9,,0.0,,,WNW,39.0,02:03,16.5,46.0,,NNW,9,1024.9,18.2,54,,SE,24,1025.4
,2024-03-8,,,0.0,,,,,,,,,NNW,7,1027.7,20.0,58,,SE,22,1025.4
,2024-03-9,13.5,33.8,0.0,,,,,,16.9,74.0,,NNW,17,1020.5,32.7,30,,N,33,1013.4
,2024-03-10,16.9,20.6,0.0,,,NNW,33.0,00:05,19.8,76.0,,ESE,17,1017.8,17.7,81,,SE,20,1023.0
,2024-03-11,14.7,25.3,6.2,,,NW,44.0,22:46,16.8,92.0,,NNW,30,1021.8,21.5,75,,SE,11,1016.3
,2024-03-12,15.8,19.7,0.2,,,SSE,54.0,13:25,17.6,59.0,,S,19,1016.5,17.5,46,,SSW,30,1018.7
,2024-03-13,10.2,19.1,0.0,,,SE,39.0,15:56,13.1,61.0,,N,7,1021.2,18.5,50,,SE,24,1017.0
,2024-03-14,9.9,17.0,0.0,,,SSE,56.0,14:57,13.6,61.0,,NNW,9,1017.8,16.1,52,,SSE,35,1018.1
,2024-03-15,7.4,17.8,0.0,,,ESE,35.0,14:42,11.3,65.0,,N,13,1026.0,16.7,51,,SE,22,1024.5
,2024-03-16,7.9,18.8,0.0,,,SE,31.0,15:14,13.1,73.0,,ESE,4,1024.9,18.5,55,,SE,17,1021.8
,2024-03-17,11.8,26.4,0.0,,,SSE,35.0,14:53,14.3,77.0,,NNW,22,1018.7,25.6,31,,NNE,13,1016.2
,2024-03-18,13.8,29.8,0.0,,,N,46.0,13:44,17.0,69.0,,NNW,15,1018.2,28.4,29,,N,24,1015.4
,2024-03-19,17.0,29.4,0.0,,,N,74.0,12:17,23.8,62.0,,N,7,1009.4,28.7,37,,N,43,1000.8
,2024-03-20,10.6,16.8,1.4,,,SW,63.0,12:32,11.1,61.0,,WSW,17,1015.3,14.9,36,,W,19,1019.2
,2024-03-21,8.6,22.0,0.0,,,NNW,46.0,12:22,14.2,61.0,,NNW,22,1026.3,20.4,37,,NNW,30,1024.4
,2024-03-22,9.2,22.0,0.0,,,NNW,44.0,12:19,12.5,71.0,,NNW,15,1022.4,21.0,40,,NW,26,1019.5
,2024-03-23,10.2,21.6,0.0,,,NNW,61.0,20:53,12.7,61.0,,SW,4,1025.7,20.8,35,,NNW,24,1019.8
,2024-03-24,12.2,19.8,0.0,,,WNW,56.0,10:12,15.1,66.0,,ENE,6,1010.2,18.6,45,,WNW,28,1009.4
,2024-03-25,14.4,21.7,0.0,,,WNW,80.0,04:13,16.5,56.0,,NW,28,1005.0,18.2,56,,E,17,1008.5
,2024-03-26,13.7,20.7,0.0,,,NNW,46.0,14:03,15.3,55.0,,N,13,1012.6,18.9,47,,NNW,28,1013.9
,2024-03-27,9.6,20.1,0.0,,,SE,37.0,14:16,13.9,63.0,, ,Calm,1023.1,17.0,55,,SE,26,1022.5
,2024-03-28,7.8,18.9,0.0,,,SE,30.0,15:12,11.8,68.0,,NNW,15,1027.1,18.1,51,,ESE,17,1025.7
,2024-03-29,10.6,20.6,0.0,,,SE,41.0,15:44,12.8,79.0,,NNW,13,1026.6,19.1,63,,SE,26,1024.4
,2024-03-30,12.8,17.7,0.0,,,SE,30.0,15:15,15.5,79.0,,SW,2,1024.8,17.5,73,,SE,19,1024.0
,2024-03-31,12.8,20.1,0.2,,,ESE,22.0,14:18,13.8,88.0,,N,6,1024.5,19.6,59,,SE,17,1020.8
