,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,13.1,33.6,0.0,8.0,11.5,SSE,33.0,13:05,17.5,72,4,W,4,1019.8,30.6,40,1,S,20,1014.6
,2025-02-2,17.4,39.5,0.0,10.8,9.7,N,74.0,08:43,27.9,41,7,NNE,50,1014.2,37.3,25,6,N,35,1011.7
,2025-02-3,20.1,38.6,8.6,16.4,5.7,NNE,50.0,09:10,27.5,48,5,NNE,24,1011.3,36.8,21,7,NE,20,1010.1
,2025-02-4,23.2,38.7,0.0,12.8,5.9,SSE,50.0,14:10,28.4,38,6,N,22,1008.3,38.4,21,7,WSW,26,1006.1
,2025-02-5,16.5,25.2,0.0,10.4,9.5,S,39.0,02:22,17.0,63,7,S,20,1014.9,23.3,44,2,S,13,1012.9
,2025-02-6,16.0,37.8,0.0,8.0,12.6,WNW,52.0,12:48,20.6,73,0,NE,7,1011.8,36.1,21,1,N,26,1008.0
,2025-02-7,17.2,24.1,0.0,9.4,1.0,S,43.0,16:49,19.8,83,7,SW,13,1009.2,23.3,65,7,S,20,1008.8
,2025-02-8,15.5,20.9,0.0,4.4,0.2,SSE,44.0,20:10,17.4,64,7,SSW,20,1012.4,20.1,59,8,S,19,1010.7
,2025-02-9,16.9,29.2,0.0,4.0,9.3,SSE,54.0,15:48,19.8,66,4,SSE,13,1011.4,27.6,45,7,SSE,26,1008.7
,2025-02-10,16.5,28.1,0.0,8.2,11.0,SSE,57.0,17:58,21.0,71,6,SSE,24,1014.4,26.9,46,3,ESE,30,1012.5
,2025-02-11,16.7,31.4,0.0,7.6,10.7,SSE,37.0,14:52,20.2,77,7,WNW,6,1013.1,29.3,41,1,SSE,20,1010.2
,2025-02-12,16.7,35.2,0.0,8.8,12.6,SSW,39.0,13:49,21.1,79,1,NNE,6,1011.7,33.8,32,1,S,19,1007.7
,2025-02-13,21.0,34.7,0.0,12.6,2.9,NNE,76.0,07:40,25.8,50,7,NNE,50,1004.3,32.6,33,8,N,48,1000.5
,2025-02-14,13.6,25.4,0.6,10.8,7.6,S,41.0,15:04,17.8,68,3,W,9,1007.6,22.0,51,7,SE,20,1005.4
,2025-02-15,10.7,18.5,8.2,5.0,4.9,SW,70.0,14:01,13.9,71,7,W,26,1008.0,14.4,54,7,SSW,43,1010.0
,2025-02-16,8.4,19.6,2.8,5.4,9.4,S,61.0,15:10,11.3,72,5,SW,28,1016.7,17.6,42,5,S,33,1018.6
,2025-02-17,10.5,,0.8,6.2,,,,,14.5,57,1,SW,7,1021.8,21.2,37,3,SSE,13,1019.2
