,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,16.8,41.3,0.0,,,SE,30.0,07:34,22.3,45,,SE,20,1014.6,38.2,24,,E,6,1010.2
,2025-02-2,22.2,43.2,0.0,,,NE,69.0,17:52,31.6,34,8.0, ,Calm,1011.5,41.3,15,3.0,N,7,1008.8
,2025-02-3,24.2,38.0,1.6,,,NE,46.0,23:57,27.5,51,,ENE,19,1012.0,35.6,28,5.0,N,19,1009.1
,2025-02-4,23.1,41.5,0.0,,,SE,44.0,18:34,27.7,53,,NNE,11,1009.1,40.5,15,1.0,WSW,17,1006.2
,2025-02-5,18.4,35.3,0.0,,,SSE,39.0,23:14,20.0,61,,SSE,20,1011.1,32.2,29,,S,17,1009.4
,2025-02-6,18.8,40.5,0.0,,,W,30.0,16:19,24.2,42,,SE,13,1009.7,39.2,18,,W,13,1007.4
,2025-02-7,23.9,38.3,0.0,,,SSW,35.0,13:10,25.9,35,1.0,SW,13,1007.3,36.5,16,,SW,11,1006.5
,2025-02-8,17.1,32.6,0.0,,,SSE,41.0,01:35,19.0,57,,SSE,20,1010.1,30.2,21,,SSW,20,1008.0
,2025-02-9,16.1,33.4,0.0,,,SSE,35.0,00:11,19.3,64,,SSE,13,1010.2,30.4,24,,ESE,9,1007.1
,2025-02-10,17.2,34.9,0.0,,,SSE,31.0,00:18,20.9,65,,SSE,19,1009.3,32.6,18,,ENE,13,1007.2
,2025-02-11,19.6,37.2,0.0,,,SE,30.0,15:03,24.9,47,,ESE,15,1009.3,35.3,18,,E,9,1007.0
,2025-02-12,19.8,40.6,0.0,,,ENE,26.0,13:54,27.6,34,,NE,9,1008.2,38.4,14,,ESE,6,1004.9
,2025-02-13,27.6,36.2,0.0,,,NE,39.0,02:08,30.6,29,,NNW,11,1003.7,28.6,41,8.0,SW,20,1003.7
,2025-02-14,14.6,29.3,0.0,,,WSW,48.0,18:43,18.6,66,,W,9,1010.1,28.2,30,8.0,SW,22,1007.8
,2025-02-15,10.9,25.3,0.0,,,SSW,46.0,23:41,15.6,60,5.0,SW,13,1013.6,23.6,27,6.0,SSW,22,1012.0
,2025-02-16,8.0,24.3,0.0,,,SSW,44.0,15:48,12.5,54,,S,13,1019.5,21.9,24,,SE,17,1018.3
,2025-02-17,9.7,,0.0,,,,,,14.3,47,,E,9,1021.5,25.6,19,,SSE,7,1018.5
