,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-03-1,22.9,26.2,2.4,,,SSW,48.0,23:42,23.3,90,8.0,SSW,9,1015.7,25.4,84,6.0,SE,11,1013.0
,2024-03-2,23.3,26.4,0.0,,,SSW,54.0,13:27,24.9,88,3.0,SSW,17,1010.6,23.5,86,8.0,SSW,43,1013.6
,2024-03-3,21.1,26.3,0.0,,,E,37.0,17:00,22.8,81,,SSW,13,1014.7,24.7,76,8.0,E,24,1010.8
,2024-03-4,21.2,23.0,0.0,,,SSE,57.0,01:40,21.5,66,8.0,S,37,1020.6,22.1,63,8.0,S,31,1021.5
,2024-03-5,18.8,25.0,0.0,,,ENE,33.0,20:15,21.6,63,4.0,SSW,13,1023.3,23.7,55,3.0,SE,17,1021.1
,2024-03-6,19.7,28.2,0.0,,,E,39.0,14:55,20.4,78,,N,19,1021.2,24.9,74,,E,26,1017.7
,2024-03-7,20.4,25.6,0.0,,,SE,24.0,19:12,24.1,80,,NNE,2,1020.2,24.5,78,,S,17,1020.4
,2024-03-8,22.3,26.1,0.0,,,E,37.0,17:15,24.5,85,,SSW,7,1024.5,24.9,73,,ESE,28,1022.9
,2024-03-9,22.1,26.8,0.0,,,E,30.0,15:50,24.7,75,1.0,ENE,4,1025.8,25.7,70,,E,20,1024.4
,2024-03-10,22.0,26.5,0.0,,,E,41.0,15:29,24.1,81,,SSW,9,1027.4,25.2,71,1.0,ESE,28,1025.5
,2024-03-11,21.6,26.6,0.0,,,E,41.0,15:12,24.7,72,,ENE,9,1026.7,24.8,65,,E,30,1023.0
,2024-03-12,19.1,28.9,0.0,,,,,,20.9,79,,N,13,1019.8,25.1,68,,E,24,1015.4
,2024-03-13,20.1,25.6,0.0,,,SE,24.0,15:40,22.4,83,8.0,NNE,6,1017.5,24.0,74,,ESE,19,1014.3
,2024-03-14,18.1,31.7,0.0,,,S,52.0,19:22,20.1,93,2.0,N,19,1011.9,24.9,74,,E,24,1007.3
,2024-03-15,19.6,23.8,5.4,,,SSW,67.0,00:10,21.9,69,8.0,S,37,1018.3,21.4,71,2.0,S,41,1018.9
,2024-03-16,19.2,23.5,1.2,,,ESE,37.0,06:21,19.3,85,8.0,SSE,24,1021.7,22.6,69,8.0,SSE,17,1019.1
,2024-03-17,18.6,22.5,4.8,,,ENE,28.0,05:40,19.0,89,5.0,NNE,13,1017.4,21.0,84,8.0,ESE,20,1014.1
,2024-03-18,18.0,22.4,2.4,,,ESE,33.0,17:10,20.5,89,8.0,WNW,4,1015.0,22.2,82,8.0,SSW,15,1013.7
,2024-03-19,20.2,27.2,1.4,,,ENE,35.0,17:32,21.6,87,1.0,NNE,7,1017.4,23.8,81,,ESE,15,1015.1
,2024-03-20,21.0,26.8,0.0,,,S,72.0,20:37,21.9,88,8.0,NNW,15,1015.3,23.6,85,8.0,NW,22,1015.8
,2024-03-21,18.8,21.2,5.4,,,S,67.0,01:06,19.6,60,1.0,S,31,1027.7,20.1,66,,S,31,1026.3
,2024-03-22,16.8,23.2,3.6,,,SE,37.0,00:44,17.4,93,8.0,WNW,11,1025.7,22.0,69,5.0,SE,9,1023.1
,2024-03-23,17.2,22.7,0.2,,,SSE,19.0,14:16,19.0,78,8.0,NNW,6,1023.1,22.2,69,,SSE,15,1021.0
,2024-03-24,18.8,23.2,0.0,,,ESE,26.0,16:15,20.5,85,,SSW,11,1020.9,22.5,76,,ESE,15,1018.3
,2024-03-25,17.1,28.5,0.0,,,E,35.0,15:46,19.0,86,,NNW,13,1019.6,23.4,71,,E,26,1016.4
,2024-03-26,18.9,23.9,0.0,,,S,30.0,13:00,21.4,85,8.0,WSW,7,1020.0,22.9,82,,S,24,1017.9
,2024-03-27,20.4,23.5,0.0,,,SSW,37.0,12:58,22.2,88,5.0,SSW,26,1022.6,22.6,84,7.0,SSW,26,1021.6
,2024-03-28,20.1,22.9,0.2,,,ESE,37.0,14:30,21.5,84,2.0,SW,19,1024.0,22.2,83,8.0,SE,30,1023.5
,2024-03-29,19.8,24.1,0.6,,,S,19.0,12:16,21.3,84,8.0,NE,2,1027.3,23.2,63,8.0,SSE,15,1025.8
,2024-03-30,17.1,25.7,0.0,,,E,28.0,16:30,19.1,86,8.0,NW,9,1026.4,23.0,78,,ESE,22,1023.3
,2024-03-31,18.9,23.7,0.2,,,SSW,24.0,08:50,21.2,88,8.0,WSW,6,1023.6,22.5,81,,SSE,19,1020.5
