,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-03-1,18.9,26.3,0.0,9.8,,SSE,37.0,10:42,24.6,60,,E,20,1018.1,24.7,62,,SE,22,1017.3
,2024-03-2,20.1,26.9,0.0,6.6,,NE,37.0,11:51,22.9,78,,E,17,1018.8,25.4,61,,NE,19,1017.6
,2024-03-3,22.1,27.8,0.2,7.0,,N,39.0,12:50,25.6,70,,NNE,22,1017.7,26.7,67,,N,24,1016.1
,2024-03-4,22.6,28.2,0.0,5.2,,W,39.0,16:28,25.2,82,,NNW,13,1014.2,27.5,71,1.0,W,26,1013.2
,2024-03-5,21.4,25.4,1.2,6.6,,S,39.0,11:37,24.0,63,,S,24,1016.5,24.1,58,,SSW,17,1016.1
,2024-03-6,19.5,25.4,0.0,8.0,,,,,22.0,64,8.0,SE,19,1020.0,23.0,61,,ESE,20,1019.6
,2024-03-7,20.6,26.5,0.0,7.8,,,,,22.3,61,,E,24,1020.9,24.9,58,,ESE,28,1020.0
,2024-03-8,20.2,25.7,0.0,8.2,,ESE,56.0,11:52,21.5,77,,E,26,1020.6,24.9,60,8.0,ESE,28,1018.9
,2024-03-9,19.5,25.8,4.4,6.8,,,,,23.9,69,,ESE,28,1021.0,22.3,80,,ESE,24,1019.8
,2024-03-10,20.3,26.7,1.4,5.4,,E,59.0,14:30,23.5,62,7.0,ESE,30,1022.4,23.1,76,,E,35,1021.6
,2024-03-11,20.6,27.3,1.2,9.2,,E,57.0,01:53,22.7,72,,E,28,1021.7,25.7,66,5.0,ESE,26,1020.3
,2024-03-12,20.6,26.2,1.2,7.0,,ESE,50.0,10:01,24.6,56,,E,30,1018.2,24.3,58,,E,26,1016.4
,2024-03-13,20.3,25.5,,,,,,,22.5,60,,ESE,20,1016.2,23.6,59,,SE,20,1013.9
,2024-03-14,18.4,26.6,0.4,15.8,,SSE,24.0,14:50,24.0,68,,SSE,13,1013.7,24.0,67,,W,9,1012.8
,2024-03-15,17.8,27.8,0.0,4.0,,S,33.0,19:12,23.4,68,,NE,11,1010.7,27.0,51,,W,9,1009.5
,2024-03-16,18.4,24.8,2.0,6.0,,SE,52.0,05:34,22.4,63,,SE,31,1013.9,23.2,57,,SE,26,1012.5
,2024-03-17,19.1,24.9,0.2,9.0,,ESE,46.0,17:36,22.2,51,,ESE,20,1016.5,22.1,58,,ESE,24,1015.1
,2024-03-18,17.5,25.1,4.6,8.6,,ESE,48.0,15:24,21.3,68,8.0,ESE,20,1017.7,22.3,77,,SE,26,1016.2
,2024-03-19,19.3,25.4,1.0,5.0,,E,57.0,12:20,20.8,82,,ESE,24,1020.4,23.9,64,,ESE,28,1019.8
,2024-03-20,19.7,25.8,,,,ESE,46.0,12:00,23.6,51,,E,28,1021.1,23.7,56,,E,26,1019.0
,2024-03-21,19.8,26.0,0.6,16.0,,E,48.0,10:21,22.1,67,7.0,E,31,1020.0,24.3,59,,ENE,31,1017.8
,2024-03-22,18.9,25.9,0.4,8.0,,NE,33.0,10:38,23.0,70,,NE,17,1019.5,24.8,60,7.0,NE,19,1018.0
,2024-03-23,18.7,22.0,0.0,5.4,,S,30.0,10:30,19.6,83,,SSE,7,1018.8,21.6,72,,SE,17,1018.1
,2024-03-24,17.9,24.6,2.0,4.2,,ESE,28.0,10:40,22.0,67,,SSE,13,1019.7,22.9,65,8.0,E,11,1017.3
,2024-03-25,18.8,26.1,0.0,1.8,,E,28.0,09:32,21.7,78,,ENE,11,1019.9,23.5,65,,SE,15,1019.2
,2024-03-26,18.8,25.3,0.4,7.8,,E,39.0,11:17,22.7,71,,E,24,1022.0,22.7,69,,E,20,1020.3
,2024-03-27,17.8,25.8,,,,E,33.0,09:33,20.1,77,,E,9,1020.1,23.9,70,,SE,20,1019.0
,2024-03-28,19.1,24.6,0.0,8.0,,SSE,30.0,10:59,23.3,64,,ESE,15,1020.1,23.6,62,1.0,SSE,19,1018.5
,2024-03-29,19.7,24.6,0.0,6.4,,SSE,39.0,16:43,21.5,65,,S,17,1018.3,23.5,58,,SSW,26,1017.8
,2024-03-30,19.1,24.2,0.0,6.6,,SE,41.0,09:32,22.0,61,,S,24,1019.2,22.6,66,8.0,S,24,1017.1
,2024-03-31,18.3,23.9,1.6,5.6,,S,33.0,08:42,20.5,78,,SSE,15,1017.5,22.0,69,,SSE,15,1016.9
