,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,15.9,35.8,0.0,,,SE,39.0,00:39,22.4,41,,E,15,1015.3,34.1,14,,NNE,11,1011.2
,2025-02-2,22.3,41.0,0.0,,,NE,54.0,21:34,31.0,21,,E,9,1010.7,39.6,13,,S,9,1008.4
,2025-02-3,20.8,39.8,0.0,,,NW,61.0,14:48,28.4,37,,NE,19,1010.1,39.6,19,,NNE,6,1006.7
,2025-02-4,19.8,36.2,8.0,,,S,39.0,17:32,28.9,46,,WSW,2,1009.2,34.6,33,,SE,26,1007.5
,2025-02-5,14.0,31.1,0.0,,,SE,43.0,03:04,16.9,66,,SE,26,1013.2,28.6,28,,ENE,13,1010.8
,2025-02-6,16.9,36.7,0.0,,,SW,46.0,14:28,22.4,44,,NE,17,1010.2,35.0,24,,SW,30,1007.2
,2025-02-7,13.1,30.5,0.0,,,SE,46.0,16:32,20.6,65,,ESE,9,1010.3,29.7,29,,SW,11,1008.6
,2025-02-8,13.9,26.8,0.0,,,SE,52.0,06:29,17.4,59,,SE,20,1011.8,25.9,32,,SE,22,1009.4
,2025-02-9,12.8,29.5,0.0,,,SE,59.0,00:07,16.7,72,,SE,28,1011.3,27.8,33,,SE,13,1008.1
,2025-02-10,15.1,32.8,0.0,,,ESE,50.0,16:55,19.8,68,,E,17,1009.9,30.5,25,,ESE,15,1008.3
,2025-02-11,19.8,37.0,0.0,,,ENE,31.0,05:11,25.4,40,,NE,15,1008.6,36.0,15,,SE,13,1007.1
,2025-02-12,22.4,40.9,0.0,,,NE,61.0,15:27,31.8,25,,N,20,1006.5,39.8,12,,NE,17,1003.7
,2025-02-13,20.4,26.0,0.0,,,WSW,57.0,13:17,20.8,74,,W,28,1005.4,23.8,48,,WSW,37,1005.4
,2025-02-14,15.4,24.0,1.4,,,SW,50.0,15:13,15.5,94,,SW,22,1010.8,22.5,46,,WSW,30,1010.5
,2025-02-15,11.0,22.2,0.4,,,SSW,44.0,10:05,15.2,62,,WSW,15,1014.8,18.8,53,,SSE,22,1014.4
,2025-02-16,9.8,22.5,0.0,,,SE,41.0,12:54,13.4,53,,ESE,11,1020.3,20.6,28,,ESE,13,1018.7
,2025-02-17,11.4,,0.0,,,,,,16.6,38,,ENE,15,1020.2,26.9,17,,S,15,1017.2
