,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,21.1,27.8,0.0,,,NE,24.0,17:09,22.3,79,,S,7,,25.7,73,,S,6,
,2025-02-2,19.1,31.2,0.8,,,NE,28.0,16:06,23.0,78,,NW,2,,30.1,42,,ESE,7,
,2025-02-3,17.6,33.7,0.0,,,ENE,35.0,15:58,23.5,70,,NNE,4,,31.2,46,,NE,11,
,2025-02-4,18.9,34.5,0.0,,,NE,24.0,17:16,24.4,76,,S,4,,33.0,46,,NNE,4,
,2025-02-5,20.5,35.3,0.0,,,S,39.0,12:16,26.7,72,,N,4,,31.8,47,,SSE,17,
,2025-02-6,20.5,31.9,0.8,,,ESE,26.0,13:34,25.1,71,,SSE,4,,31.0,50,,ESE,17,
,2025-02-7,18.5,35.0,0.2,,,ENE,31.0,17:14,24.2,77,,NNE,4,,33.4,35,,NNE,9,
,2025-02-8,19.9,33.9,0.0,,,SSW,28.0,20:12,25.7,71,,E,6,,32.3,40,,NNE,7,
,2025-02-9,19.1,31.1,14.4,,,SE,30.0,15:27,23.8,75,,WSW,7,,30.5,50,,SE,7,
,2025-02-10,21.1,24.2,0.0,,,WSW,59.0,10:25,24.1,74,,SE,2,,20.3,85,,NNW,11,
,2025-02-11,17.1,29.1,46.2,,,ESE,28.0,16:27,22.5,81,,N,7,,26.9,61,,NNE,13,
,2025-02-12,18.9,29.7,0.2,,,ENE,30.0,15:40,21.9,82,,SSW,7,,28.9,50,,ENE,9,
,2025-02-13,21.1,31.6,2.0,,,NE,31.0,15:20,24.1,79,,NE,9,,30.9,53,,NW,11,
,2025-02-14,21.0,28.1,0.2,,,NNE,17.0,12:36,22.9,88,,NE,4,,26.2,77,,ENE,6,
,2025-02-15,19.8,30.6,2.8,,,W,28.0,15:36,22.9,72,,S,4,,30.1,36,,WSW,4,
,2025-02-16,13.1,24.4,0.2,,,SSW,43.0,10:00,18.4,40,,SSW,19,,23.2,27,,SSE,19,
,2025-02-17,14.1,,0.0,,,,,,18.0,48,,SSW,15,,24.7,31,,SSW,6,
