,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,17.8,36.1,0,8.0,12.7,WSW,35.0,15:25,25.5,57,1,S,9,1010.9,33.5,34,1,W,24,1007.2
,2025-02-2,18.3,33.7,0,10.8,12.7,W,41.0,14:51,27.1,42,0,E,13,1009.2,30.3,42,0,WSW,30,1007.4
,2025-02-3,17.8,35.9,0,8.0,12.7,WSW,43.0,15:17,24.4,56,1,SSE,15,1012.4,32.9,34,0,SW,31,1009.0
,2025-02-4,18.2,37.2,0,11.2,12.7,E,67.0,07:56,23.6,43,0,ENE,35,1013.9,35.5,15,0,ENE,22,1008.4
,2025-02-5,20.2,40.6,0,9.0,12.6,ENE,48.0,07:43,28.2,40,1,ENE,28,1006.4,37.1,29,1,WSW,30,1002.1
,2025-02-6,23.7,36.2,0,12.0,12.3,E,48.0,23:10,28.4,44,0,SE,13,1005.8,34.0,38,0,WSW,28,1004.2
,2025-02-7,20.5,38.0,0,10.8,12.3,E,37.0,07:28,26.3,50,6,E,20,1009.7,37.1,26,1,SE,13,1004.8
,2025-02-8,21.5,38.1,0,9.4,11.1,E,39.0,00:29,26.4,50,6,E,24,1005.0,37.4,31,5,SW,20,1000.5
,2025-02-9,22.2,28.2,0,8.4,9.7,NW,46.0,13:24,25.0,64,5,W,20,1003.2,25.9,52,5,W,26,1003.2
,2025-02-10,16.5,29.1,0,8.0,6.0,SSW,37.0,15:21,22.9,64,7,N,7,1007.0,27.5,47,2,SW,22,1005.7
,2025-02-11,22.3,27.0,0,6.6,9.5,SW,65.0,15:25,24.7,47,7,WSW,30,1008.0,24.2,37,6,SW,44,1009.9
,2025-02-12,11.8,27.3,0,8.4,12.2,S,48.0,08:54,21.1,51,1,S,33,1016.6,25.6,38,1,WSW,33,1015.8
,2025-02-13,12.3,30.1,0,8.2,10.7,WSW,41.0,14:55,19.1,50,5,ESE,20,1021.9,27.5,39,0,WSW,31,1016.1
,2025-02-14,16.0,33.5,0,8.0,12.3,E,48.0,04:38,21.9,47,0,E,26,1020.3,32.3,16,0,SE,22,1015.2
,2025-02-15,17.6,37.0,0,9.2,12.3,ENE,48.0,05:13,24.2,40,0,ENE,30,1015.7,36.1,13,0,ENE,19,1010.8
,2025-02-16,18.4,37.6,0,10.8,12.3,WSW,44.0,14:59,29.8,18,1,NE,17,1010.5,34.9,10,1,WSW,31,1007.1
,2025-02-17,17.7,,0,9.8,,,,,27.1,40,5,N,13,1012.6,35.7,14,5,E,24,1010.1
