,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-05-1,14.8,24.9,8.4,1.4,4.7,NE,35,10:03,18.3,69,5,NE,11,1020.5,23.8,61,7,E,4,1018.5
,2024-05-2,18.3,25.9,2.2,1.2,1.9,NW,31,13:13,22.3,66,7,NNE,11,1020.9,24.6,68,7,NW,13,1020.0
,2024-05-3,18.2,21.6,1.4,1.8,4.0,SSE,48,22:08,19.4,74,7,S,9,1024.0,21.0,54,7,SSW,17,1022.0
,2024-05-4,10.3,22.2,0.0,4.4,9.5,SW,31,17:08,15.4,82,1, ,Calm,1024.1,20.6,60,4,SW,13,1021.2
,2024-05-5,8.4,21.0,0.0,1.8,9.5,SW,28,16:01,14.5,79,0,S,6,1023.1,20.2,58,3,SSW,15,1019.2
,2024-05-6,9.0,22.1,0.0,3.2,7.9,SW,20,17:21,15.4,89,1, ,Calm,1022.4,21.5,51,3,SW,9,1020.1
,2024-05-7,9.4,26.8,0.0,2.0,9.8,SE,52,14:00,17.6,63,0,E,7,1025.3,26.3,29,1,E,11,1021.5
,2024-05-8,12.6,26.8,0.0,5.2,7.6,NE,31,10:06,19.4,51,2,NE,13,1024.4,25.4,31,6,NNE,11,1020.0
,2024-05-9,18.1,27.5,0.0,5.8,0.3,NNE,46,12:41,21.7,34,8,NE,19,1018.5,27.1,25,7,NNE,15,1014.8
,2024-05-10,17.1,27.7,0.0,2.8,6.8,NW,39,12:12,22.6,55,7,N,11,1017.9,26.2,57,6,NW,17,1017.0
,2024-05-11,16.5,25.8,0.0,3.2,6.1,SSW,20,16:10,20.6,96,7, ,Calm,1023.1,24.6,59,6,WSW,9,1021.3
,2024-05-12,13.8,27.1,0.0,3.2,2.0,SSW,35,18:05,19.2,71,7,ENE,7,1019.5,26.8,42,7,NE,6,1015.1
,2024-05-13,16.4,28.8,0.0,3.0,4.8,NE,22,12:37,19.2,51,2,N,2,1014.9,28.6,20,2,NE,11,1012.6
,2024-05-14,17.4,29.4,0.0,6.0,8.8,SSW,22,16:04,20.9,35,3,ENE,9,1016.5,28.9,25,1,ESE,4,1014.6
,2024-05-15,9.7,28.1,0.0,5.8,9.5,WSW,20,14:57,19.3,37,0,ENE,9,1022.1,26.6,30,1,WSW,11,1020.2
,2024-05-16,11.5,28.7,0.0,5.2,9.5,SSE,24,15:09,18.9,42,0,ENE,7,1025.6,28.1,20,0,E,6,1023.4
,2024-05-17,13.9,28.0,0.0,5.8,9.3,ENE,31,09:20,19.5,58,0,NE,13,1028.3,27.6,27,0,NE,11,1025.5
,2024-05-18,15.1,27.6,0.0,5.6,9.4,NE,33,09:22,20.8,43,0,ENE,13,1029.1,27.3,24,1,ENE,13,1024.6
,2024-05-19,14.2,26.7,0.0,5.6,9.0,NNE,31,09:37,19.3,40,7,NE,17,1026.8,26.4,22,7,NE,9,1023.4
,2024-05-20,11.1,24.9,0.0,5.6,5.1,NE,35,09:54,19.8,36,7,NE,15,1025.4,24.6,27,7,NE,9,1023.1
,2024-05-21,10.9,26.7,0.0,4.2,6.3,NE,19,11:24,15.8,55,8,NE,6,1025.4,26.0,22,7,WNW,4,1022.2
,2024-05-22,8.6,25.8,0.0,2.2,7.9,NNE,17,12:17,16.0,53,7,WSW,2,1022.7,24.9,24,6,SSW,7,1019.0
,2024-05-23,6.1,26.6,0.0,3.6,8.6,NE,26,13:38,15.9,44,1,NE,7,1018.6,26.1,15,6,ENE,9,1013.9
,2024-05-24,8.8,26.8,0.0,5.0,7.6,NW,24,13:05,16.6,38,7,NNE,2,1013.5,25.8,44,1,NW,13,1011.9
,2024-05-25,15.9,24.0,3.8,2.8,7.4,WSW,41,11:01,21.8,71,2,WSW,4,1016.3,23.5,60,6,W,11,1017.6
,2024-05-26,12.0,25.2,3.2,2.2,6.9,NNE,28,11:59,17.0,86,1,NNE,11,1022.9,21.0,73,7,SW,13,1020.5
,2024-05-27,12.6,21.9,2.2,2.0,2.6,W,44,19:29,15.9,99,4,WSW,6,1020.4,20.5,72,8,NNE,7,1016.8
,2024-05-28,14.4,17.4,8.2,1.4,1.4,SW,44,22:38,15.4,99,7, ,Calm,1013.7,16.1,93,3,NE,6,1010.0
,2024-05-29,10.1,15.4,26.2,,4.6,SSW,80,08:32,11.9,76,3,SSW,22,1010.3,14.6,70,5,S,11,1013.1
,2024-05-30,10.6,19.8,10.8,,3.7,NNE,22,09:58,14.9,99,7, ,Calm,1016.6,17.3,80,7,WSW,7,1016.3
,2024-05-31,12.8,21.6,9.6,,4.2,NNW,30,13:45,14.5,99,7, ,Calm,1020.2,21.3,61,3,NW,15,1017.4
