,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,13.0,25.5,0.0,,,ENE,41.0,08:19,17.6,73,,ENE,26,1019.0,24.9,49,,E,17,1015.0
,2025-02-2,12.8,30.9,0.0,,,SSW,31.0,14:26,19.9,100,4.0,ESE,11,1012.8,25.1,64,,S,19,1010.9
,2025-02-3,16.6,36.0,0.0,,,NNW,44.0,10:23,25.3,61,,N,17,1009.7,27.0,52,,S,15,1009.8
,2025-02-4,19.3,22.8,0.0,,,W,43.0,05:47,19.6,89,7.0,SSW,15,1009.4,19.7,68,8.0,SW,24,1012.6
,2025-02-5,14.5,20.3,0.0,,,SE,46.0,08:58,15.8,59,8.0,SE,26,1016.6,18.2,56,8.0,SE,26,1016.2
,2025-02-6,15.8,25.5,0.0,,,SE,37.0,23:34,19.5,91,8.0,E,22,1011.9,23.1,53,,S,17,1010.5
,2025-02-7,15.9,23.6,0.0,,,SSE,41.0,15:09,18.9,85,8.0,S,17,1011.1,19.2,70,8.0,SE,20,1012.6
,2025-02-8,15.2,20.1,0.0,,,SE,48.0,16:15,17.2,58,,SSE,19,1014.9,18.4,54,8.0,SE,28,1014.3
,2025-02-9,15.8,21.7,0.0,,,ESE,61.0,13:36,18.1,73,8.0,SE,31,1014.5,19.1,69,8.0,ESE,33,1014.0
,2025-02-10,16.9,23.9,0.0,,,E,54.0,14:44,18.4,77,8.0,ESE,28,1015.4,22.6,61,,ESE,35,1013.8
,2025-02-11,17.0,28.5,0.0,,,ENE,39.0,03:24,20.7,77,,E,24,1012.3,28.1,50,,ESE,17,1010.9
,2025-02-12,16.3,34.1,0.2,,,,,,20.5,100,,E,17,1009.8,33.5,24,,SE,13,1007.1
,2025-02-13,18.4,26.0,,,,WNW,65.0,16:12,19.4,80,7.0,WNW,24,1001.5,24.3,50,5.0,NW,24,1001.8
,2025-02-14,13.7,21.0,1.0,,,WSW,48.0,11:59,16.3,91,8.0,WSW,15,1007.9,17.1,66,8.0,WSW,22,1009.0
,2025-02-15,11.7,17.8,3.6,,,W,56.0,01:23,13.9,61,7.0,SW,26,1010.8,16.6,40,1.0,SSW,26,1014.1
,2025-02-16,10.8,18.9,0.8,,,SSW,35.0,00:17,14.9,48,5.0,S,15,1019.8,16.7,45,,SSE,20,1021.6
,2025-02-17,5.5,,0.0,,,,,,12.7,69,,NNE,11,1022.4,19.8,44,,SSW,17,1020.5
