,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-07-1,2.5,15.6,1.4,,,SW,39,13:24,8.4,98,4.0,NE,2,1025.0,14.5,68,8.0,SSW,11,1024.1
,2024-07-2,6.1,16.4,0.2,,,SE,31,14:44,10.2,99,8.0,ENE,7,1030.7,14.2,85,8.0,SE,19,1029.3
,2024-07-3,7.7,17.6,1.2,,,SSE,37,12:28,11.9,98,7.0,SW,13,1034.3,15.1,69,8.0,S,17,1032.7
,2024-07-4,9.2,18.1,0.8,,,SSE,35,12:02,13.6,96,1.0,SW,15,1035.5,17.1,51,1.0,SE,20,1033.7
,2024-07-5,11.4,16.7,3.0,,,SSE,43,15:33,13.6,99,7.0,SW,15,1037.5,14.3,98,7.0,S,9,1036.6
,2024-07-6,8.0,17.2,1.8,,,SSE,31,10:38,12.2,92,6.0,WSW,11,1039.4,16.0,68,7.0,SSE,13,1036.3
,2024-07-7,9.2,17.1,0.0,,,SW,17,11:17,12.1,99,8.0,SSE,6,1035.3,15.9,79,7.0,E,6,1030.9
,2024-07-8,11.5,16.5,1.8,,,E,19,13:46,12.5,100,8.0, ,Calm,1027.8,15.8,89,8.0,ENE,11,1022.7
,2024-07-9,11.1,20.4,2.4,,,WNW,24,17:40,12.3,100,7.0,NNW,7,1020.3,19.0,65,1.0,N,13,1017.4
,2024-07-10,4.5,19.7,0.0,,,W,24,17:53,9.3,100,,N,2,1021.6,18.0,65,8.0,NNE,7,1019.4
,2024-07-11,3.7,17.0,0.0,,,E,11,10:46,9.0,99,, ,Calm,1023.0,16.0,68,5.0,WNW,6,1019.1
,2024-07-12,6.5,18.8,0.2,,,S,15,18:14,7.9,100,8.0,N,2,1015.4,17.6,59,,NE,7,1010.7
,2024-07-13,7.9,17.1,0.0,,,SW,35,09:35,13.4,73,8.0,SW,2,1012.2,16.9,52,1.0,SW,2,1010.3
,2024-07-14,0.9,17.4,0.0,,,W,39,15:21,8.3,98,, ,Calm,1012.3,15.9,46,,WNW,24,1009.2
,2024-07-15,4.0,15.6,0.0,,,W,61,10:42,11.5,50,,SW,11,1008.5,14.0,44,,WNW,35,1005.8
,2024-07-16,7.9,15.9,0.0,,,WNW,44,10:08,12.4,58,7.0,NW,17,1001.9,15.2,51,7.0,WNW,24,1000.9
,2024-07-17,4.1,19.7,0.0,,,SSW,35,13:33,13.4,75,, ,Calm,1006.3,17.7,48,8.0,SW,19,1005.4
,2024-07-18,4.1,19.2,0.0,,,W,37,18:19,10.5,96,,NNW,6,1013.5,18.0,41,1.0,W,24,1010.7
,2024-07-19,0.5,17.9,0.0,,,WNW,39,13:48,7.6,87,, ,Calm,1016.4,14.9,42,8.0,WNW,22,1012.1
,2024-07-20,7.4,17.6,0.0,,,WNW,80,12:00,15.7,55,,NW,17,1005.6,15.7,40,,WNW,37,1005.5
,2024-07-21,9.4,19.4,0.0,,,W,59,00:24,13.9,44,,W,15,1016.9,19.3,29,,SW,15,1017.7
,2024-07-22,1.2,18.3,0.0,,,W,17,20:31,8.4,93,, ,Calm,1026.6,17.5,54,8.0, ,Calm,1024.2
,2024-07-23,2.0,19.7,0.0,,,NE,17,14:27,9.3,97,,NE,2,1028.1,19.4,43,,NNE,9,1024.3
,2024-07-24,1.0,21.5,0.0,,,SSW,17,14:29,7.7,99,, ,Calm,1024.8,20.9,48,,SW,4,1019.3
,2024-07-25,4.9,23.3,0.0,,,N,46,12:28,11.8,88,, ,Calm,1019.4,22.5,46,7.0,NNW,22,1014.6
,2024-07-26,8.7,21.3,8.8,,,W,41,02:51,12.9,99,,WSW,7,1020.5,20.5,44,,ESE,11,1018.2
,2024-07-27,4.3,14.9,10.8,,,NNW,20,19:41,8.5,99,8.0, ,Calm,1020.6,13.3,99,4.0, ,Calm,1015.5
,2024-07-28,5.8,15.6,0.6,,,W,54,10:09,11.2,59,1.0,W,28,1018.3,14.8,38,,W,28,1017.5
,2024-07-29,2.0,16.2,0.2,,,SW,48,12:05,11.3,49,2.0,SW,19,1024.9,15.8,39,1.0,SW,20,1025.3
,2024-07-30,3.0,16.7,0.0,,,SSW,39,09:47,11.5,64,3.0,SSW,17,1033.4,16.2,46,5.0,S,24,1031.6
,2024-07-31,5.6,17.0,0.0,,,SSW,43,10:01,12.6,62,4.0,SW,19,1034.9,16.2,50,7.0,SW,17,1032.6
