,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,10.7,25.9,0.0,,,,,,17.2,85,,,,,25.1,63,,,,
,2025-02-2,15.9,37.7,0.0,,,,,,21.1,90,,,,,36.5,35,,,,
,2025-02-3,20.7,36.3,0.0,,,,,,26.3,58,,,,,33.8,39,,,,
,2025-02-4,16.9,37.1,0.0,,,,,,27.9,53,,,,,33.0,36,,,,
,2025-02-5,15.3,22.7,0.0,,,,,,18.6,71,,,,,20.5,82,,,,
,2025-02-6,18.5,28.1,1.0,,,,,,20.6,94,,,,,27.3,67,,,,
,2025-02-7,17.3,32.6,0.0,,,,,,22.3,91,,,,,28.9,62,,,,
,2025-02-8,17.3,19.1,0.6,,,,,,17.8,78,,,,,18.7,96,,,,
,2025-02-9,15.7,20.1,30.2,,,,,,16.9,97,,,,,19.3,86,,,,
,2025-02-10,16.8,20.2,29.8,,,,,,18.0,97,,,,,18.8,93,,,,
,2025-02-11,17.8,25.5,10.4,,,,,,19.9,95,,,,,25.0,70,,,,
,2025-02-12,18.4,27.0,0.4,,,,,,18.9,98,,,,,26.4,71,,,,
,2025-02-13,17.2,33.6,0.0,,,,,,25.4,72,,,,,33.0,36,,,,
,2025-02-14,17.8,23.8,4.0,,,,,,18.4,92,,,,,21.4,69,,,,
,2025-02-15,12.4,16.3,2.0,,,,,,15.4,70,,,,,14.4,70,,,,
,2025-02-16,8.6,20.1,4.4,,,,,,12.8,71,,,,,19.3,33,,,,
,2025-02-17,8.3,,0.0,,,,,,13.2,75,,,,,20.5,40,,,,
