,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,18.7,30.1,0,,,S,43.0,13:33,23.6,63,,SSW,19,,28.1,35,,SSE,26,
,2025-02-2,14.9,36.8,0,,,SE,39.0,17:27,22.7,57,,E,15,,35.1,19,,SSW,7,
,2025-02-3,16.9,30.9,0,,,S,44.0,18:43,23.4,59,,SSE,20,,28.4,43,,SSE,26,
,2025-02-4,13.2,31.4,0,,,SE,46.0,19:47,20.6,60,,ESE,22,,29.9,34,,ESE,19,
,2025-02-5,14.2,35.9,0,,,SSE,43.0,18:01,23.0,53,,NE,20,,33.6,18,,ESE,11,
,2025-02-6,17.9,39.6,0,,,SE,63.0,17:05,27.4,50,,ESE,13,,39.0,21,,SE,24,
,2025-02-7,18.6,33.3,0,,,ENE,50.0,13:12,23.4,62,,ESE,20,,32.1,36,,E,20,
,2025-02-8,17.9,35.9,0,,,ESE,50.0,18:03,23.7,54,,NE,31,,35.3,26,,ENE,20,
,2025-02-9,18.5,40.0,0,,,SW,48.0,20:10,24.3,53,,ENE,30,,38.0,22,,N,22,
,2025-02-10,14.9,35.2,0,,,WNW,50.0,10:54,24.4,50,,WNW,17,,33.6,22,,NW,13,
,2025-02-11,13.7,34.3,0,,,S,57.0,17:19,26.6,42,,NW,9,,34.0,23,,W,26,
,2025-02-12,11.8,25.2,0,,,SW,57.0,12:29,19.9,53,,WSW,22,,23.4,43,,SW,28,
,2025-02-13,13.9,26.0,0,,,SW,52.0,13:59,18.4,60,,SSW,17,,25.1,39,,SSW,24,
,2025-02-14,14.5,27.4,0,,,SSE,44.0,17:47,18.7,61,,E,6,,25.6,38,,SSE,17,
,2025-02-15,7.9,30.3,0,,,E,41.0,21:27,19.7,54,,ENE,20,,29.1,24,,ENE,17,
,2025-02-16,14.6,28.5,0,,,NNE,33.0,09:18,20.0,53,,NE,22,,26.8,30,,N,6,
,2025-02-17,18.5,,0,,,,,,19.8,79,,ENE,4,,25.4,48,,E,24,
