,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,21.0,28.9,0.0,6.6,5.1,ESE,33.0,13:31,23.8,73,6.0,SSE,20,1021.7,27.9,54,6.0,E,20,1020.8
,2025-02-2,20.2,29.0,0.0,8.0,11.5,ENE,41.0,13:51,25.1,61,4.0,NE,9,1020.8,27.8,46,2.0,ENE,22,1019.0
,2025-02-3,21.0,30.8,0.0,8.0,10.2,NE,52.0,16:23,26.2,62,3.0, ,Calm,1018.8,29.3,53,2.0,ENE,30,1016.4
,2025-02-4,21.8,31.3,0.0,8.4,12.1,NNE,54.0,18:06,26.5,65,4.0,NNE,28,1015.0,30.1,55,,NE,31,1010.6
,2025-02-5,22.8,31.1,0.0,9.6,7.1,S,59.0,09:46,28.9,59,3.0,WNW,7,1009.9,24.0,82,7.0,S,39,1011.1
,2025-02-6,20.8,28.5,0.6,5.4,10.6,S,31.0,23:18,23.9,73,1.0,SE,11,1014.5,26.8,65,5.0,SE,20,1013.9
,2025-02-7,21.8,31.4,0.2,7.4,12.4,NNE,52.0,15:58,26.3,65,1.0,NNE,19,1012.7,28.8,51,1.0,NE,37,1009.6
,2025-02-8,21.3,30.5,0.0,10.6,6.0,NE,50.0,15:09,25.4,66,3.0,NNE,13,1009.8,28.6,50,4.0,NE,31,1007.0
,2025-02-9,,27.0,13.0,8.6,9.4,S,44.0,15:12,22.8,85,,SW,15,1010.3,25.2,79,6.0,S,31,1009.4
,2025-02-10,21.6,24.8,0.2,7.8,2.4,SSW,63.0,11:05,23.6,79,3.0,S,31,1010.7,21.2,83,7.0,WNW,28,1011.4
,2025-02-11,18.7,27.2,6.8,0.8,8.2,SE,33.0,14:55,22.0,80,2.0,SW,9,1012.0,25.5,64,6.0,E,20,1011.0
,2025-02-12,20.1,28.2,0.2,5.0,9.2,ESE,35.0,14:13,23.0,82,5.0,S,17,1013.1,26.9,63,5.0,SE,24,1012.5
,2025-02-13,22.1,30.2,5.0,6.6,12.5,NE,65.0,14:08,25.4,77,6.0,NNE,31,1012.7,28.8,57,1.0,NE,46,1009.9
,2025-02-14,22.7,29.1,0.0,11.2,2.6,NNE,48.0,23:19,26.6,67,7.0,N,15,1007.0,25.0,83,8.0,NE,17,1004.8
,2025-02-15,19.9,26.3,22.8,0.4,11.6,SSW,50.0,05:15,21.7,77,3.0,SSW,20,1003.8,24.1,58,4.0,ESE,22,1001.9
,2025-02-16,15.3,21.7,0.2,8.0,12.4,S,52.0,21:08,18.1,56,3.0,SSW,28,1009.8,19.7,46,2.0,SSE,33,1011.9
,2025-02-17,14.3,,0.0,10.2,,,,,18.3,59,1.0,SSW,22,1020.1,21.1,49,3.0,SSE,26,1018.4
