,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,21.0,27.8,0.2,6.6,5.1,SSE,30.0,08:53,24.0,72,6.0,SSE,20,1021.7,26.9,60,6.0,ESE,20,1020.8
,2025-02-2,19.7,28.9,0.0,8.0,11.5,E,30.0,16:08,22.5,75,4.0,SE,2,1020.8,27.6,54,2.0,E,19,1019.0
,2025-02-3,20.0,30.0,0.0,8.0,10.2,NE,43.0,16:12,24.3,74,3.0,ESE,4,1018.8,29.3,62,2.0,ENE,22,1016.4
,2025-02-4,21.6,29.5,0.0,8.4,12.1,NE,43.0,15:59,24.5,77,4.0,NE,11,1015.0,28.9,63,,NE,24,1010.6
,2025-02-5,22.8,32.1,0.0,9.6,7.1,SSW,46.0,11:33,25.0,78,3.0,E,2,1009.9,25.8,73,7.0,S,22,1011.1
,2025-02-6,20.5,29.3,1.0,5.4,10.6,E,39.0,01:58,22.8,80,1.0,NW,6,1014.5,28.3,67,5.0,ESE,17,1013.9
,2025-02-7,21.4,30.0,0.0,7.4,12.4,ENE,46.0,13:06,23.7,79,1.0,NE,17,1012.7,28.7,62,1.0,ENE,30,1009.6
,2025-02-8,21.4,29.1,0.0,10.6,6.0,NNE,39.0,23:12,23.3,80,3.0,NE,13,1009.8,28.8,59,4.0,ENE,31,1007.0
,2025-02-9,20.0,29.5,8.6,8.6,9.4,ESE,35.0,16:08,22.7,88,,SW,9,1010.3,28.0,64,6.0,SSW,22,1009.4
,2025-02-10,22.0,25.1,0.0,7.8,2.4,W,72.0,11:48,23.6,78,3.0,SSW,20,1010.7,20.8,87,7.0,W,26,1011.4
,2025-02-11,18.6,27.4,53.2,0.8,8.2,ESE,30.0,15:26,21.1,86,2.0,WNW,6,1012.0,24.1,74,6.0,ESE,19,1011.0
,2025-02-12,19.9,29.1,0.0,5.0,9.2,ENE,39.0,19:29,22.4,81,5.0,S,9,1013.1,26.8,69,5.0,ESE,24,1012.5
,2025-02-13,22.4,28.5,2.2,6.6,12.5,ENE,56.0,14:22,24.3,80,6.0,NE,24,1012.7,28.0,67,1.0,NE,28,1009.9
,2025-02-14,21.9,26.8,0.2,11.2,2.6,NE,39.0,17:57,23.9,81,7.0,N,7,1007.0,24.3,87,8.0,ENE,15,1004.8
,2025-02-15,19.8,26.8,3.0,0.4,11.6,SSW,41.0,03:16,21.6,76,3.0,SSW,20,1003.8,25.6,59,4.0,ESE,19,1001.9
,2025-02-16,15.6,23.0,0.2,8.0,12.4,S,46.0,23:25,17.0,48,3.0,WSW,13,1009.8,22.0,37,2.0,SSE,24,1011.9
,2025-02-17,14.5,,0.0,10.2,,,,,16.4,58,1.0,W,19,1020.1,23.2,40,3.0,SSE,24,1018.4
