,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-03-1,24.1,31.4,0.0,,,E,35.0,14:16,28.4,71,4.0,SE,20,1014.2,29.9,69,1.0,ENE,28,1010.5
,2024-03-2,24.0,31.4,0.0,,,ENE,37.0,15:39,29.0,76,2.0,ESE,11,1013.1,30.7,70,2.0,ENE,26,1010.4
,2024-03-3,25.7,31.7,0.6,,,ENE,33.0,14:47,30.1,77,3.0,ENE,15,1014.2,30.6,72,,NE,26,1011.2
,2024-03-4,26.1,31.9,0.2,,,ENE,33.0,16:31,29.5,80,8.0,ESE,13,1014.0,31.1,70,4.0,ENE,17,1010.4
,2024-03-5,25.7,32.6,0.2,,,E,52.0,23:33,29.7,73,,SE,17,1014.2,27.4,88,8.0,S,19,1011.3
,2024-03-6,25.1,31.1,5.6,,,ESE,39.0,13:08,28.9,73,8.0,SSE,19,1013.3,27.9,82,8.0,ESE,11,1010.1
,2024-03-7,25.0,32.0,6.0,,,E,52.0,13:57,28.0,76,8.0,SSE,22,1013.1,29.6,74,8.0,ESE,19,1009.8
,2024-03-8,25.3,31.2,0.0,,,SE,44.0,19:08,27.6,70,8.0,S,17,1013.0,30.1,70,8.0,SE,26,1009.8
,2024-03-9,24.7,30.8,2.4,,,E,63.0,14:01,28.8,72,8.0,ESE,15,1012.7,28.4,79,7.0,ESE,35,1010.5
,2024-03-10,24.1,31.0,1.2,,,SE,35.0,10:39,28.6,69,2.0,SSE,17,1014.1,29.5,65,8.0,SE,15,1011.7
,2024-03-11,24.3,31.9,0.6,,,SE,39.0,02:55,26.7,73,8.0,S,19,1013.7,26.4,87,8.0,ENE,24,1010.2
,2024-03-12,22.5,32.0,0.8,,,SE,43.0,22:16,27.9,64,1.0,SSE,17,1012.0,30.3,64,3.0,ENE,24,1007.8
,2024-03-13,22.5,30.9,0.0,,,ENE,28.0,12:11,28.0,66,,SW,17,1009.2,30.1,57,,NNW,15,1004.9
,2024-03-14,23.1,33.3,0.0,,,ENE,33.0,13:51,29.5,61,,SSW,19,1007.4,30.5,64,1.0,NE,20,1004.3
,2024-03-15,25.8,32.1,0.0,,,ENE,28.0,13:20,30.2,70,5.0,NE,11,1008.3,31.5,69,,ENE,20,1005.7
,2024-03-16,24.8,31.8,0.4,,,ESE,39.0,11:06,28.6,79,8.0,SE,15,1011.3,27.3,85,8.0,ESE,20,1008.0
,2024-03-17,23.5,31.6,3.2,,,ESE,41.0,09:59,27.4,73,8.0,SE,17,1010.1,30.0,69,8.0,E,26,1006.6
,2024-03-18,26.3,31.0,0.0,,,ESE,50.0,12:55,28.4,72,8.0,ESE,19,1009.7,28.9,71,8.0,E,26,1007.6
,2024-03-19,25.0,32.5,0.8,,,E,44.0,15:29,29.3,76,2.0,ESE,20,1011.2,32.0,63,4.0,E,30,1009.1
,2024-03-20,25.6,34.3,0.2,,,ENE,41.0,14:16,30.1,63,2.0,ESE,28,1012.8,30.8,63,8.0,E,30,1009.7
,2024-03-21,22.9,33.2,0.0,,,ESE,37.0,11:32,29.2,66,,SE,22,1013.4,31.4,60,,NE,24,1010.3
,2024-03-22,24.8,31.6,0.0,,,ESE,57.0,14:00,28.2,71,1.0,SE,28,1014.1,30.2,65,7.0,ESE,30,1011.8
,2024-03-23,24.9,30.8,0.8,,,ESE,39.0,17:44,28.1,76,8.0,SE,17,1015.6,29.7,68,8.0,E,26,1013.3
,2024-03-24,25.4,32.0,0.0,,,ENE,35.0,16:08,28.7,72,8.0,ESE,22,1014.6,30.0,71,8.0,ENE,26,1011.5
,2024-03-25,22.9,26.7,53.0,,,W,48.0,07:19,23.4,96,8.0,SE,13,1014.7,25.5,94,7.0,W,7,1011.9
,2024-03-26,23.3,30.3,5.0,,,ENE,30.0,16:05,26.2,94,8.0,N,2,1014.8,28.1,84,,NE,17,1010.8
,2024-03-27,25.5,32.0,,,,,,,28.6,89,7.0,SE,9,1013.5,31.1,73,,NE,22,1010.1
,2024-03-28,25.4,32.0,0.0,,,ESE,37.0,19:43,28.3,83,5.0,ESE,17,1013.7,30.4,74,1.0,ENE,26,1011.2
,2024-03-29,25.5,30.8,2.2,,,E,56.0,18:47,26.2,89,8.0,SE,15,1016.9,30.3,71,,E,28,1014.6
,2024-03-30,22.9,31.0,0.4,,,SE,50.0,10:42,26.1,83,8.0,SSE,20,1019.6,30.1,59,,E,24,1016.5
,2024-03-31,21.4,31.3,0.0,,,ESE,35.0,12:05,26.7,67,6.0,S,13,1016.9,29.9,56,,ENE,26,1013.3
