,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,14.6,30.1,0.0,,,NNE,35.0,15:58,18.6,68,,NE,13,1021.0,29.4,39,,E,13,1017.2
,2025-02-2,17.9,32.8,0.0,,,ENE,30.0,16:51,20.0,62,,ENE,4,1020.3,31.1,26,,NE,13,1015.2
,2025-02-3,12.2,34.0,0.0,,,E,33.0,17:21,20.3,67,, ,Calm,1017.8,31.5,26,,N,13,1013.6
,2025-02-4,18.5,35.2,0.0,,,NW,30.0,12:25,23.1,68,,E,6,1013.7,34.3,24,,W,17,1008.9
,2025-02-5,19.8,33.4,0.0,,,SSE,44.0,14:46,24.9,53,,E,2,1010.9,24.2,72,,W,11,1009.1
,2025-02-6,14.8,32.3,7.8,,,E,30.0,19:12,19.2,83,,WSW,7,1015.0,30.9,35,,N,11,1011.3
,2025-02-7,15.5,35.0,0.0,,,WNW,44.0,20:37,21.8,76,,SW,2,1011.7,33.4,33,,N,13,1006.9
,2025-02-8,16.8,31.1,5.4,,,W,39.0,15:11,22.0,75,, ,Calm,1008.7,30.2,38,,WNW,19,1005.0
,2025-02-9,15.7,27.9,0.0,,,SSW,43.0,14:36,20.8,74,,ESE,7,1010.8,27.6,45,,NNE,9,1008.3
,2025-02-10,15.0,25.6,11.0,,,SE,39.0,18:29,16.5,100,,WSW,6,1011.3,23.5,53,,E,11,1009.7
,2025-02-11,12.6,25.6,14.2,,,ESE,30.0,16:57,18.0,71,,S,13,1011.6,24.0,50,,SE,9,1009.4
,2025-02-12,12.3,27.7,0.8,,,NE,33.0,15:06,17.9,86,,WNW,2,1013.3,26.5,47,,ENE,9,1010.5
,2025-02-13,16.3,30.7,0.0,,,NW,31.0,13:12,21.0,79,,NNE,6,1011.3,29.3,44,,NW,13,1006.8
,2025-02-14,18.3,25.3,3.4,,,NNE,26.0,13:35,18.5,100,,WNW,2,1005.8,24.2,66,,NNW,13,1002.8
,2025-02-15,11.9,21.7,11.6,,,NNW,39.0,14:05,16.3,77,,NNW,11,1002.5,20.9,36,,NNW,19,1001.4
,2025-02-16,4.4,20.2,0.0,,,S,39.0,12:50,10.9,52,,SW,9,1009.4,19.4,31,,SSW,15,1010.0
,2025-02-17,7.8,,0.0,,,,,,12.4,55,,S,15,1019.2,21.6,29,,WNW,11,1015.9
