,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,20.8,35.9,0.0,,,E,46.0,21:33,25.2,54,,ENE,24,1018.5,34.3,21,,N,9,1014.6
,2025-02-2,20.1,37.0,0.0,,,NE,48.0,23:13,23.9,53,,ENE,26,1018.4,34.4,25,,NE,9,1013.4
,2025-02-3,17.9,36.8,0.0,,,ENE,33.0,07:29,25.9,44,,ENE,24,1015.6,35.2,22,,SE,9,1012.0
,2025-02-4,23.0,38.7,0.0,,,SSW,37.0,18:33,27.2,53,,ENE,17,1012.7,37.3,20,,NNE,13,1007.6
,2025-02-5,20.6,36.8,0.0,,,ENE,56.0,20:09,28.3,50,,N,7,1010.3,34.9,28,7.0,WNW,24,1007.1
,2025-02-6,19.7,36.4,0.4,,,ENE,30.0,07:38,23.8,60,,ENE,17,1013.4,35.0,30,,NNW,11,1010.2
,2025-02-7,23.8,38.6,0.0,,,WSW,106.0,17:40,28.2,48,,NE,13,1010.1,37.9,23,2.0,NNW,9,1005.1
,2025-02-8,18.8,30.1,33.6,,,NNE,30.0,20:23,25.1,65,,ENE,7,1008.0,24.6,73,8.0,E,9,1006.5
,2025-02-9,20.1,31.8,1.2,,,ENE,56.0,21:06,23.2,67,,NE,15,1009.2,30.8,37,1.0,NE,13,1006.8
,2025-02-10,17.5,30.6,6.2,,,E,59.0,19:45,18.4,75,8.0,NNW,9,1010.5,29.1,36,2.0,NW,9,1008.3
,2025-02-11,15.4,31.4,1.6,,,ENE,43.0,22:30,21.2,66,,E,15,1011.5,29.4,36,,SE,9,1008.2
,2025-02-12,20.2,32.6,0.0,,,ENE,48.0,22:44,24.1,56,,ENE,24,1011.7,30.8,35,,NNW,9,1008.7
,2025-02-13,20.9,34.8,0.0,,,E,46.0,23:47,24.8,60,,ENE,30,1008.8,32.7,37,7.0,NNE,20,1004.5
,2025-02-14,21.1,25.2,6.2,,,W,39.0,14:34,21.3,95,8.0,ENE,13,1005.4,23.4,64,8.0,WSW,17,1003.1
,2025-02-15,14.2,22.6,12.6,,,WSW,59.0,12:39,15.9,64,,WSW,28,1006.8,21.5,34,1.0,WSW,33,1006.2
,2025-02-16,7.9,21.4,0.2,,,SW,41.0,00:39,12.6,54,,SSW,20,1013.4,19.7,28,,SSW,22,1013.4
,2025-02-17,9.2,,0.0,,,,,,14.4,53,,E,11,1020.0,22.6,29,,NW,9,1017.1
