,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,16.1,23.7,0.0,,,SE,35.0,15:34,21.9,69,,SSE,11,1013.4,21.8,72,,SSE,17,1012.6
,2025-02-2,17.5,26.6,0.0,,,SE,35.0,15:06,21.1,71,,E,6,1012.0,24.2,63,,SSE,15,1009.2
,2025-02-3,16.1,24.7,0.0,,,SE,37.0,19:27,21.8,51,,SSE,11,1015.2,21.4,57,,SE,19,1015.2
,2025-02-4,14.4,26.0,0.0,,,SE,48.0,16:08,21.1,56,,ESE,17,1018.0,23.7,56,,ESE,28,1014.6
,2025-02-5,13.3,28.5,0.0,,,SE,37.0,15:17,22.2,64,,E,13,1011.9,26.8,59,,SE,24,1007.7
,2025-02-6,19.6,25.2,0.0,,,SE,54.0,12:52,21.4,77,,SE,26,1011.9,22.8,62,,SE,31,1011.6
,2025-02-7,19.0,26.7,0.0,,,ESE,46.0,12:30,21.6,72,,ESE,20,1014.2,25.3,59,,SE,31,1010.8
,2025-02-8,19.2,32.7,0.0,,,ENE,41.0,06:38,21.9,73,,ENE,17,1008.5,29.2,54,,SE,15,1002.3
,2025-02-9,19.0,28.0,0.0,,,WNW,52.0,14:13,22.3,77,,NW,13,999.5,24.7,52,,WNW,22,998.9
,2025-02-10,18.3,26.5,0.0,,,W,50.0,13:23,22.6,71,,W,26,1003.4,24.5,63,,WNW,28,1003.4
,2025-02-11,15.7,20.2,3.0,,,WSW,65.0,13:15,16.2,90,,NW,19,1003.9,19.6,41,,W,28,1006.8
,2025-02-12,13.9,21.6,12.8,,,W,57.0,00:50,16.2,91,,SW,11,1015.0,19.7,52,,SSW,20,1017.0
,2025-02-13,15.8,20.3,0.2,,,S,41.0,01:39,17.6,71,,SSW,19,1021.4,18.9,69,,S,13,1021.0
,2025-02-14,15.4,24.0,0.0,,,SE,39.0,13:42,18.6,69,,ESE,19,1023.2,21.4,58,,SSE,19,1020.7
,2025-02-15,12.3,30.2,0.0,,,ENE,33.0,08:59,19.5,62,,ENE,19,1018.9,29.2,44,,SSE,15,1014.1
,2025-02-16,17.5,32.0,0.0,,,SE,50.0,19:12,26.0,39,,NE,13,1010.6,24.9,56,,SSE,13,1009.8
,2025-02-17,18.3,,0.0,,,,,,21.6,79,,ESE,24,1016.2,24.9,65,,ESE,28,1015.9
