,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,12.9,38.0,0.0,8.0,11.5,SSW,26.0,23:20,17.3,71,4,SSE,6,1019.8,35.2,32,1,SE,9,1013.8
,2025-02-2,17.2,39.7,0.0,10.8,9.7,S,50.0,19:01,30.6,32,7,ENE,11,1014.6,38.2,24,6,NE,9,1011.2
,2025-02-3,20.0,39.3,10.4,16.4,5.7,ESE,46.0,05:35,23.8,77,5,E,7,1011.4,37.1,25,7,N,9,1010.0
,2025-02-4,22.6,39.6,0.2,12.8,5.9,S,43.0,15:46,27.2,51,6,E,2,1008.2,38.1,23,7,WNW,11,1005.4
,2025-02-5,16.8,25.4,0.0,10.4,9.5,SW,35.0,14:32,17.3,65,7,S,9,1014.7,23.9,48,2,SW,17,1012.4
,2025-02-6,15.5,38.2,0.0,8.0,12.6,E,48.0,07:40,21.6,79,0,E,2,1011.8,34.9,25,1,NW,19,1007.7
,2025-02-7,18.9,24.8,0.0,9.4,1.0,S,37.0,15:31,19.9,95,7,WSW,9,1008.8,23.4,69,7,SW,13,1008.5
,2025-02-8,15.8,22.1,0.0,4.4,0.2,S,30.0,11:34,18.7,70,7,S,9,1012.1,19.9,71,8,SSW,11,1010.6
,2025-02-9,17.2,30.5,0.0,4.0,9.3,SE,43.0,15:48,20.3,69,4,SSE,6,1011.2,28.2,46,7,SE,17,1008.1
,2025-02-10,17.3,27.9,0.0,8.2,11.0,S,44.0,14:00,20.2,77,6,SW,7,1013.9,27.4,46,3,SSW,19,1012.2
,2025-02-11,17.4,33.2,0.0,7.6,10.7,WSW,30.0,13:33,20.9,79,7,ENE,6,1012.7,30.3,46,1,SW,13,1009.9
,2025-02-12,16.9,37.0,0.0,8.8,12.6,S,31.0,16:57,21.8,77,1,SSE,4,1011.3,36.2,27,1,SE,7,1007.5
,2025-02-13,21.8,35.8,0.0,12.6,2.9,N,54.0,12:42,27.2,48,7,ENE,17,1004.5,34.5,28,8,N,22,1000.7
,2025-02-14,15.6,26.1,0.4,10.8,7.6,SSW,41.0,16:36,18.8,68,3,WSW,11,1007.4,24.5,45,7,SW,17,1005.3
,2025-02-15,11.7,17.3,7.8,5.0,4.9,SSW,54.0,16:10,14.3,69,7,W,19,1007.5,12.7,81,7,WSW,20,1009.8
,2025-02-16,8.8,19.3,9.6,5.4,9.4,S,39.0,12:34,11.7,85,5,W,6,1016.6,18.0,50,5,SSW,20,1018.7
,2025-02-17,8.4,,0.2,6.2,,,,,13.9,73,1,SSE,2,1021.8,22.4,42,3,WSW,13,1019.2
