,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-07-1,4.0,11.4,2.0,0.4,5.4,S,20.0,16:38,4.8,100.0,7,S,6,1028.5,10.5,70.0,3,S,9,1028.2
,2024-07-2,0.4,12.9,0.0,0.2,7.1,S,19.0,13:27,2.1,100.0,7,SE,6,1034.4,12.2,51.0,4,S,6,1032.9
,2024-07-3,-2.1,13.2,0.2,1.2,8.9,SSW,15.0,15:26,0.6,100.0,0,SE,6,1037.9,12.8,59.0,1,SW,6,1036.3
,2024-07-4,-1.6,9.6,0.0,0.6,2.9,WNW,13.0,08:26,-0.1,100.0,1,WNW,2,1040.3,9.2,99.0,8, ,Calm,1037.9
,2024-07-5,-0.1,11.1,0.2,0.6,0.0,S,17.0,19:25,7.3,,7,WNW,2,1041.1,11.1,94.0,8, ,Calm,1040.0
,2024-07-6,4.2,9.6,0.0,0.4,5.7,E,13.0,14:34,5.9,100.0,7,SSE,4,1041.5,9.1,85.0,1,ENE,7,1038.0
,2024-07-7,2.7,15.9,0.0,0.6,7.2,ENE,50.0,13:07,3.1,100.0,1,ENE,6,1034.9,14.8,50.0,5,ENE,13,1029.1
,2024-07-8,3.1,15.2,0.0,1.6,0.3,NE,37.0,13:48,8.5,93.0,7,ESE,11,1023.1,14.6,76.0,7,NNE,11,1017.7
,2024-07-9,8.5,12.7,9.4,1.2,0.0,WSW,35.0,23:53,11.2,,8,WSW,7,1020.2,12.5,,8,SW,13,1020.0
,2024-07-10,9.1,13.8,9.0,3.0,3.8,WSW,28.0,00:09,9.6,,7,WSW,11,1022.0,13.1,,1,NE,7,1019.9
,2024-07-11,7.7,13.0,0.0,1.6,0.3,N,43.0,16:48,11.0,,7,NNE,13,1017.9,12.8,,7,N,17,1013.5
,2024-07-12,9.4,16.3,3.8,0.0,5.1,NW,15.0,11:02,9.9,,8, ,Calm,1015.4,15.6,,1,W,9,1014.1
,2024-07-13,6.3,13.4,0.4,1.2,5.2,SSW,26.0,13:24,8.5,,1, ,Calm,1017.4,11.7,,6,S,15,1016.2
,2024-07-14,5.5,11.5,5.2,2.0,3.4,SSW,35.0,15:36,6.5,,7,W,9,1016.2,10.5,,2,SW,17,1013.2
,2024-07-15,6.2,11.2,2.4,0.4,0.7,WSW,48.0,20:08,8.1,,4,W,13,1007.9,9.3,,8,W,20,1004.1
,2024-07-16,8.1,13.8,25.6,0.6,0.0,WSW,48.0,00:06,11.2,,8,SW,11,1005.7,12.9,,8,SSW,15,1006.9
,2024-07-17,8.1,14.5,0.0,0.6,1.2,SSW,46.0,17:47,9.9,,8,W,6,1012.4,12.5,,7,SSW,15,1011.3
,2024-07-18,5.6,12.1,2.0,1.2,3.9,W,24.0,02:54,6.5,,3,WSW,4,1017.2,10.5,,6,SW,6,1015.6
,2024-07-19,6.5,12.1,0.0,1.6,0.1,N,57.0,21:40,9.4,,7,NNE,17,1010.6,10.8,,8,N,22,1005.8
,2024-07-20,9.4,11.2,0.2,2.4,0.1,N,50.0,00:28,10.1,,7,WNW,19,997.9,10.6,,7,W,22,1002.6
,2024-07-21,6.7,15.7,5.6,2.8,4.6,NNW,33.0,14:01,9.2,,5,N,6,1018.3,13.3,,7,NNW,15,1018.1
,2024-07-22,9.2,17.3,0.2,0.8,5.1,NNW,44.0,11:03,12.1,,3,N,13,1022.4,15.9,,7,N,17,1021.6
,2024-07-23,11.0,17.5,0.0,2.8,7.1,,,,12.6,,7,NNE,9,1024.1,16.3,48.0,7,N,17,1021.6
,2024-07-24,10.2,15.5,,4.3,1.1,NNE,48.0,12:05,11.4,60.0,7,ENE,7,1019.4,15.3,49.0,8,NNE,19,1013.9
,2024-07-25,11.4,12.7,0.0,3.4,1.9,NE,48.0,01:46,12.7,65.0,8,N,15,1010.4,12.0,84.0,7,N,9,1009.3
,2024-07-26,5.6,13.5,4.4,1.6,8.7,N,46.0,14:31,9.9,76.0,1,E,9,1017.4,13.0,66.0,1,N,19,1016.4
,2024-07-27,9.9,11.3,0.2,3.0,1.7,N,46.0,03:21,11.0,71.0,7,N,17,1016.5,8.3,95.0,7,W,11,1016.6
,2024-07-28,3.5,11.0,8.4,1.0,4.1,SSW,41.0,10:17,6.8,91.0,6,WSW,15,1023.8,10.5,58.0,7,SSW,22,1025.2
,2024-07-29,5.5,10.5,3.0,1.2,0.3,S,22.0,16:35,7.6,100.0,8,SW,2,1031.6,10.0,98.0,7,SSW,2,1031.4
,2024-07-30,4.9,14.0,5.6,0.0,7.5,S,17.0,15:19,5.7,100.0,7,ENE,2,1037.5,13.4,64.0,2,SSW,7,1035.6
,2024-07-31,0.6,10.5,0.2,1.0,5.2,WNW,11.0,09:36,4.6,100.0,8,SSW,2,1037.7,8.1,87.0,1,NNW,6,1036.0
