,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,20.3,27.8,6.6,,,SE,37.0,11:31,25.3,68,8.0,E,13.0,1020.6,27.1,59,,E,20.0,1019.8
,2025-02-2,17.7,27.9,0.0,,,SSE,39.0,12:24,24.6,64,,E,9.0,1020.5,26.9,57,,SE,24.0,1018.5
,2025-02-3,19.5,29.7,0.0,,,ENE,41.0,16:28,25.8,73,,NW,4.0,1018.3,28.3,60,8.0,ENE,20.0,1016.3
,2025-02-4,21.8,30.5,0.0,,,NE,28.0,18:12,24.3,74,7.0,N,11.0,1014.7,29.4,56,8.0,NE,9.0,1011.3
,2025-02-5,20.4,34.2,0.0,,,SE,44.0,13:02,26.4,68,,NW,13.0,1010.3,27.5,66,7.0,SSE,31.0,1010.1
,2025-02-6,20.9,28.0,0.0,,,SSE,59.0,02:37,24.3,80,7.0,SSW,9.0,1013.8,27.1,69,8.0,SE,19.0,1013.5
,2025-02-7,20.1,30.9,0.0,,,ENE,39.0,16:24,25.9,64,,NE,11.0,1012.7,30.0,50,,ENE,19.0,1009.6
,2025-02-8,17.7,31.0,0.0,,,ENE,37.0,14:40,23.9,73,,N,6.0,1009.8,30.1,54,,ENE,20.0,1006.3
,2025-02-9,20.6,28.5,0.0,,,SE,30.0,13:36,23.8,83,8.0,W,2.0,1009.4,27.1,67,,SSE,20.0,1008.8
,2025-02-10,20.1,26.0,0.0,,,,,,25.3,78,5.0,SW,11.0,1010.5,20.7,89,8.0,SSW,13.0,1011.2
,2025-02-11,16.9,24.4,3.6,,,,,,20.2,89,8.0,,,1012.5,20.0,94,8.0,,,1010.8
,2025-02-12,16.5,27.4,12.4,,,,,,22.2,87,1.0,,,1012.5,26.6,69,8.0,SSE,20.0,1011.4
,2025-02-13,21.3,29.5,0.2,,,NE,44.0,14:22,25.3,74,,NE,22.0,1012.4,28.8,63,,ENE,30.0,1009.4
,2025-02-14,20.7,32.2,0.0,,,ENE,28.0,14:45,25.3,64,,NNE,11.0,1007.7,30.1,57,5.0,ENE,17.0,1004.2
,2025-02-15,21.5,25.8,2.4,,,S,35.0,05:57,22.6,88,8.0,SSW,20.0,1003.1,24.3,63,6.0,SE,19.0,1001.9
,2025-02-16,17.1,22.9,0.0,,,SSE,52.0,13:38,20.1,68,,WSW,17.0,1008.6,21.5,41,,S,35.0,1010.7
,2025-02-17,12.6,,0.0,,,,,,19.2,63,,SW,9.0,1019.1,22.5,46,,SSE,24.0,1017.6
