,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-06-1,15.3,21.4,0.8,,,N,72.0,17:56,19.8,86.0,,NNW,19,1011.5,19.8,89,,N,28,1006.3
,2024-06-2,11.9,17.8,31.6,,,WSW,67.0,05:12,15.4,79.0,,WNW,22,1005.2,16.9,57,,WSW,41,1007.4
,2024-06-3,13.8,19.3,1.6,,,WSW,39.0,02:47,17.3,75.0,,W,15,1018.4,17.6,79,,W,15,1019.4
,2024-06-4,10.8,20.0,3.4,,,W,28.0,14:01,15.4,100.0,,NNE,9,1023.8,18.2,97,,W,13,1022.5
,2024-06-5,13.5,21.2,5.0,,,N,43.0,14:49,16.0,100.0,,NNE,9,1021.8,19.5,76,,N,24,1018.7
,2024-06-6,16.0,21.6,6.2,,,WNW,72.0,12:40,21.4,83.0,,NNW,30,1012.8,18.9,97,,WNW,31,1011.0
,2024-06-7,8.1,18.0,21.2,,,,,,12.7,100.0,, ,Calm,1019.5,16.3,73,,ESE,7,1016.9
,2024-06-8,10.5,19.5,0.4,,,N,35.0,15:20,15.4,88.0,,N,13,1011.9,17.1,96,,N,17,1007.7
,2024-06-9,15.4,17.8,9.6,,,WNW,72.0,20:55,15.9,64.0,,WNW,31,1004.2,16.2,68,,WNW,31,1004.6
,2024-06-10,12.8,16.8,3.4,,,W,63.0,01:22,15.6,69.0,,W,35,1011.5,13.8,92,,W,35,1013.3
,2024-06-11,12.7,18.4,2.0,,,W,39.0,00:59,13.1,91.0,,ENE,9,1019.8,13.3,100,,E,7,1019.0
,2024-06-12,7.6,17.6,10.2,,,SSE,20.0,13:05,14.7,99.0,,SSE,7,1020.6,15.4,85,,SSE,9,1018.8
,2024-06-13,4.3,16.7,0.6,,,SSW,20.0,11:21,10.6,100.0,,NE,6,1022.4,15.4,85,, ,Calm,1020.8
,2024-06-14,5.6,18.1,0.8,,,NE,24.0,12:23,10.9,99.0,,ENE,13,1020.4,17.4,59,,NNE,15,1017.0
,2024-06-15,7.9,19.8,0.0,,,N,35.0,10:19,,,,,,,17.5,87,,NE,15,1012.3
,2024-06-16,11.4,18.7,4.4,,,WSW,37.0,11:54,17.3,88.0,,W,13,1016.6,16.3,81,,WSW,13,1017.1
,2024-06-17,6.7,16.1,0.8,,,WNW,17.0,10:00,11.2,100.0,, ,Calm,1021.0,13.9,97,,NW,9,1019.3
,2024-06-18,9.1,16.9,3.6,,,SW,44.0,12:59,15.0,85.0,,SW,19,1021.0,15.3,67,,SW,17,1022.2
,2024-06-19,9.6,16.7,0.2,,,SSW,24.0,00:27,12.0,99.0,, ,Calm,1029.3,15.1,82,,SSE,4,1027.8
,2024-06-20,6.0,16.9,0.0,,,NNE,30.0,10:55,11.8,90.0,,NE,11,1029.2,15.9,73,,N,15,1026.2
,2024-06-21,8.3,18.5,0.0,,,N,59.0,13:22,11.1,92.0,,NNE,15,1021.2,17.1,81,,N,24,1015.3
,2024-06-22,11.1,15.4,11.0,,,W,70.0,08:10,12.4,77.0,,WSW,35,1018.1,14.4,54,,WSW,22,1019.7
,2024-06-23,10.8,15.8,0.8,,,SW,37.0,03:42,13.1,76.0,,S,13,1027.2,14.8,67,,S,9,1026.8
,2024-06-24,7.8,15.3,5.4,,,SSE,33.0,11:41,12.1,99.0,,SE,11,1026.9,12.8,90,,ESE,20,1024.1
,2024-06-25,4.0,14.5,0.0,,,NE,37.0,21:46,9.3,93.0,,NE,13,1018.0,13.8,66,,NE,20,1013.2
,2024-06-26,9.2,17.7,8.8,,,NE,41.0,00:16,12.2,100.0,,NNE,11,1004.5,16.5,64,,WNW,17,1003.8
,2024-06-27,8.6,16.7,6.6,,,ENE,28.0,03:13,9.5,100.0,,E,13,1005.8,16.0,72,,SE,15,1004.8
,2024-06-28,9.4,17.6,0.0,,,SE,44.0,10:57,14.2,93.0,,SE,19,1013.2,15.8,77,,SSE,24,1014.9
,2024-06-29,6.0,16.7,0.0,,,ESE,26.0,11:42,9.9,99.0,,ESE,13,1023.8,16.3,66,,ESE,13,1023.5
,2024-06-30,7.2,18.4,0.0,,,NE,24.0,10:56,12.3,86.0,,NE,17,1029.5,17.2,60,,E,11,1027.6
