,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2024-12-1,18.4,27.3,2.6,,,NE,44.0,12:31,24.9,71.0,,NW,9,1006.1,19.9,82.0,7.0,SE,24,1005.4
,2024-12-2,,30.3,9.6,,,WNW,43.0,07:22,26.3,57.0,,WNW,31,1008.8,23.3,75.0,2.0,N,13,1006.6
,2024-12-3,19.1,29.5,0.2,,,NNW,56.0,13:34,22.8,74.0,1.0,NNE,13,1007.2,28.9,50.0,8.0,NNW,33,1005.6
,2024-12-4,19.7,23.3,0.0,,,S,63.0,02:45,20.8,75.0,8.0,S,24,1016.9,22.8,74.0,,S,13,1017.7
,2024-12-5,19.3,23.3,0.0,,,NE,35.0,17:44,20.8,85.0,7.0,NE,7,1021.6,21.9,86.0,5.0,N,13,1018.1
,2024-12-6,20.3,25.0,0.0,,,N,28.0,01:38,22.8,87.0,,E,11,1018.4,21.6,94.0,8.0,N,7,1014.9
,2024-12-7,20.4,,2.6,,,,,,21.6,91.0,7.0,NNE,15,1009.5,,,,,,1006.2
,2024-12-8,,,,,,,,,,,,,,1008.7,,,,,,1011.9
,2024-12-9,,,,,,,,,,,,,,1016.2,,,,,,1013.2
,2024-12-10,,,,,,,,,,,,,,1013.1,,,,,,1011.4
,2024-12-11,,,,,,,,,,,,,,1012.0,,,,,,1008.3
,2024-12-12,,,,,,,,,,,,,,1008.2,,,,,,1006.7
,2024-12-13,,,,,,,,,,,,,,1007.6,,,,,,1005.7
,2024-12-14,,,,,,,,,,,,,,1012.2,,,,,,1010.4
,2024-12-15,,,,,,,,,,,,,,1012.3,,,,,,1011.7
,2024-12-16,,,,,,,,,,,,,,1015.1,,,,,,1011.5
,2024-12-17,,,,,,,,,,,,,,1007.5,,,,,,1004.5
,2024-12-18,,,,,,,,,,,,,,1017.2,,,,,,1019.0
,2024-12-19,,,,,,,,,,,,,,1020.1,22.5,61.0,,SSE,28,1018.0
,2024-12-20,16.8,23.6,,,,SSW,28.0,07:08,21.2,58.0,,SSW,19,1014.8,23.2,57.0,,SE,19,1010.7
,2024-12-21,17.3,25.8,0.0,,,SSE,46.0,17:37,23.4,67.0,,ENE,15,1007.7,24.6,68.0,,SSE,20,1007.3
,2024-12-22,19.1,25.2,0.0,,,NE,28.0,15:46,21.9,66.0,, ,Calm,1009.8,24.9,61.0,,NNE,19,1005.3
,2024-12-23,20.0,27.2,0.0,,,SSE,74.0,11:42,25.2,28.0,,WSW,31,1000.9,20.7,63.0,,SSE,31,1002.5
,2024-12-24,14.9,23.0,0.0,,,SE,44.0,11:12,20.7,43.0,,SSW,20,1011.9,22.0,39.0,,SSE,13,1011.9
,2024-12-25,17.5,25.9,0.0,,,WNW,28.0,05:14,22.7,53.0,,WNW,17,1017.2,24.8,60.0,,NE,20,1015.4
,2024-12-26,18.5,26.4,0.0,,,NNE,56.0,13:46,23.9,71.0,,NE,26,1015.3,24.3,76.0,,NE,44,1010.3
,2024-12-27,20.6,36.0,0.0,,,NW,85.0,09:29,26.0,53.0,,WNW,46,1003.3,28.1,62.0,,ENE,24,999.6
,2024-12-28,17.8,25.6,1.0,,,S,43.0,23:04,21.7,70.0,,S,15,1010.7,23.3,63.0,,NE,26,1008.7
,2024-12-29,18.4,26.6,0.2,,,SE,31.0,12:16,25.5,44.0,,S,11,1014.1,22.8,71.0,, ,Calm,1015.3
,2024-12-30,17.9,25.4,0.0,,,NE,41.0,14:58,22.7,64.0,,SSE,9,1020.8,25.0,61.0,,NE,24,1017.0
,2024-12-31,19.2,26.5,0.0,,,NNW,37.0,00:43,22.5,79.0,,S,24,1016.4,25.0,71.0,,NE,19,1014.3
