,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2025-02-1,21.4,39.4,0,,,SE,35.0,07:49,26.8,23,,ESE,30,1011.6,37.8,6,,ENE,15,1008.0
,2025-02-2,24.4,42.5,0,,,NNE,61.0,15:28,29.6,22,,SE,20,1008.7,40.4,13,1.0,NNE,19,1006.0
,2025-02-3,26.4,42.3,0,,,SW,54.0,16:49,32.6,30,,ENE,17,1008.0,39.9,16,4.0,WSW,13,1005.5
,2025-02-4,26.7,42.8,0,,,S,61.0,17:57,32.4,36,,N,22,1007.9,40.4,18,,ESE,17,1005.6
,2025-02-5,21.0,40.1,0,,,SSE,46.0,01:14,23.6,59,,SSE,30,1009.3,37.7,22,,S,9,1006.7
,2025-02-6,22.8,43.0,0,,,SE,44.0,21:48,27.5,41,,ESE,17,1008.4,39.9,19,1.0,NW,9,1005.8
,2025-02-7,25.3,38.3,0,,,SE,48.0,21:23,28.1,34,,SSE,24,1008.0,37.2,23,2.0,SSW,22,1006.2
,2025-02-8,18.4,35.8,0,,,SSE,50.0,04:11,21.6,63,,S,24,1008.4,33.7,17,,SSW,20,1006.1
,2025-02-9,17.5,35.8,0,,,SSE,46.0,00:27,21.7,57,,S,28,1007.5,33.6,17,,SSW,19,1004.9
,2025-02-10,20.3,38.9,0,,,SSE,41.0,23:44,25.0,45,,ESE,28,1006.6,37.4,13,,SSE,9,1004.6
,2025-02-11,24.8,43.1,0,,,NNE,31.0,09:56,30.6,18,,E,17,1006.7,40.7,8,,NNE,15,1003.8
,2025-02-12,27.8,45.5,0,,,SW,76.0,20:49,34.5,15,,NE,35,1004.6,44.5,7,,N,28,1000.9
,2025-02-13,20.7,29.9,0,,,WSW,57.0,00:50,21.4,64,8.0,SW,30,1008.7,28.9,32,1.0,WSW,35,1007.4
,2025-02-14,17.9,28.9,0,,,S,46.0,09:23,19.8,63,,SSW,30,1012.9,26.9,32,1.0,SW,22,1011.3
,2025-02-15,15.3,28.0,0,,,SSW,59.0,16:57,18.1,50,,S,30,1015.7,25.9,25,,SSW,30,1013.8
,2025-02-16,14.3,27.4,0,,,SE,46.0,02:05,16.9,44,,ESE,24,1017.9,24.4,19,,ESE,15,1015.5
,2025-02-17,14.7,,0,,,,,,20.9,22,,ENE,19,1018.0,29.3,10,,SE,9,1015.7
