id_Location,id_Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Ballarat,2008-12-01,5.8,17.6,3.2,52.0,26.0,30.0,71.0,37.0,1008.2,1007.5,6.0,8.0,10.4,15.7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-02,4.3,19.5,0.4,44.0,20.0,24.0,66.0,47.0,1009.3,1007.3,6.0,8.0,12.5,17.6,0.0,0.0,1.0,0.0,1.0,0.0,0.932472,0.361242,0.445738,-0.895163,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-03,9.5,18.8,0.6,43.0,22.0,20.0,82.0,42.0,1009.5,1011.5,4.0,8.0,11.2,16.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.850217,-0.526432,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-04,6.7,21.8,0.2,39.0,9.0,22.0,60.0,33.0,1016.2,1012.6,4.0,8.0,14.4,20.6,0.0,1.0,1.0,0.0,1.0,0.0,-0.602635,0.798017,0.445738,0.895163,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-05,13.3,25.6,1.2,61.0,30.0,39.0,74.0,40.0,1006.6,1005.5,6.0,1.0,18.3,24.3,1.0,0.0,1.0,0.0,1.0,0.0,-0.602635,-0.798017,0.932472,0.361242,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-06,9.6,23.0,0.0,61.0,15.0,39.0,76.0,42.0,1009.6,1005.7,6.0,6.0,13.8,20.8,0.0,0.0,1.0,0.0,1.0,0.0,0.932472,0.361242,0.445738,-0.895163,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-07,4.6,16.4,0.0,39.0,20.0,24.0,71.0,42.0,1012.3,1012.1,4.0,4.0,9.6,15.6,0.0,0.0,1.0,0.0,1.0,0.0,-0.850217,0.526432,0.092268,0.995734,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-08,2.9,23.1,0.2,43.0,17.0,7.0,64.0,30.0,1014.0,1010.5,4.0,8.0,9.7,20.6,0.0,0.0,1.0,0.0,1.0,0.0,-0.602635,-0.798017,-0.273663,0.961826,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-09,5.3,17.6,0.0,35.0,9.0,19.0,55.0,87.0,1007.5,1006.4,8.0,8.0,13.2,12.4,0.0,1.0,1.0,0.0,1.0,0.0,-0.850217,-0.526432,0.092268,-0.995734,-0.273663,0.961826,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-10,8.3,18.3,5.0,50.0,28.0,22.0,71.0,43.0,1011.8,1010.9,6.0,8.0,10.6,18.1,1.0,0.0,1.0,0.0,1.0,0.0,-0.273663,-0.961826,-0.273663,0.961826,-0.602635,-0.798017,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-11,6.9,23.8,0.0,54.0,28.0,26.0,67.0,28.0,1013.8,1011.0,0.0,8.0,12.2,22.9,0.0,0.0,1.0,0.0,1.0,0.0,-0.982973,-0.18375,0.739009,0.673696,-0.273663,0.961826,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-12,12.1,19.6,0.0,41.0,24.0,11.0,47.0,97.0,1006.2,1002.2,8.0,8.0,18.8,15.3,0.0,1.0,1.0,0.0,1.0,0.0,-0.273663,-0.961826,-0.850217,0.526432,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-13,13.1,13.9,53.6,63.0,26.0,39.0,99.0,99.0,990.5,996.5,8.0,8.0,13.5,13.0,1.0,1.0,1.0,0.0,1.0,0.0,-0.850217,0.526432,-0.982973,0.18375,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-14,10.0,16.2,11.0,46.0,19.0,26.0,99.0,71.0,1005.8,1007.5,8.0,7.0,11.0,15.0,1.0,1.0,1.0,0.0,1.0,0.0,0.739009,-0.673696,-0.982973,0.18375,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-15,8.3,18.7,1.4,37.0,17.0,20.0,72.0,50.0,1012.3,1011.2,8.0,4.0,9.2,16.9,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.092268,0.995734,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-16,7.9,19.1,0.0,35.0,15.0,24.0,84.0,57.0,1012.5,1011.6,7.0,8.0,13.4,17.9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-17,10.3,20.1,1.8,31.0,7.0,7.0,91.0,64.0,1012.3,1008.8,7.0,8.0,12.3,18.7,1.0,0.0,1.0,0.0,1.0,0.0,0.092268,-0.995734,-0.602635,0.798017,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-18,11.1,19.2,0.6,48.0,15.0,22.0,86.0,49.0,1005.6,1005.1,7.0,6.0,13.6,18.8,0.0,1.0,1.0,0.0,1.0,0.0,0.739009,-0.673696,0.092268,0.995734,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-19,6.3,16.9,1.4,52.0,26.0,26.0,69.0,41.0,1014.1,1014.6,6.0,1.0,8.9,16.3,1.0,0.0,1.0,0.0,1.0,0.0,0.739009,-0.673696,-0.982973,0.18375,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-20,5.5,21.4,0.0,37.0,22.0,20.0,76.0,44.0,1020.4,1018.0,6.0,8.0,11.6,20.6,0.0,0.0,1.0,0.0,1.0,0.0,-0.982973,-0.18375,-0.273663,0.961826,-0.602635,-0.798017,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-21,6.8,26.7,0.0,46.0,20.0,28.0,44.0,32.0,1017.6,1013.8,1.0,8.0,19.2,25.2,0.0,0.0,1.0,0.0,0.0,1.0,-0.273663,0.961826,0.739009,-0.673696,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-22,18.8,32.2,0.0,72.0,44.0,41.0,39.0,21.0,1007.6,1004.2,6.0,2.0,22.3,30.2,0.0,0.0,1.0,0.0,0.0,1.0,0.092268,0.995734,-0.982973,-0.18375,-0.982973,0.18375,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-23,10.5,20.1,0.0,44.0,26.0,24.0,90.0,52.0,1013.2,1012.7,8.0,4.0,11.2,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.739009,-0.673696,-0.982973,0.18375,0.092268,-0.995734,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-24,7.2,24.8,0.2,33.0,15.0,17.0,68.0,27.0,1013.2,1011.3,2.0,8.0,12.8,24.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.850217,0.526432,0.739009,0.673696,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-25,8.8,25.5,0.0,37.0,13.0,9.0,61.0,32.0,1014.2,1012.3,2.0,8.0,15.9,22.7,0.0,0.0,1.0,0.0,0.0,1.0,0.739009,0.673696,0.739009,0.673696,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-26,10.6,28.9,0.0,46.0,22.0,11.0,42.0,32.0,1010.3,1008.1,5.0,8.0,21.4,26.9,0.0,0.0,1.0,0.0,0.0,1.0,0.092268,-0.995734,-0.982973,-0.18375,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-27,11.3,28.0,0.0,43.0,13.0,19.0,55.0,43.0,1006.1,1003.2,4.0,1.0,22.6,26.5,0.0,0.0,1.0,0.0,0.0,1.0,-0.850217,-0.526432,-0.982973,-0.18375,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-28,7.6,25.6,0.0,44.0,17.0,26.0,62.0,44.0,1003.9,1002.7,3.0,7.0,17.9,22.8,0.0,0.0,1.0,0.0,0.0,1.0,0.739009,0.673696,0.932472,0.361242,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-29,9.3,19.8,0.0,46.0,17.0,24.0,70.0,40.0,1008.2,1008.0,6.0,4.0,11.8,17.4,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.850217,-0.526432,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-30,10.2,20.1,2.4,61.0,22.0,37.0,99.0,45.0,1003.6,1003.2,8.0,8.0,11.9,18.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.850217,-0.526432,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2008-12-31,9.0,20.4,0.2,39.0,15.0,26.0,81.0,44.0,1006.1,1004.7,8.0,6.0,10.6,17.2,0.0,0.0,1.0,0.0,0.0,1.0,-0.602635,-0.798017,-0.850217,-0.526432,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Ballarat,2009-01-01,8.3,17.0,0.2,54.0,26.0,30.0,87.0,48.0,1004.7,1006.5,8.0,8.0,11.6,16.0,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,0.526432,1.0,0.0,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-02,3.0,17.0,0.4,52.0,26.0,28.0,70.0,35.0,1017.2,1017.6,6.0,5.0,9.1,15.9,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,0.092268,0.995734,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-03,0.7,22.5,0.0,31.0,20.0,11.0,61.0,26.0,1018.7,1015.9,2.0,8.0,11.7,20.0,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.273663,0.961826,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-04,5.9,28.8,0.0,39.0,22.0,11.0,24.0,14.0,1014.8,1012.8,3.0,8.0,20.4,27.1,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,0.739009,0.673696,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-05,8.3,29.6,0.0,41.0,6.0,20.0,42.0,12.0,1012.1,1010.6,3.0,8.0,19.2,28.3,0.0,0.0,0.866025,0.5,0.0,1.0,1.0,0.0,0.092268,-0.995734,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-06,10.8,30.3,0.0,41.0,9.0,19.0,48.0,30.0,1010.6,1008.0,0.0,8.0,20.1,29.9,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,0.445738,-0.895163,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-07,13.6,21.1,0.0,44.0,15.0,24.0,99.0,64.0,1009.2,1009.9,8.0,3.0,14.4,18.0,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,-0.602635,0.798017,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-08,7.3,18.2,0.0,50.0,26.0,28.0,71.0,36.0,1016.7,1017.2,3.0,8.0,11.4,16.9,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,-0.982973,0.18375,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-09,4.3,20.4,0.0,44.0,24.0,20.0,57.0,32.0,1019.5,1016.3,3.0,8.0,12.4,19.6,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.739009,0.673696,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-10,9.0,26.7,0.0,44.0,13.0,6.0,61.0,16.0,1011.9,1008.6,4.0,8.0,15.4,24.9,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.739009,0.673696,0.092268,0.995734,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-11,9.3,27.1,0.0,48.0,15.0,15.0,70.0,19.0,1010.0,1008.9,6.0,8.0,15.2,25.1,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,0.739009,0.673696,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-12,8.7,26.6,0.0,39.0,20.0,17.0,86.0,30.0,1017.6,1015.9,8.0,8.0,12.9,24.2,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,-0.602635,0.798017,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-13,8.6,34.9,0.0,50.0,20.0,22.0,20.0,13.0,1013.8,1010.5,0.0,8.0,25.0,33.1,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,0.961826,-0.982973,-0.18375,0.445738,0.895163,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-14,20.3,33.9,0.0,41.0,19.0,13.0,16.0,25.0,1009.0,1007.8,1.0,8.0,27.5,32.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,-0.982973,-0.18375,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-15,11.1,23.5,0.0,48.0,28.0,22.0,63.0,33.0,1014.8,1014.2,5.0,8.0,13.7,21.8,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,0.092268,0.995734,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
Ballarat,2009-01-16,9.8,18.6,0.0,54.0,26.0,30.0,66.0,43.0,1017.2,1018.3,6.0,6.0,12.6,16.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,0.673696,-0.850217,-0.526432,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
