id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Dartmoor,2009-03-05,11.4,21.7,0.0,3.0,7.8,48.0,9.0,19.0,92.0,54.0,1018.5,1017.45,14.3,21.05,0.0,0.0,0.0,1.0,0.0,1.0,-0.850217,0.526432,0.932472,-0.361242,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
Dartmoor,2009-03-06,8.2,17.6,0.8,3.0,0.0,26.0,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.932472,-0.361242,0.092268,0.995734,0,0,1,0,0,0,0,0,0,0,0
Dartmoor,2009-03-07,10.1,19.9,0.8,1.2,5.8,41.0,9.0,24.0,98.0,52.0,1017.8,1018.1,12.8,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.739009,-0.673696,0.445738,-0.895163,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
Dartmoor,2009-03-08,8.8,20.5,0.2,3.6,7.4,41.0,13.0,26.0,68.0,54.0,1021.9,1020.9,14.1,19.8,0.0,0.0,0.0,1.0,0.0,1.0,-0.273663,-0.961826,0.739009,0.673696,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
Dartmoor,2009-03-09,8.0,23.9,0.0,4.0,11.2,39.0,17.0,22.0,82.0,47.0,1021.7,1019.1,13.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.982973,-0.18375,0.739009,0.673696,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Dartmoor,2009-03-10,12.9,27.6,0.0,4.2,4.9,44.0,22.0,24.0,86.0,44.0,1020.4,1017.8,16.7,27.2,0.0,0.0,0.0,1.0,0.0,1.0,0.092268,-0.995734,-0.602635,-0.798017,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Dartmoor,2009-03-11,14.1,29.7,0.0,3.0,4.6,44.0,17.0,20.0,91.0,42.0,1019.7,1016.2,17.0,27.8,0.0,1.0,0.0,1.0,0.0,1.0,-0.602635,-0.798017,-0.602635,-0.798017,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
Dartmoor,2009-03-12,15.8,28.1,19.0,5.0,10.5,35.0,0.0,19.0,90.0,51.0,1015.6,1014.1,18.8,27.9,1.0,0.0,0.0,1.0,0.0,1.0,-0.850217,0.526432,0.932472,-0.361242,0.445738,0.895163,0,0,1,0,0,0,0,0,0,0,0
Dartmoor,2009-03-13,14.3,29.4,0.0,4.0,8.7,31.0,7.0,11.0,92.0,43.0,1015.9,1013.6,16.5,27.6,0.0,1.0,0.0,1.0,0.0,1.0,-0.850217,0.526432,-0.602635,0.798017,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0
Dartmoor,2009-03-14,14.5,20.1,14.2,6.4,8.1,72.0,17.0,44.0,93.0,81.0,1008.8,1009.5,15.0,12.7,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
