id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Hobart,2008-07-01,4.6,12.2,3.0,3.4,6.0,81.0,17.0,24.0,72.0,42.0,988.3,992.3,6.5,12.1,1.0,1.0,-0.866025,-0.5,-0.0,-1.0,0.739009,0.673696,0.739009,-0.673696,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Hobart,2008-07-02,5.1,10.8,16.2,3.6,3.2,83.0,24.0,26.0,78.0,60.0,991.7,1002.5,6.0,8.5,1.0,1.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,0.092268,-0.995734,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Hobart,2008-07-03,5.5,12.4,3.0,2.0,4.3,100.0,37.0,39.0,55.0,53.0,1008.7,1015.1,10.1,9.3,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.850217,0.526432,0.445738,-0.895163,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Hobart,2008-07-04,0.9,10.4,1.0,0.2,8.3,28.0,17.0,9.0,76.0,54.0,1028.9,1028.1,3.2,9.6,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.092268,0.995734,0.092268,-0.995734,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
Hobart,2008-07-05,0.5,10.0,0.0,1.4,8.1,28.0,13.0,15.0,79.0,53.0,1028.2,1025.4,2.9,9.7,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.092268,0.995734,0.932472,0.361242,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Hobart,2008-07-06,1.3,10.0,0.0,1.4,2.7,41.0,19.0,7.0,77.0,70.0,1021.6,1017.8,4.2,9.1,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.092268,0.995734,0.932472,0.361242,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
Hobart,2008-07-07,4.1,15.8,0.0,1.0,5.3,39.0,13.0,4.0,82.0,61.0,1017.2,1015.2,7.7,13.8,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,0.092268,0.995734,0.932472,0.361242,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Hobart,2008-07-08,7.3,14.2,8.4,0.2,3.4,24.0,7.0,13.0,96.0,72.0,1017.6,1017.2,8.3,14.0,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.092268,0.995734,-0.982973,-0.18375,-0.982973,0.18375,0,1,0,0,0,0,0,0,0,0,0
Hobart,2008-07-09,5.4,11.4,0.4,0.8,6.0,35.0,11.0,13.0,88.0,74.0,1017.8,1012.4,7.5,10.7,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.602635,-0.798017,0.092268,-0.995734,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
Hobart,2008-07-10,5.2,12.9,0.6,4.6,5.2,44.0,19.0,20.0,68.0,49.0,998.7,996.5,9.0,10.3,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,0.092268,0.995734,0.932472,0.361242,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
