id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Moree,2009-01-01,16.4,38.7,0.0,12.2,9.3,54.0,15.0,28.0,27.0,11.0,1005.5,1003.3,6.0,8.0,28.9,37.4,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,-0.798017,-0.982973,-0.18375,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0
Moree,2009-01-02,22.3,30.3,0.0,11.2,3.0,30.0,19.0,15.0,68.0,40.0,1009.5,1009.0,6.0,7.0,25.2,29.4,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,0.798017,0.739009,-0.673696,-0.273663,-0.961826,0,0,1,0,0,0,0,0,0,0,0
Moree,2009-01-03,21.2,33.3,0.0,6.2,11.7,46.0,22.0,22.0,57.0,31.0,1014.9,1012.2,6.0,5.0,24.5,32.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,0.445738,0.895163,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Moree,2009-01-04,16.4,33.5,0.0,11.2,13.3,39.0,20.0,20.0,51.0,28.0,1016.9,1012.2,1.0,3.0,22.9,31.9,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,-0.850217,0.526432,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Moree,2009-01-05,19.2,34.5,0.0,12.6,13.4,35.0,19.0,11.0,44.0,22.0,1015.1,1010.6,1.0,6.0,24.2,32.9,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.445738,0.895163,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
Moree,2009-01-06,21.3,36.8,0.0,10.8,12.4,33.0,24.0,9.0,54.0,26.0,1013.6,1009.1,1.0,5.0,25.4,34.6,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,0.739009,-0.673696,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
Moree,2009-01-07,22.2,34.5,0.0,10.0,7.6,39.0,26.0,7.0,56.0,23.0,1012.7,1008.5,7.0,7.0,25.2,32.5,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,0.798017,0.739009,-0.673696,-0.273663,-0.961826,0,0,1,0,0,0,0,0,0,0,0
Moree,2009-01-08,23.7,36.4,0.0,8.6,7.7,46.0,24.0,9.0,46.0,31.0,1009.6,1007.0,7.0,5.0,26.3,34.3,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,0.739009,-0.673696,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Moree,2009-01-09,20.4,34.3,0.0,12.0,6.8,69.0,26.0,7.0,53.0,31.0,1011.2,1008.0,5.0,5.0,26.3,32.1,0.0,1.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,-0.273663,-0.961826,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Moree,2009-01-10,16.0,32.1,9.2,9.8,9.6,76.0,22.0,9.0,51.0,29.0,1012.0,1007.3,2.0,5.0,21.1,30.4,1.0,1.0,0.866025,0.5,0.0,1.0,-0.850217,0.526432,0.739009,-0.673696,-0.273663,-0.961826,0,0,1,0,0,0,0,0,0,0,0
