id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
PearceRAAF,2009-01-01,18.8,38.4,0.0,11.6,13.1,50.0,22.0,13.0,46.0,20.0,1010.4,1007.2,0.0,0.0,23.1,35.6,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,-0.602635,-0.798017,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
PearceRAAF,2009-01-02,22.0,39.1,0.0,12.8,13.2,52.0,4.0,31.0,38.0,23.0,1008.3,1007.4,0.0,1.0,27.1,36.0,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,0.092268,-0.995734,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
PearceRAAF,2009-01-03,15.9,35.6,0.0,11.8,12.7,44.0,13.0,28.0,58.0,29.0,1012.1,1010.2,4.0,1.0,24.0,34.8,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,-0.602635,0.798017,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
PearceRAAF,2009-01-04,18.5,37.0,0.0,11.2,13.3,43.0,24.0,20.0,45.0,19.0,1016.6,1012.6,0.0,0.0,22.7,35.2,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.739009,0.673696,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
PearceRAAF,2009-01-05,21.8,38.6,0.0,11.4,13.2,59.0,15.0,15.0,35.0,15.0,1014.1,1010.1,0.0,0.0,26.8,37.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,-0.602635,-0.798017,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
PearceRAAF,2009-01-06,19.9,38.0,0.0,12.0,13.2,43.0,24.0,20.0,50.0,20.0,1013.5,1009.1,0.0,0.0,24.9,37.1,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,0.739009,0.673696,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
PearceRAAF,2009-01-07,18.8,36.6,0.0,12.0,13.2,69.0,26.0,22.0,49.0,23.0,1013.8,1010.5,1.0,1.0,23.2,34.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,-0.273663,-0.961826,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
PearceRAAF,2009-01-08,19.6,38.1,0.0,10.8,13.2,44.0,19.0,26.0,49.0,22.0,1014.1,1010.7,0.0,0.0,23.9,36.6,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.602635,-0.798017,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
PearceRAAF,2009-01-09,19.4,38.3,0.0,12.6,13.3,46.0,11.0,22.0,49.0,23.0,1015.0,1010.8,0.0,1.0,24.1,37.3,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,0.526432,0.739009,0.673696,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
PearceRAAF,2009-01-10,20.5,37.4,0.0,11.2,13.1,50.0,17.0,30.0,41.0,22.0,1012.7,1009.7,1.0,0.0,26.0,35.9,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,0.739009,0.673696,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
