id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Sydney,2008-02-01,19.5,22.4,15.6,6.2,0.0,41.0,17.0,20.0,92.0,84.0,1017.6,1017.4,8.0,8.0,20.7,20.9,1.0,1.0,0.5,0.866025,0.0,1.0,-0.982973,-0.18375,-0.602635,0.798017,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
Sydney,2008-02-02,19.5,25.6,6.0,3.4,2.7,41.0,9.0,13.0,83.0,73.0,1017.9,1016.4,7.0,7.0,22.4,24.8,1.0,1.0,0.5,0.866025,0.0,1.0,-0.982973,-0.18375,1.0,0.0,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
Sydney,2008-02-03,21.6,24.5,6.6,2.4,0.1,41.0,17.0,2.0,88.0,86.0,1016.7,1015.6,7.0,8.0,23.5,23.0,1.0,1.0,0.5,0.866025,0.0,1.0,-0.982973,-0.18375,-0.602635,-0.798017,-0.602635,0.798017,0,1,0,0,0,0,0,0,0,0,0
Sydney,2008-02-04,20.2,22.8,18.8,2.2,0.0,41.0,22.0,20.0,83.0,90.0,1014.2,1011.8,8.0,8.0,21.4,20.9,1.0,1.0,0.5,0.866025,0.0,1.0,-0.982973,-0.18375,0.739009,-0.673696,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
Sydney,2008-02-05,19.7,25.7,77.4,6.6,0.0,41.0,11.0,6.0,88.0,74.0,1008.3,1004.8,8.0,8.0,22.5,25.5,1.0,1.0,0.5,0.866025,0.0,1.0,-0.982973,-0.18375,0.739009,-0.673696,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Sydney,2008-02-06,20.2,27.2,1.6,2.6,8.6,41.0,9.0,22.0,69.0,62.0,1002.7,998.6,6.0,6.0,23.8,26.0,1.0,1.0,0.5,0.866025,0.0,1.0,-0.982973,-0.18375,1.0,0.0,-0.850217,0.526432,0,1,0,0,0,0,0,0,0,0,0
Sydney,2008-02-07,18.6,26.3,6.2,5.2,5.2,41.0,15.0,15.0,75.0,80.0,999.0,1000.3,4.0,7.0,21.7,22.3,1.0,1.0,0.5,0.866025,0.0,1.0,-0.982973,-0.18375,1.0,0.0,0.092268,-0.995734,0,1,0,0,0,0,0,0,0,0,0
Sydney,2008-02-08,17.2,22.3,27.6,5.8,2.1,41.0,7.0,15.0,77.0,61.0,1008.3,1007.4,7.0,8.0,18.9,21.1,1.0,1.0,0.5,0.866025,0.0,1.0,-0.982973,-0.18375,-0.602635,0.798017,-0.602635,-0.798017,0,1,0,0,0,0,0,0,0,0,0
Sydney,2008-02-09,16.4,20.8,12.6,4.8,3.0,41.0,19.0,9.0,92.0,91.0,1006.4,1007.6,7.0,7.0,17.1,16.5,1.0,1.0,0.5,0.866025,0.0,1.0,-0.982973,-0.18375,-0.982973,0.18375,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Sydney,2008-02-10,14.6,24.2,8.8,4.4,10.1,41.0,11.0,20.0,80.0,53.0,1014.0,1013.4,4.0,2.0,17.2,23.3,1.0,0.0,0.5,0.866025,0.0,1.0,-0.982973,-0.18375,1.0,0.0,-0.273663,0.961826,0,1,0,0,0,0,0,0,0,0,0
