id_Location,id_Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Tuggeranong,2008-12-01,13.1,24.2,0.0,61.0,22.0,33.0,36.0,34.0,1005.6,1003.6,19.6,23.1,0.0,0.0,1.0,0.0,1.0,0.0,0.932472,0.361242,0.092268,-0.995734,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-02,5.7,24.2,0.0,48.0,17.0,26.0,38.0,25.0,1008.8,1006.3,16.4,22.9,0.0,0.0,1.0,0.0,1.0,0.0,0.932472,0.361242,0.932472,0.361242,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-03,9.4,25.7,0.0,50.0,11.0,24.0,35.0,26.0,1005.7,1005.9,19.4,24.6,0.0,0.0,1.0,0.0,1.0,0.0,0.932472,0.361242,0.932472,0.361242,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-04,11.6,24.8,0.0,43.0,17.0,17.0,59.0,32.0,1017.7,1014.0,16.3,23.6,0.0,0.0,1.0,0.0,1.0,0.0,0.445738,0.895163,0.445738,0.895163,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-05,14.6,29.1,0.4,35.0,6.0,11.0,91.0,47.0,1011.7,1007.7,15.5,25.6,0.0,0.0,1.0,0.0,1.0,0.0,0.739009,0.673696,-0.273663,-0.961826,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-06,13.8,28.8,0.0,46.0,11.0,24.0,48.0,21.0,1007.6,1004.8,20.8,27.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.602635,-0.798017,-0.982973,-0.18375,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-07,16.5,26.4,0.0,56.0,15.0,24.0,38.0,12.0,1007.0,1005.2,20.8,26.2,0.0,0.0,1.0,0.0,1.0,0.0,0.739009,0.673696,1.0,0.0,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-08,12.2,26.4,0.0,39.0,11.0,20.0,55.0,16.0,1012.7,1008.1,16.2,25.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.602635,-0.798017,0.445738,-0.895163,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-09,10.0,28.1,0.0,41.0,6.0,19.0,69.0,14.0,1009.5,1004.6,17.1,26.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.739009,-0.673696,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-10,14.7,22.7,0.4,39.0,6.0,19.0,53.0,48.0,1006.5,1007.0,19.2,22.7,0.0,0.0,1.0,0.0,1.0,0.0,-0.273663,-0.961826,0.932472,0.361242,-0.602635,0.798017,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-11,13.9,23.2,0.0,41.0,9.0,20.0,68.0,49.0,1012.4,1011.0,15.9,21.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.982973,0.18375,-0.273663,-0.961826,-0.850217,0.526432,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-12,12.5,20.7,4.8,46.0,6.0,11.0,92.0,90.0,1012.7,1006.7,12.9,14.4,1.0,1.0,1.0,0.0,1.0,0.0,-0.982973,0.18375,-0.273663,-0.961826,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
Tuggeranong,2008-12-13,12.8,22.1,55.6,67.0,33.0,37.0,61.0,65.0,992.8,992.6,20.5,17.9,1.0,0.0,1.0,0.0,1.0,0.0,0.932472,0.361242,0.092268,-0.995734,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
