id_Location,id_Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Uluru,2013-03-01,19.7,30.0,0.8,48.0,30.0,24.0,76.0,54.0,1010.6,1007.5,21.7,28.4,0.0,0.0,0.0,1.0,0.0,1.0,0.092268,-0.995734,-0.273663,-0.961826,0.739009,0.673696,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-02,21.6,33.1,0.0,33.0,22.0,11.0,44.0,33.0,1010.5,1006.5,24.6,31.3,0.0,0.0,0.0,1.0,0.0,1.0,0.445738,-0.895163,-0.273663,-0.961826,-0.273663,-0.961826,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-03,21.3,36.1,0.0,33.0,24.0,13.0,39.0,27.0,1006.9,1002.7,27.6,34.5,0.0,0.0,0.0,1.0,0.0,1.0,0.445738,-0.895163,0.445738,0.895163,-0.273663,0.961826,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-04,22.9,37.7,0.0,39.0,28.0,13.0,35.0,22.0,1006.0,1002.1,28.7,35.4,0.0,0.0,0.0,1.0,0.0,1.0,-0.982973,0.18375,-0.273663,-0.961826,-0.273663,0.961826,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-05,24.0,39.0,0.0,39.0,20.0,19.0,33.0,21.0,1006.9,1003.5,29.9,37.3,0.0,0.0,0.0,1.0,0.0,1.0,-0.850217,-0.526432,-0.273663,-0.961826,0.092268,-0.995734,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-06,24.3,39.7,0.0,46.0,22.0,15.0,36.0,17.0,1007.9,1003.9,30.4,38.1,0.0,0.0,0.0,1.0,0.0,1.0,-0.850217,-0.526432,-0.273663,-0.961826,-0.850217,-0.526432,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-07,26.6,38.6,0.0,33.0,24.0,15.0,41.0,21.0,1008.3,1004.5,29.9,37.1,0.0,0.0,0.0,1.0,0.0,1.0,0.739009,0.673696,-0.273663,-0.961826,-0.273663,0.961826,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-08,26.9,39.4,0.0,54.0,13.0,15.0,39.0,24.0,1008.9,1005.1,30.9,36.8,0.0,0.0,0.0,1.0,0.0,1.0,-0.982973,-0.18375,-0.273663,-0.961826,-0.982973,-0.18375,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-09,24.4,40.0,0.0,54.0,22.0,9.0,54.0,24.0,1010.4,1005.9,28.6,37.5,0.0,0.0,0.0,1.0,0.0,1.0,-0.273663,-0.961826,-0.602635,-0.798017,0.739009,-0.673696,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-10,25.4,39.8,0.0,37.0,24.0,13.0,40.0,20.0,1010.7,1006.8,31.0,37.7,0.0,0.0,0.0,1.0,0.0,1.0,0.445738,0.895163,-0.273663,-0.961826,-0.602635,-0.798017,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-11,23.9,39.5,0.0,41.0,17.0,19.0,26.0,13.0,1010.3,1006.0,31.9,37.9,0.0,0.0,0.0,1.0,0.0,1.0,-0.982973,0.18375,0.739009,-0.673696,0.739009,0.673696,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-12,20.6,40.9,0.0,57.0,15.0,7.0,22.0,13.0,1009.2,1005.3,32.0,39.7,0.0,0.0,0.0,1.0,0.0,1.0,-0.850217,-0.526432,0.445738,0.895163,0.739009,-0.673696,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-13,22.3,37.3,0.0,52.0,28.0,19.0,56.0,24.0,1012.6,1008.5,24.1,34.6,0.0,0.0,0.0,1.0,0.0,1.0,-0.850217,-0.526432,-0.273663,0.961826,-0.982973,-0.18375,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-14,19.8,33.8,0.0,39.0,26.0,11.0,34.0,24.0,1013.8,1009.4,23.3,32.7,0.0,0.0,0.0,1.0,0.0,1.0,0.092268,-0.995734,-0.602635,-0.798017,-0.602635,-0.798017,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-15,17.2,35.9,0.0,35.0,24.0,7.0,29.0,13.0,1015.3,1010.7,23.5,34.6,0.0,0.0,0.0,1.0,0.0,1.0,0.445738,-0.895163,-0.273663,-0.961826,0.739009,0.673696,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-16,19.1,37.9,0.0,43.0,22.0,22.0,20.0,10.0,1016.1,1012.7,27.9,36.9,0.0,0.0,0.0,1.0,0.0,1.0,-0.273663,-0.961826,-0.273663,-0.961826,-0.602635,0.798017,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-17,21.9,35.4,0.0,46.0,33.0,17.0,33.0,20.0,1018.6,1013.7,26.4,34.2,0.0,0.0,0.0,1.0,0.0,1.0,0.092268,-0.995734,-0.602635,-0.798017,-0.602635,-0.798017,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-18,19.6,34.9,0.0,35.0,26.0,17.0,32.0,20.0,1016.3,1012.0,24.4,33.5,0.0,0.0,0.0,1.0,0.0,1.0,0.445738,-0.895163,-0.273663,-0.961826,-0.273663,0.961826,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-19,20.0,36.6,0.0,30.0,22.0,19.0,17.0,15.0,1015.6,1011.5,25.5,34.9,0.0,0.0,0.0,1.0,0.0,1.0,0.445738,-0.895163,-0.273663,-0.961826,-0.850217,0.526432,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-20,19.7,39.6,0.0,30.0,9.0,11.0,17.0,13.0,1014.8,1009.3,27.5,37.8,0.0,0.0,0.0,1.0,-1.0,0.0,0.739009,0.673696,0.445738,0.895163,-0.982973,0.18375,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-21,25.9,39.8,0.0,39.0,22.0,19.0,25.0,17.0,1010.4,1006.7,33.2,38.7,0.0,0.0,0.0,1.0,-1.0,0.0,0.739009,-0.673696,-0.602635,0.798017,-0.850217,-0.526432,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-22,22.9,37.8,0.0,35.0,20.0,17.0,39.0,17.0,1013.9,1010.2,25.5,36.1,0.0,0.0,0.0,1.0,-1.0,0.0,-0.850217,-0.526432,0.739009,0.673696,-0.273663,0.961826,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-23,22.4,34.6,0.4,46.0,28.0,22.0,41.0,25.0,1014.9,1012.2,24.5,32.6,0.0,0.0,0.0,1.0,-1.0,0.0,0.445738,-0.895163,-0.273663,-0.961826,-0.602635,0.798017,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-24,22.5,37.2,0.0,61.0,26.0,20.0,28.0,21.0,1015.6,1011.1,28.1,35.4,0.0,0.0,0.0,1.0,-1.0,0.0,0.739009,-0.673696,-0.273663,-0.961826,0.445738,-0.895163,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-25,21.3,32.5,0.0,48.0,9.0,19.0,55.0,54.0,1015.3,1011.1,23.5,26.9,0.0,0.0,0.0,1.0,-1.0,0.0,0.739009,-0.673696,0.739009,0.673696,0.445738,-0.895163,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-26,19.6,38.0,0.0,46.0,26.0,26.0,20.0,22.0,1010.1,1004.5,28.4,36.7,0.0,0.0,0.0,1.0,-1.0,0.0,-0.273663,0.961826,0.445738,0.895163,-0.273663,-0.961826,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-27,25.4,34.7,0.0,50.0,15.0,17.0,61.0,39.0,1009.7,1006.6,26.8,32.7,0.0,1.0,0.0,1.0,-1.0,0.0,-0.850217,0.526432,-0.602635,0.798017,-0.850217,-0.526432,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-28,16.9,20.0,40.2,46.0,22.0,30.0,98.0,71.0,1018.1,1016.6,17.7,19.5,1.0,0.0,0.0,1.0,-1.0,0.0,0.092268,-0.995734,0.739009,0.673696,-0.602635,0.798017,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-29,14.9,26.5,0.4,50.0,31.0,22.0,58.0,49.0,1017.0,1012.9,17.5,24.7,0.0,1.0,0.0,1.0,-1.0,0.0,0.445738,-0.895163,-0.273663,-0.961826,-0.602635,0.798017,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-03-31,14.4,23.4,0.0,43.0,22.0,24.0,30.0,56.0,1013.3,1015.2,27.1,21.7,0.0,0.0,0.0,1.0,-1.0,0.0,0.092268,-0.995734,-0.273663,-0.961826,-0.602635,0.798017,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-04-01,13.6,27.3,0.0,44.0,24.0,26.0,61.0,36.0,1020.1,1016.6,19.3,25.8,0.0,0.0,-0.5,0.866025,-1.0,0.0,0.445738,-0.895163,-0.602635,-0.798017,-0.602635,0.798017,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-04-02,16.0,27.7,0.0,44.0,28.0,20.0,46.0,29.0,1019.9,1016.3,20.9,25.9,0.0,0.0,-0.5,0.866025,-1.0,0.0,0.445738,-0.895163,-0.273663,-0.961826,-0.602635,-0.798017,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-04-03,15.0,29.9,0.0,46.0,26.0,22.0,43.0,23.0,1019.1,1014.8,21.5,28.8,0.0,0.0,-0.5,0.866025,-1.0,0.0,0.445738,-0.895163,-0.602635,-0.798017,-0.850217,0.526432,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-04-04,15.4,29.7,0.0,44.0,22.0,13.0,40.0,23.0,1019.6,1015.5,21.9,28.2,0.0,0.0,-0.5,0.866025,-1.0,0.0,-0.982973,0.18375,-0.273663,-0.961826,-0.602635,0.798017,0,0,0,0,0,0,1,0,0,0,0
Uluru,2013-04-05,19.3,29.1,0.0,35.0,24.0,6.0,36.0,28.0,1019.4,1015.8,23.0,28.8,0.0,0.0,-0.5,0.866025,-1.0,0.0,-0.982973,0.18375,-0.273663,-0.961826,0.739009,-0.673696,0,0,0,0,0,0,1,0,0,0,0
