id_Location,id_Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Walpole,2009-01-01,15.7,24.5,0.0,44.0,17.0,28.0,73.0,66.0,1016.5,1014.0,18.0,23.1,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,-0.273663,-0.961826,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-02,13.2,25.7,0.0,35.0,11.0,13.0,78.0,71.0,1013.4,1011.1,20.0,24.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,-0.273663,-0.961826,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-03,17.1,21.8,0.0,33.0,13.0,15.0,73.0,66.0,1017.0,1016.6,19.1,20.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.273663,0.961826,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-04,12.9,24.9,0.0,31.0,4.0,13.0,74.0,53.0,1019.7,1017.4,19.8,23.9,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.602635,-0.798017,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-05,14.3,24.5,0.0,31.0,9.0,15.0,71.0,75.0,1017.5,1015.5,20.4,22.4,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,0.526432,-0.850217,0.526432,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-06,17.4,23.3,0.0,39.0,9.0,19.0,73.0,90.0,1018.0,1017.3,20.5,18.6,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.739009,0.673696,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-07,12.5,23.4,0.0,46.0,15.0,30.0,68.0,55.0,1020.4,1017.0,17.3,22.2,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.273663,-0.961826,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-08,13.1,25.6,0.0,41.0,19.0,24.0,75.0,64.0,1020.1,1017.6,18.9,24.3,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.273663,-0.961826,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-09,13.9,25.6,0.0,35.0,15.0,17.0,70.0,67.0,1019.6,1017.0,19.9,22.8,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.273663,-0.961826,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-10,13.3,24.1,0.0,30.0,4.0,17.0,98.0,66.0,1016.1,1015.1,15.9,23.2,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,1.0,0.0,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-11,13.2,31.3,0.0,30.0,9.0,15.0,84.0,64.0,1011.1,1007.1,19.3,25.9,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.982973,-0.18375,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-12,16.0,22.6,0.0,41.0,15.0,17.0,85.0,92.0,1005.5,1008.3,21.1,16.7,0.0,0.0,0.866025,0.5,0.0,1.0,1.0,0.0,0.092268,-0.995734,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-13,13.0,22.2,1.0,33.0,17.0,15.0,60.0,51.0,1016.3,1016.3,18.5,21.0,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,0.673696,0.092268,0.995734,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-14,11.6,23.5,0.0,33.0,9.0,15.0,74.0,49.0,1019.6,1019.3,17.0,22.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,0.445738,-0.895163,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-15,13.1,29.4,0.0,37.0,17.0,24.0,75.0,50.0,1021.3,1017.2,18.9,27.3,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.445738,0.895163,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-16,16.9,38.4,0.0,41.0,9.0,13.0,51.0,46.0,1013.3,1009.6,25.5,30.9,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,-0.798017,-0.850217,0.526432,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-17,17.2,23.8,0.0,33.0,20.0,17.0,73.0,71.0,1018.3,1017.7,21.1,22.8,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,0.739009,0.673696,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-18,16.4,19.9,0.0,44.0,19.0,30.0,78.0,70.0,1019.4,1018.9,17.4,18.1,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.739009,0.673696,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-19,13.5,21.0,0.0,41.0,17.0,15.0,61.0,50.0,1021.3,1019.3,16.7,20.0,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.739009,0.673696,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-20,12.3,23.1,0.0,33.0,15.0,20.0,75.0,70.0,1018.5,1017.4,17.5,20.5,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,0.673696,0.092268,-0.995734,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-21,16.3,24.8,0.0,57.0,22.0,30.0,70.0,61.0,1012.9,1011.0,19.2,23.6,0.0,1.0,0.866025,0.5,0.0,1.0,1.0,0.0,0.092268,-0.995734,0.092268,0.995734,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-22,15.7,23.5,4.2,46.0,13.0,28.0,78.0,63.0,1011.7,1010.6,19.4,22.4,1.0,0.0,0.866025,0.5,0.0,1.0,0.932472,0.361242,-0.850217,-0.526432,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-23,17.7,23.6,1.0,41.0,17.0,19.0,91.0,55.0,1011.4,1012.1,18.4,23.0,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,0.673696,1.0,0.0,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-24,11.7,26.5,0.2,28.0,15.0,17.0,73.0,39.0,1014.8,1013.7,17.7,25.1,0.0,0.0,0.866025,0.5,0.0,1.0,0.932472,0.361242,0.092268,-0.995734,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-25,17.2,25.6,0.0,33.0,11.0,20.0,72.0,64.0,1016.4,1013.4,20.4,24.4,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.739009,0.673696,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-26,15.4,25.2,0.0,30.0,0.0,17.0,96.0,74.0,1008.6,1008.7,18.7,21.7,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,0.445738,0.895163,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-27,14.4,20.9,0.0,37.0,13.0,20.0,83.0,61.0,1012.9,1011.1,17.4,20.2,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.602635,-0.798017,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-28,16.5,20.1,0.0,33.0,15.0,17.0,70.0,73.0,1008.4,1007.2,18.2,18.3,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,0.739009,0.673696,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-29,15.6,22.7,0.0,28.0,11.0,15.0,58.0,49.0,1010.2,1010.7,20.0,21.9,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,-0.273663,0.961826,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-30,12.2,20.9,0.0,35.0,9.0,19.0,69.0,82.0,1013.8,1012.7,19.9,19.4,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.602635,-0.798017,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-01-31,16.9,31.3,0.0,33.0,13.0,19.0,77.0,53.0,1012.4,1009.0,20.7,29.4,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,-0.273663,-0.961826,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-01,18.9,29.1,0.0,31.0,7.0,15.0,83.0,65.0,1013.7,1012.1,22.4,27.7,0.0,0.0,0.5,0.866025,0.0,1.0,-0.273663,-0.961826,-0.982973,-0.18375,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-02,18.7,29.9,0.0,28.0,11.0,15.0,93.0,60.0,1011.9,1009.0,20.8,29.0,0.0,0.0,0.5,0.866025,0.0,1.0,0.739009,-0.673696,-0.273663,-0.961826,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-04,15.5,22.8,0.0,35.0,24.0,20.0,77.0,55.0,1015.5,1015.8,18.1,21.1,0.0,0.0,0.5,0.866025,0.0,1.0,-0.850217,-0.526432,-0.982973,0.18375,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-05,13.3,22.7,0.0,31.0,4.0,15.0,79.0,53.0,1014.8,1012.0,16.8,21.2,0.0,0.0,0.5,0.866025,0.0,1.0,0.739009,-0.673696,-0.602635,0.798017,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-06,13.7,21.0,0.0,50.0,9.0,22.0,70.0,51.0,1009.7,1008.0,16.8,20.3,0.0,1.0,0.5,0.866025,0.0,1.0,0.739009,0.673696,0.445738,-0.895163,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-07,13.7,20.6,1.8,37.0,13.0,15.0,61.0,45.0,1014.3,1016.7,16.6,18.5,1.0,0.0,0.5,0.866025,0.0,1.0,1.0,0.0,0.092268,0.995734,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-08,13.9,22.6,0.0,43.0,11.0,24.0,64.0,51.0,1022.8,1021.4,17.6,21.5,0.0,0.0,0.5,0.866025,0.0,1.0,-0.273663,-0.961826,-0.273663,-0.961826,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-09,15.6,25.6,0.0,52.0,20.0,33.0,62.0,57.0,1023.5,1020.8,19.6,24.3,0.0,0.0,0.5,0.866025,0.0,1.0,-0.273663,-0.961826,0.445738,0.895163,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-10,15.2,30.8,0.0,46.0,22.0,20.0,62.0,32.0,1021.5,1017.4,18.9,28.2,0.0,0.0,0.5,0.866025,0.0,1.0,-0.982973,0.18375,-0.850217,0.526432,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-11,16.9,35.4,0.0,43.0,20.0,20.0,57.0,33.0,1014.0,1010.3,21.2,32.7,0.0,0.0,0.5,0.866025,0.0,1.0,0.445738,0.895163,-0.850217,0.526432,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-12,19.1,27.9,0.0,50.0,9.0,19.0,35.0,63.0,1007.8,1010.0,25.2,22.9,0.0,0.0,0.5,0.866025,0.0,1.0,-0.273663,0.961826,0.445738,-0.895163,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Walpole,2009-02-13,15.3,20.7,0.2,52.0,26.0,31.0,66.0,60.0,1019.8,1019.4,17.0,18.7,0.0,1.0,0.5,0.866025,0.0,1.0,-0.982973,-0.18375,0.739009,0.673696,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
