id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Williamtown,2009-01-01,15.2,34.0,0.0,11.6,9.2,41.0,17.0,20.0,62.0,36.0,1005.2,1001.5,3.0,6.0,23.7,28.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,-0.798017,0.445738,-0.895163,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-02,18.3,24.5,0.0,8.8,9.4,54.0,13.0,30.0,61.0,57.0,1012.1,1011.7,3.0,2.0,21.6,23.4,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,-0.602635,0.798017,0.739009,0.673696,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-03,16.8,23.5,0.4,8.4,0.4,37.0,19.0,22.0,60.0,58.0,1020.4,1018.4,7.0,7.0,20.1,21.7,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,-0.602635,-0.798017,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-04,17.5,27.8,0.0,5.0,12.0,50.0,19.0,35.0,60.0,51.0,1018.4,1014.6,1.0,1.0,22.7,26.4,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,-0.850217,0.526432,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-05,14.8,36.0,0.0,8.6,11.9,37.0,15.0,26.0,67.0,39.0,1013.6,1008.7,2.0,3.0,22.5,33.8,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,0.932472,0.361242,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-06,18.6,33.7,0.0,9.2,13.0,39.0,13.0,19.0,68.0,49.0,1011.1,1008.1,1.0,1.0,26.3,29.2,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,-0.273663,0.961826,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-07,19.7,35.5,0.0,11.0,5.3,30.0,15.0,19.0,81.0,40.0,1009.9,1005.8,4.0,7.0,24.1,33.8,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,-0.602635,0.798017,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-08,20.7,23.8,0.0,7.8,0.1,48.0,35.0,24.0,83.0,79.0,1010.3,1011.9,7.0,8.0,21.7,21.8,0.0,1.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,-0.982973,0.18375,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-09,17.6,23.0,1.4,8.6,1.9,43.0,24.0,28.0,61.0,51.0,1018.7,1017.6,8.0,6.0,19.1,21.9,1.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,0.739009,0.673696,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-10,13.3,24.9,0.0,4.2,10.1,44.0,7.0,30.0,57.0,46.0,1016.2,1012.8,6.0,6.0,20.6,22.9,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,-0.850217,0.526432,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-11,12.9,27.9,0.0,9.2,11.7,41.0,17.0,28.0,56.0,45.0,1013.3,1010.3,2.0,2.0,22.7,26.6,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,-0.850217,0.526432,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-12,16.1,28.2,0.0,8.4,13.0,43.0,6.0,31.0,64.0,61.0,1014.4,1014.5,1.0,2.0,24.0,27.1,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.445738,0.895163,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-13,16.6,28.2,0.0,9.6,13.1,46.0,17.0,26.0,62.0,50.0,1018.8,1016.1,1.0,1.0,23.7,27.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,-0.850217,0.526432,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-14,16.7,35.2,0.0,9.0,13.1,39.0,13.0,26.0,67.0,33.0,1015.2,1011.5,0.0,1.0,24.3,34.5,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,-0.982973,-0.18375,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-15,17.1,42.0,0.0,10.4,11.8,57.0,11.0,22.0,51.0,15.0,1010.4,1006.2,0.0,2.0,26.8,40.5,0.0,1.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,-0.982973,-0.18375,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-16,19.3,26.2,6.0,13.8,7.2,46.0,17.0,22.0,80.0,64.0,1012.1,1009.1,7.0,1.0,20.2,25.1,1.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.602635,0.798017,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-17,18.8,23.2,0.0,9.0,2.8,48.0,30.0,30.0,57.0,52.0,1019.0,1019.4,7.0,6.0,19.8,20.9,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.273663,0.961826,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-18,11.5,24.2,0.0,6.0,11.8,39.0,7.0,28.0,69.0,45.0,1021.5,1019.6,1.0,1.0,19.7,23.1,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,1.0,0.0,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-19,11.1,30.0,0.0,7.6,10.0,35.0,13.0,22.0,59.0,46.0,1019.0,1014.8,7.0,7.0,21.2,26.3,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,-0.850217,0.526432,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-20,14.0,34.9,0.0,7.6,13.3,44.0,9.0,24.0,59.0,34.0,1014.4,1010.3,2.0,2.0,24.5,33.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,-0.982973,-0.18375,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-21,20.5,38.8,0.0,10.8,7.2,50.0,11.0,19.0,69.0,40.0,1012.6,1008.3,5.0,6.0,25.4,33.6,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,0.961826,0.092268,-0.995734,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-22,21.8,28.8,0.0,11.2,1.3,41.0,11.0,13.0,67.0,84.0,1010.1,1008.0,7.0,7.0,25.7,24.9,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,-0.798017,-0.982973,-0.18375,-0.982973,0.18375,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-23,20.1,35.7,1.0,4.4,12.2,41.0,13.0,22.0,62.0,44.0,1010.1,1007.0,1.0,5.0,27.9,33.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,0.445738,-0.895163,0.739009,0.673696,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-24,22.8,40.8,0.0,9.0,9.5,61.0,11.0,24.0,60.0,32.0,1006.0,1003.5,2.0,6.0,29.6,38.9,0.0,1.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,0.932472,0.361242,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-25,18.6,23.5,10.4,12.8,0.0,57.0,22.0,26.0,72.0,68.0,1018.2,1017.6,7.0,7.0,21.0,22.1,1.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,-0.602635,0.798017,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-26,19.1,24.5,1.0,2.8,0.0,37.0,11.0,22.0,99.0,87.0,1018.3,1017.8,7.0,7.0,20.1,24.0,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,1.0,0.0,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-27,20.0,27.9,0.4,1.8,10.4,37.0,13.0,24.0,86.0,69.0,1019.9,1018.5,7.0,3.0,24.1,27.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,0.445738,0.895163,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-28,16.7,30.3,0.0,7.6,12.3,39.0,15.0,28.0,82.0,52.0,1018.1,1015.3,3.0,1.0,23.6,29.5,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,0.739009,-0.673696,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-29,17.6,31.7,0.0,7.4,12.8,50.0,15.0,37.0,74.0,60.0,1017.7,1015.6,3.0,1.0,25.5,29.0,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,0.739009,-0.673696,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-30,16.7,32.3,0.0,9.8,12.9,52.0,17.0,33.0,57.0,53.0,1017.9,1014.5,0.0,1.0,25.0,30.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,0.739009,-0.673696,0.739009,0.673696,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-01-31,19.0,33.7,0.0,9.8,12.0,54.0,13.0,28.0,61.0,44.0,1017.2,1013.6,1.0,3.0,26.1,32.2,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,-0.982973,-0.18375,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Williamtown,2009-02-01,18.1,31.7,0.0,9.6,12.5,54.0,9.0,33.0,66.0,47.0,1014.8,1013.0,0.0,1.0,25.2,30.0,0.0,0.0,0.5,0.866025,0.0,1.0,-0.982973,0.18375,-0.850217,0.526432,0.739009,0.673696,0,0,1,0,0,0,0,0,0,0,0
