Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,"0,86","0,73","0,73","0,85","15,4"
RandomForestClassifier,"0,86","0,73","0,73","0,85","21,38"
BaggingClassifier,"0,85","0,72","0,72","0,84","11,67"
LinearDiscriminantAnalysis,"0,84","0,72","0,72","0,83","0,48"
LogisticRegression,"0,85","0,72","0,72","0,83","0,41"
CalibratedClassifierCV,"0,85","0,72","0,72","0,83","3,45"
LinearSVC,"0,85","0,71","0,71","0,83","1,15"
AdaBoostClassifier,"0,84","0,71","0,71","0,83","6,2"
SGDClassifier,"0,84","0,71","0,71","0,83","0,63"
RidgeClassifier,"0,84","0,7","0,7","0,83","0,26"
RidgeClassifierCV,"0,84","0,7","0,7","0,83","0,71"
KNeighborsClassifier,"0,84","0,7","0,7","0,82","2,16"
PassiveAggressiveClassifier,"0,81","0,69","0,69","0,81","0,34"
Perceptron,"0,8","0,72","0,72","0,8","0,35"
GaussianNB,"0,79","0,72","0,72","0,8","0,28"
DecisionTreeClassifier,"0,79","0,7","0,7","0,79","1,98"
BernoulliNB,"0,79","0,7","0,7","0,79","0,28"
QuadraticDiscriminantAnalysis,"0,78","0,72","0,72","0,79","0,58"
NearestCentroid,"0,77","0,75","0,75","0,78","0,23"
ExtraTreeClassifier,"0,78","0,68","0,68","0,78","0,35"
DummyClassifier,"0,78","0,5","0,5","0,69","0,21"
