id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Adelaide,2008-07-01,8.8,15.7,5.0,1.6,2.6,48.0,13.0,15.0,92.0,67.0,1017.4,1017.7,13.5,14.9,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.602635,-0.798017,0.092268,0.995734,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-02,12.7,15.8,0.8,1.4,7.8,35.0,13.0,15.0,75.0,52.0,1022.4,1022.6,13.7,15.5,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.850217,0.526432,-0.982973,0.18375,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-03,6.2,15.1,0.0,1.8,2.1,20.0,2.0,11.0,81.0,56.0,1027.8,1026.5,9.3,13.9,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,0.739009,-0.673696,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-04,5.3,15.9,0.0,1.4,8.0,30.0,6.0,13.0,71.0,46.0,1028.7,1025.6,10.2,15.3,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.602635,0.798017,0.739009,-0.673696,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-06,11.3,15.7,0.6,1.4,1.5,52.0,15.0,22.0,62.0,62.0,1019.5,1016.2,13.0,14.4,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,0.092268,0.995734,0.739009,-0.673696,-0.982973,0.18375,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-07,7.6,11.2,16.2,4.6,1.1,46.0,17.0,13.0,83.0,88.0,1015.9,1017.9,9.8,9.3,1.0,1.0,-0.866025,-0.5,-0.0,-1.0,0.739009,0.673696,0.445738,-0.895163,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-08,5.3,13.5,17.0,0.6,2.1,43.0,11.0,22.0,73.0,91.0,1025.8,1025.9,10.9,10.8,1.0,1.0,-0.866025,-0.5,-0.0,-1.0,-0.850217,0.526432,0.092268,0.995734,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-09,8.4,14.3,1.8,1.6,0.8,41.0,9.0,19.0,90.0,64.0,1025.8,1022.7,10.8,13.5,1.0,1.0,-0.866025,-0.5,-0.0,-1.0,-0.602635,-0.798017,-0.982973,-0.18375,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-10,9.5,13.1,9.0,1.2,7.2,52.0,24.0,20.0,54.0,66.0,1019.8,1019.6,10.9,11.2,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.739009,0.673696,-0.850217,-0.526432,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-13,9.4,16.8,0.6,1.4,9.1,54.0,17.0,28.0,67.0,47.0,1011.2,1009.5,11.7,16.5,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,0.092268,0.995734,-0.982973,-0.18375,-0.982973,0.18375,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-14,10.0,15.4,3.8,7.0,0.5,48.0,15.0,19.0,85.0,72.0,1014.0,1015.4,13.2,15.2,1.0,1.0,-0.866025,-0.5,-0.0,-1.0,-0.273663,0.961826,1.0,0.0,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-15,11.1,14.7,4.0,2.8,2.3,43.0,17.0,24.0,91.0,72.0,1020.4,1020.1,12.0,13.0,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.739009,0.673696,1.0,0.0,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-16,6.3,14.1,0.2,1.6,3.8,39.0,7.0,19.0,74.0,52.0,1019.9,1015.3,10.0,13.9,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.092268,0.995734,0.739009,-0.673696,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-17,9.8,14.7,0.2,1.6,3.5,44.0,17.0,22.0,58.0,61.0,1009.8,1007.4,10.5,14.7,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,-0.602635,-0.798017,-0.982973,-0.18375,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-20,9.9,12.0,0.6,1.4,0.3,46.0,26.0,11.0,67.0,91.0,1000.7,1000.4,10.0,9.6,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,-0.273663,0.961826,-0.982973,-0.18375,-0.850217,0.526432,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-21,6.5,14.2,6.8,4.0,3.8,41.0,13.0,15.0,69.0,55.0,1021.2,1024.7,11.9,12.8,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.982973,-0.18375,-0.602635,0.798017,0.092268,-0.995734,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-22,6.0,13.8,0.0,1.2,3.3,20.0,9.0,13.0,70.0,61.0,1032.8,1031.1,9.7,11.8,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.850217,0.526432,0.739009,-0.673696,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-23,5.4,14.2,0.0,1.0,9.2,19.0,7.0,9.0,49.0,36.0,1033.9,1029.8,10.7,13.7,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.982973,0.18375,-0.602635,-0.798017,-0.982973,0.18375,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-24,2.6,14.9,0.0,1.4,7.2,28.0,9.0,13.0,58.0,38.0,1027.5,1023.4,8.8,14.5,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.092268,0.995734,-0.982973,-0.18375,-0.982973,0.18375,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-26,7.1,13.8,0.6,1.4,9.5,35.0,7.0,20.0,90.0,57.0,1019.1,1017.3,8.8,12.6,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,-0.850217,0.526432,-0.982973,-0.18375,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-27,2.8,11.8,1.6,1.4,8.1,37.0,7.0,15.0,85.0,58.0,1018.1,1016.2,6.9,11.1,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.739009,0.673696,-0.850217,0.526432,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-28,0.7,14.0,0.0,4.6,7.3,22.0,7.0,13.0,82.0,61.0,1024.1,1022.4,6.4,12.7,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,-0.982973,-0.18375,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-29,4.9,13.0,0.0,0.8,0.1,56.0,17.0,19.0,51.0,45.0,1017.9,1010.3,10.5,12.5,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,0.092268,0.995734,-0.850217,0.526432,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-30,8.5,16.1,3.4,1.4,7.2,28.0,11.0,9.0,89.0,44.0,1013.7,1011.7,11.5,15.7,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.932472,0.361242,-0.850217,0.526432,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-07-31,7.6,19.3,0.8,1.8,5.0,69.0,17.0,20.0,56.0,52.0,1006.8,1005.2,14.4,18.1,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,0.739009,-0.673696,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Adelaide,2008-08-03,7.2,18.1,0.4,2.0,5.6,39.0,15.0,19.0,54.0,37.0,1017.3,1012.4,11.8,17.8,0.0,1.0,-0.5,-0.866025,-0.0,-1.0,0.092268,0.995734,0.739009,-0.673696,-0.982973,0.18375,0,1,0,0,0,0,0,0,0,0,0
