id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Bendigo,2008-12-01,9.1,21.7,0.0,7.4,44.0,20.0,20.0,47.0,23.0,1009.1,1007.5,2.0,5.0,14.0,19.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.445738,-0.895163,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Bendigo,2008-12-02,6.2,23.0,0.0,8.8,48.0,20.0,26.0,49.0,29.0,1010.4,1007.8,1.0,5.0,15.2,21.2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.445738,-0.895163,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Bendigo,2008-12-03,10.8,23.7,0.0,6.2,44.0,17.0,24.0,49.0,23.0,1009.4,1010.7,5.0,3.0,17.1,21.8,0.0,0.0,1.0,0.0,1.0,0.0,0.739009,0.673696,0.092268,0.995734,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Bendigo,2008-12-04,8.2,24.6,0.0,5.8,41.0,17.0,13.0,50.0,22.0,1017.0,1012.5,2.0,8.0,16.1,23.6,0.0,0.0,1.0,0.0,1.0,0.0,-0.602635,0.798017,0.739009,0.673696,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
Bendigo,2008-12-05,15.1,30.3,0.2,5.8,54.0,19.0,31.0,68.0,29.0,1008.0,1005.0,7.0,1.0,21.3,29.2,0.0,0.0,1.0,0.0,1.0,0.0,-0.602635,-0.798017,0.092268,-0.995734,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Bendigo,2008-12-06,9.9,27.2,0.2,9.6,54.0,9.0,30.0,60.0,29.0,1010.0,1005.6,1.0,4.0,18.0,26.2,0.0,0.0,1.0,0.0,1.0,0.0,0.932472,0.361242,0.445738,-0.895163,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Bendigo,2008-12-07,8.0,22.0,0.2,4.4,43.0,22.0,15.0,47.0,26.0,1012.4,1010.7,1.0,1.0,13.1,20.4,0.0,0.0,1.0,0.0,1.0,0.0,-0.850217,0.526432,-0.982973,0.18375,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
Bendigo,2008-12-08,7.8,25.5,0.0,5.6,35.0,11.0,17.0,47.0,17.0,1014.2,1010.6,0.0,1.0,13.9,23.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.602635,0.798017,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Bendigo,2008-12-09,9.7,22.0,0.0,6.6,39.0,7.0,17.0,44.0,42.0,1007.0,1006.2,7.0,8.0,16.5,18.9,0.0,1.0,1.0,0.0,1.0,0.0,0.739009,0.673696,-0.273663,0.961826,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Bendigo,2008-12-10,9.8,23.2,3.2,2.0,39.0,24.0,17.0,62.0,30.0,1010.4,1009.3,1.0,3.0,15.3,21.6,1.0,0.0,1.0,0.0,1.0,0.0,-0.273663,-0.961826,0.739009,0.673696,0.092268,-0.995734,0,1,0,0,0,0,0,0,0,0,0
