id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Brisbane,2008-07-01,10.3,25.2,0.0,1.4,9.5,26.0,6.0,15.0,81.0,37.0,1019.6,1014.8,0.0,1.0,14.9,24.6,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.932472,0.361242,-0.982973,0.18375,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-02,8.1,22.9,0.0,2.0,9.8,30.0,15.0,19.0,41.0,30.0,1018.8,1015.0,0.0,0.0,16.2,22.4,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-03,9.7,22.4,0.0,5.8,9.4,22.0,7.0,15.0,55.0,52.0,1021.4,1019.1,1.0,4.0,15.4,21.3,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.445738,-0.895163,0.092268,0.995734,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-04,11.8,20.0,0.8,1.8,1.1,24.0,9.0,7.0,76.0,53.0,1023.5,1021.7,7.0,7.0,14.1,19.6,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.850217,0.526432,0.092268,0.995734,-0.273663,0.961826,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-05,12.3,16.7,0.0,2.0,0.3,37.0,11.0,7.0,81.0,89.0,1027.3,1026.2,7.0,8.0,16.1,15.0,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,-0.850217,-0.526432,-0.602635,0.798017,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-06,12.6,21.5,16.2,5.2,6.4,31.0,7.0,17.0,78.0,52.0,1028.5,1025.7,5.0,2.0,15.9,20.0,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.982973,0.18375,-0.982973,0.18375,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-07,12.9,21.9,0.0,2.4,1.6,17.0,9.0,9.0,83.0,63.0,1026.9,1023.1,7.0,7.0,14.7,20.1,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,0.445738,0.895163,0.092268,0.995734,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-08,14.5,17.4,24.2,2.0,0.6,31.0,7.0,2.0,94.0,73.0,1024.0,1019.3,8.0,6.0,14.7,17.0,1.0,1.0,-0.866025,-0.5,-0.0,-1.0,0.739009,0.673696,0.092268,0.995734,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-09,6.0,16.7,3.8,1.0,8.9,43.0,13.0,19.0,48.0,34.0,1022.6,1020.2,1.0,1.0,12.4,16.2,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,-0.850217,-0.526432,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-10,10.3,19.7,0.2,4.0,10.0,39.0,17.0,17.0,47.0,34.0,1021.8,1017.0,0.0,1.0,13.2,18.8,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,-0.850217,-0.526432,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-11,6.6,19.6,0.0,4.0,7.9,28.0,11.0,9.0,48.0,38.0,1021.7,1019.4,7.0,7.0,14.2,18.7,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,-0.850217,-0.526432,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-12,7.9,21.1,0.0,2.2,8.1,30.0,7.0,15.0,60.0,48.0,1025.9,1023.4,1.0,6.0,12.8,19.3,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.982973,0.18375,0.092268,0.995734,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-13,12.0,22.8,0.0,3.0,2.2,20.0,6.0,9.0,72.0,69.0,1026.6,1023.3,7.0,7.0,15.3,21.2,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.982973,0.18375,-0.982973,0.18375,-0.850217,0.526432,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-14,13.6,25.7,0.0,1.0,4.5,19.0,4.0,9.0,86.0,65.0,1025.3,1021.0,7.0,1.0,18.3,23.3,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.273663,0.961826,-0.982973,0.18375,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-15,16.7,24.8,0.0,1.2,5.9,31.0,9.0,9.0,80.0,65.0,1022.2,1018.7,5.0,6.0,19.1,23.4,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,-0.982973,0.18375,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-16,16.5,18.9,5.4,2.6,0.0,19.0,2.0,4.0,93.0,71.0,1020.1,1017.8,8.0,8.0,17.1,18.7,1.0,1.0,-0.866025,-0.5,-0.0,-1.0,-0.850217,0.526432,-0.850217,-0.526432,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-17,12.2,21.5,2.8,0.8,8.7,17.0,7.0,9.0,80.0,57.0,1020.6,1016.1,3.0,3.0,15.6,21.2,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.739009,0.673696,0.092268,0.995734,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-18,9.4,25.4,0.0,1.2,9.6,37.0,6.0,15.0,72.0,34.0,1017.3,1011.9,2.0,2.0,15.2,25.0,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.932472,0.361242,0.092268,0.995734,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-19,6.8,22.9,0.0,3.2,9.8,33.0,2.0,15.0,55.0,25.0,1018.3,1015.7,0.0,0.0,15.4,22.4,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,0.092268,0.995734,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-20,7.5,22.9,0.0,3.4,9.0,30.0,6.0,15.0,60.0,45.0,1020.6,1015.4,1.0,1.0,13.6,21.3,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.602635,0.798017,0.092268,0.995734,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-21,12.5,22.8,0.0,2.2,3.3,35.0,6.0,15.0,83.0,54.0,1014.9,1013.8,8.0,7.0,17.4,18.7,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,-0.982973,-0.18375,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-22,12.1,20.4,0.0,3.6,7.5,33.0,7.0,15.0,48.0,52.0,1022.1,1021.3,1.0,8.0,16.6,18.7,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,1.0,0.0,0.092268,0.995734,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-23,12.5,15.7,0.2,4.4,0.0,26.0,6.0,7.0,73.0,77.0,1026.7,1023.1,8.0,8.0,12.7,15.2,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,-0.982973,-0.18375,0.092268,0.995734,0.092268,-0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-24,12.4,14.3,12.6,0.6,0.0,28.0,9.0,9.0,92.0,48.0,1021.0,1019.1,8.0,8.0,12.9,20.6,1.0,1.0,-0.866025,-0.5,-0.0,-1.0,-0.850217,-0.526432,-0.982973,0.18375,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-25,12.5,18.9,22.4,0.6,1.9,28.0,9.0,11.0,86.0,67.0,1014.8,1014.1,8.0,6.0,13.8,17.9,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,-0.850217,0.526432,-0.850217,-0.526432,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-26,8.3,19.9,0.4,1.4,9.5,24.0,9.0,11.0,62.0,42.0,1018.0,1014.1,0.0,1.0,14.7,19.4,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.739009,0.673696,0.092268,0.995734,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-27,8.0,18.2,0.0,2.8,2.3,30.0,6.0,4.0,64.0,41.0,1016.7,1011.7,7.0,7.0,12.7,17.1,0.0,1.0,-0.866025,-0.5,-0.0,-1.0,0.739009,-0.673696,0.092268,0.995734,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-28,8.2,15.7,2.4,2.0,5.2,39.0,11.0,15.0,75.0,49.0,1010.5,1005.9,7.0,6.0,11.5,14.3,1.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.739009,0.673696,-0.850217,-0.526432,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-29,8.8,20.3,0.0,3.2,9.8,33.0,11.0,9.0,53.0,36.0,1012.3,1010.0,1.0,3.0,13.1,19.3,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.739009,0.673696,-0.850217,-0.526432,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-30,6.3,20.6,0.0,3.8,9.5,22.0,11.0,6.0,55.0,25.0,1017.5,1014.2,0.0,0.0,13.8,20.3,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.932472,0.361242,-0.850217,-0.526432,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-07-31,3.7,21.3,0.0,2.6,9.9,26.0,6.0,11.0,47.0,29.0,1020.5,1016.1,0.0,0.0,13.9,20.6,0.0,0.0,-0.866025,-0.5,-0.0,-1.0,0.739009,0.673696,-0.273663,0.961826,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-01,7.1,28.7,0.0,3.6,9.8,35.0,2.0,7.0,54.0,28.0,1016.0,1009.6,1.0,1.0,15.7,28.6,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,1.0,0.0,0.092268,0.995734,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-02,12.3,21.8,0.0,6.0,10.3,46.0,19.0,17.0,48.0,26.0,1017.3,1014.3,1.0,0.0,15.1,21.3,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,1.0,0.0,1.0,0.0,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-03,8.5,21.3,0.0,5.6,10.1,22.0,11.0,11.0,47.0,45.0,1021.1,1018.1,0.0,1.0,14.0,20.2,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,0.739009,0.673696,-0.982973,0.18375,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-04,8.3,22.1,0.0,3.2,9.8,26.0,7.0,11.0,75.0,53.0,1021.7,1017.2,1.0,1.0,14.0,20.9,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,0.445738,0.895163,0.092268,0.995734,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-05,8.5,22.4,0.0,3.2,8.0,22.0,7.0,11.0,62.0,33.0,1019.2,1016.0,1.0,2.0,15.4,20.8,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,0.445738,-0.895163,-0.850217,-0.526432,-0.850217,0.526432,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-06,9.2,21.7,0.2,2.2,10.2,39.0,7.0,15.0,56.0,29.0,1018.6,1016.0,1.0,1.0,16.1,21.2,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,1.0,0.0,0.092268,0.995734,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-07,7.0,21.2,0.0,5.0,10.3,30.0,9.0,19.0,49.0,29.0,1021.6,1017.4,0.0,0.0,15.5,20.5,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,1.0,0.0,0.092268,0.995734,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-08,7.2,20.9,0.0,5.0,10.3,48.0,11.0,19.0,36.0,26.0,1021.5,1018.1,0.0,0.0,13.8,20.4,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,1.0,0.0,1.0,0.0,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-09,7.5,21.5,0.0,5.0,10.3,19.0,7.0,13.0,47.0,32.0,1023.4,1019.4,1.0,0.0,14.3,19.8,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,-0.850217,0.526432,0.092268,0.995734,-0.850217,0.526432,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-10,5.0,21.6,0.0,3.4,10.2,31.0,6.0,17.0,47.0,21.0,1021.4,1016.0,0.0,0.0,13.2,21.1,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,1.0,0.0,-0.602635,0.798017,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-11,4.5,18.7,0.0,3.2,10.4,37.0,11.0,13.0,34.0,16.0,1020.2,1016.2,0.0,0.0,13.7,18.0,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,1.0,0.0,-0.850217,-0.526432,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-12,4.1,19.4,0.0,4.8,10.4,24.0,9.0,4.0,36.0,19.0,1024.1,1021.1,1.0,1.0,12.5,18.8,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,-0.850217,0.526432,-0.850217,-0.526432,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-13,7.1,19.9,0.0,4.8,5.3,20.0,7.0,6.0,50.0,28.0,1025.3,1021.5,7.0,7.0,12.1,19.0,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,0.932472,0.361242,0.092268,0.995734,-0.982973,0.18375,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-14,6.5,19.8,0.0,2.4,8.0,30.0,9.0,11.0,48.0,25.0,1024.1,1018.1,7.0,7.0,12.6,19.4,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,1.0,0.0,0.092268,0.995734,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-15,9.8,21.4,0.0,4.0,10.8,41.0,17.0,17.0,34.0,22.0,1016.4,1011.4,1.0,0.0,14.4,21.0,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,0.932472,0.361242,1.0,0.0,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-16,10.6,20.3,0.0,6.0,10.7,43.0,17.0,22.0,42.0,27.0,1015.4,1012.0,1.0,1.0,15.0,19.9,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,0.932472,0.361242,1.0,0.0,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-17,6.4,20.1,0.0,7.0,10.6,56.0,13.0,11.0,45.0,34.0,1020.6,1019.5,1.0,2.0,14.5,18.9,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,0.739009,0.673696,0.092268,0.995734,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-18,8.5,16.9,0.0,3.8,0.0,19.0,7.0,4.0,68.0,54.0,1025.3,1022.8,8.0,8.0,12.1,16.8,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,0.932472,0.361242,0.092268,0.995734,-0.273663,0.961826,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-19,6.7,20.5,0.0,3.4,10.8,30.0,15.0,9.0,33.0,26.0,1026.8,1024.8,1.0,1.0,13.9,19.1,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,-0.850217,0.526432,0.092268,0.995734,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-20,7.9,22.1,0.0,2.0,10.7,22.0,11.0,13.0,52.0,45.0,1029.5,1026.5,1.0,3.0,14.2,20.6,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,0.445738,-0.895163,0.092268,0.995734,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-21,9.3,20.5,0.0,3.2,0.0,17.0,6.0,9.0,70.0,53.0,1026.7,1022.2,7.0,7.0,14.2,19.1,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,-0.273663,0.961826,-0.982973,0.18375,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-22,11.4,24.9,0.0,1.8,7.9,39.0,9.0,15.0,64.0,66.0,1017.3,1011.6,2.0,7.0,20.3,20.4,0.0,1.0,-0.5,-0.866025,-0.0,-1.0,1.0,0.0,0.739009,-0.673696,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-23,9.8,21.7,10.0,6.2,10.6,39.0,17.0,9.0,43.0,28.0,1020.4,1018.6,1.0,1.0,13.6,21.6,1.0,0.0,-0.5,-0.866025,-0.0,-1.0,-0.850217,0.526432,1.0,0.0,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-24,7.5,21.6,0.0,3.8,10.7,24.0,9.0,13.0,47.0,40.0,1027.2,1024.7,1.0,1.0,15.3,20.0,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,-0.982973,0.18375,0.092268,0.995734,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-25,8.9,21.6,0.0,4.2,10.3,30.0,11.0,17.0,58.0,42.0,1027.9,1024.3,2.0,4.0,15.2,20.7,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,-0.982973,0.18375,-0.982973,0.18375,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-26,10.9,22.3,0.0,3.4,8.2,50.0,6.0,13.0,66.0,48.0,1025.7,1021.7,3.0,5.0,17.0,20.3,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,0.739009,-0.673696,-0.602635,0.798017,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-27,11.0,23.0,0.2,3.2,5.4,19.0,2.0,7.0,68.0,58.0,1024.1,1021.3,7.0,7.0,17.9,20.6,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,0.932472,0.361242,-0.602635,-0.798017,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-28,12.5,20.9,0.0,2.8,5.6,22.0,4.0,9.0,68.0,57.0,1025.4,1021.9,7.0,7.0,17.5,19.9,0.0,1.0,-0.5,-0.866025,-0.0,-1.0,0.445738,-0.895163,-0.982973,0.18375,-0.602635,0.798017,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-29,14.0,23.2,5.0,2.6,10.0,28.0,2.0,15.0,72.0,59.0,1024.1,1020.2,4.0,2.0,18.7,21.4,1.0,0.0,-0.5,-0.866025,-0.0,-1.0,-0.982973,0.18375,-0.982973,0.18375,-0.850217,0.526432,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-30,13.8,24.6,0.4,4.0,9.5,28.0,2.0,15.0,71.0,56.0,1023.2,1019.7,5.0,2.0,19.6,22.8,0.0,0.0,-0.5,-0.866025,-0.0,-1.0,-0.602635,0.798017,1.0,0.0,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-08-31,14.5,24.1,0.0,4.0,9.0,35.0,11.0,19.0,69.0,70.0,1021.9,1017.6,4.0,4.0,20.7,21.8,0.0,1.0,-0.5,-0.866025,-0.0,-1.0,-0.602635,0.798017,-0.982973,-0.18375,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-09-01,16.8,25.1,1.6,4.2,5.7,26.0,7.0,4.0,74.0,52.0,1023.1,1020.5,6.0,6.0,19.6,23.4,1.0,0.0,-0.0,-1.0,-0.0,-1.0,0.092268,-0.995734,0.092268,0.995734,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-09-02,12.9,23.0,0.0,3.6,7.9,26.0,11.0,17.0,64.0,57.0,1024.8,1022.3,6.0,2.0,21.1,21.7,0.0,0.0,-0.0,-1.0,-0.0,-1.0,0.092268,-0.995734,0.739009,0.673696,-0.850217,0.526432,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-09-03,15.0,22.9,0.0,4.0,8.7,44.0,19.0,20.0,58.0,50.0,1026.4,1023.5,7.0,7.0,19.7,21.2,0.0,1.0,-0.0,-1.0,-0.0,-1.0,-0.273663,-0.961826,0.739009,0.673696,-0.602635,0.798017,0,1,0,0,0,0,0,0,0,0,0
Brisbane,2008-09-04,15.6,19.7,6.0,7.8,0.0,43.0,11.0,13.0,90.0,92.0,1024.1,1020.1,8.0,8.0,16.0,15.9,1.0,1.0,-0.0,-1.0,-0.0,-1.0,-0.982973,-0.18375,0.739009,0.673696,-0.273663,0.961826,0,1,0,0,0,0,0,0,0,0,0
