id_Location,id_Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
GoldCoast,2008-12-01,17.0,30.4,0.0,31.0,17.0,22.0,52.0,61.0,1013.5,1010.7,26.2,28.5,0.0,0.0,1.0,0.0,1.0,0.0,0.092268,0.995734,0.932472,0.361242,0.739009,-0.673696,0,1,0,0,0,0,0,0,0,0,0
GoldCoast,2008-12-02,19.0,29.7,0.0,37.0,19.0,31.0,55.0,70.0,1013.1,1010.2,27.8,26.2,0.0,0.0,1.0,0.0,1.0,0.0,-0.602635,0.798017,0.932472,0.361242,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
GoldCoast,2008-12-03,21.3,28.6,0.0,52.0,24.0,31.0,61.0,74.0,1013.4,1009.8,27.8,24.6,0.0,0.0,1.0,0.0,1.0,0.0,-0.602635,0.798017,-0.982973,-0.18375,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
GoldCoast,2008-12-04,20.9,28.7,0.8,52.0,15.0,39.0,65.0,75.0,1014.7,1014.5,27.5,23.6,0.0,0.0,1.0,0.0,1.0,0.0,-0.273663,-0.961826,0.445738,0.895163,-0.602635,-0.798017,0,1,0,0,0,0,0,0,0,0,0
GoldCoast,2008-12-05,19.7,29.5,0.2,43.0,11.0,11.0,67.0,83.0,1017.5,1015.2,26.0,23.8,0.0,1.0,1.0,0.0,1.0,0.0,-0.602635,-0.798017,-0.273663,-0.961826,-0.602635,-0.798017,0,1,0,0,0,0,0,0,0,0,0
GoldCoast,2008-12-06,22.8,34.5,3.6,48.0,22.0,17.0,52.0,50.0,1011.2,1006.7,29.4,31.9,1.0,1.0,1.0,0.0,1.0,0.0,-0.602635,-0.798017,0.092268,-0.995734,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
GoldCoast,2008-12-07,22.1,29.1,15.4,54.0,17.0,39.0,82.0,75.0,1007.2,1006.2,26.0,23.6,1.0,0.0,1.0,0.0,1.0,0.0,-0.982973,-0.18375,0.932472,0.361242,-0.273663,0.961826,0,1,0,0,0,0,0,0,0,0,0
GoldCoast,2008-12-08,20.2,27.7,0.2,41.0,26.0,26.0,64.0,62.0,1013.4,1011.0,25.1,25.5,0.0,1.0,1.0,0.0,1.0,0.0,-0.273663,-0.961826,-0.602635,0.798017,-0.602635,-0.798017,0,1,0,0,0,0,0,0,0,0,0
GoldCoast,2008-12-10,20.8,30.3,0.0,41.0,19.0,31.0,58.0,70.0,1011.3,1007.5,27.3,26.5,0.0,0.0,1.0,0.0,1.0,0.0,-0.602635,0.798017,-0.982973,-0.18375,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
GoldCoast,2008-12-11,23.4,31.0,0.0,50.0,20.0,30.0,70.0,80.0,1011.1,1006.7,26.7,25.5,0.0,1.0,1.0,0.0,1.0,0.0,-0.982973,-0.18375,0.739009,0.673696,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
