id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
MountGambier,2008-12-01,6.6,18.7,4.0,5.0,10.6,61.0,20.0,30.0,73.0,39.0,1009.4,1008.9,3.0,3.0,13.4,17.8,1.0,0.0,1.0,0.0,1.0,0.0,0.932472,0.361242,0.445738,-0.895163,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-02,8.9,18.1,0.0,5.4,3.6,50.0,17.0,31.0,74.0,49.0,1009.8,1008.9,8.0,8.0,14.4,16.2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.092268,-0.995734,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-03,10.1,19.3,1.0,3.2,12.0,43.0,20.0,24.0,73.0,47.0,1011.9,1013.9,5.0,6.0,13.6,18.2,0.0,0.0,1.0,0.0,1.0,0.0,0.739009,0.673696,-0.850217,-0.526432,-0.850217,-0.526432,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-04,5.9,21.2,0.0,4.4,1.6,50.0,17.0,26.0,69.0,39.0,1014.8,1009.5,8.0,8.0,13.7,20.5,0.0,1.0,1.0,0.0,1.0,0.0,-0.602635,0.798017,0.445738,0.895163,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-05,13.6,19.3,12.8,3.8,1.8,63.0,24.0,39.0,86.0,65.0,1005.7,1006.9,8.0,7.0,16.1,18.7,1.0,0.0,1.0,0.0,1.0,0.0,0.932472,0.361242,0.092268,-0.995734,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-06,12.7,19.6,0.6,2.4,8.6,57.0,26.0,39.0,81.0,46.0,1008.9,1008.7,7.0,5.0,15.7,18.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.092268,-0.995734,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-07,10.2,16.8,0.0,5.8,2.3,39.0,11.0,26.0,65.0,46.0,1015.3,1014.6,7.0,7.0,12.6,16.4,0.0,0.0,1.0,0.0,1.0,0.0,-0.850217,0.526432,-0.850217,-0.526432,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-08,11.1,21.0,0.0,4.0,9.4,35.0,15.0,26.0,51.0,42.0,1015.3,1011.0,7.0,6.0,13.9,20.4,0.0,0.0,1.0,0.0,1.0,0.0,0.739009,-0.673696,0.445738,-0.895163,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-09,6.9,16.5,0.4,3.4,3.9,33.0,22.0,15.0,87.0,91.0,1006.9,1007.8,8.0,7.0,11.1,13.1,0.0,1.0,1.0,0.0,1.0,0.0,-0.982973,-0.18375,-0.602635,0.798017,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-10,7.5,19.9,4.2,2.0,14.0,50.0,20.0,35.0,58.0,43.0,1014.2,1012.2,4.0,3.0,14.9,19.3,1.0,0.0,1.0,0.0,1.0,0.0,-0.982973,-0.18375,0.739009,0.673696,-0.273663,0.961826,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-11,6.2,25.8,0.0,5.0,10.8,35.0,26.0,15.0,56.0,25.0,1014.8,1010.3,1.0,1.0,14.7,24.7,0.0,0.0,1.0,0.0,1.0,0.0,0.092268,-0.995734,-0.602635,-0.798017,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-12,13.6,15.4,0.8,6.8,0.0,59.0,7.0,22.0,85.0,93.0,1005.2,1000.3,8.0,8.0,15.2,13.5,0.0,1.0,1.0,0.0,1.0,0.0,-0.982973,-0.18375,0.739009,-0.673696,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-13,11.4,14.9,78.8,5.2,0.0,63.0,37.0,33.0,86.0,74.0,1002.3,1005.8,8.0,8.0,11.9,13.6,1.0,1.0,1.0,0.0,1.0,0.0,-0.982973,-0.18375,-0.602635,0.798017,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-14,11.0,15.9,2.0,1.0,1.9,41.0,24.0,22.0,69.0,61.0,1011.4,1012.5,8.0,7.0,13.0,15.8,1.0,0.0,1.0,0.0,1.0,0.0,0.739009,-0.673696,-0.602635,0.798017,0.092268,-0.995734,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-15,10.6,19.9,0.0,3.0,8.6,46.0,17.0,30.0,61.0,50.0,1014.4,1012.3,8.0,7.0,13.2,19.6,0.0,0.0,1.0,0.0,1.0,0.0,0.739009,0.673696,-0.850217,-0.526432,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-16,11.4,19.3,0.4,4.4,2.8,43.0,15.0,22.0,89.0,72.0,1013.6,1012.6,7.0,7.0,14.1,18.4,0.0,1.0,1.0,0.0,1.0,0.0,-0.850217,0.526432,0.092268,-0.995734,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-17,12.4,19.7,6.0,2.2,0.1,31.0,15.0,15.0,87.0,64.0,1012.8,1009.1,7.0,7.0,14.5,18.5,1.0,0.0,1.0,0.0,1.0,0.0,-0.982973,-0.18375,-0.602635,-0.798017,-0.602635,0.798017,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-18,10.4,19.1,0.0,3.2,6.1,50.0,0.0,33.0,63.0,58.0,1008.0,1008.8,7.0,7.0,15.2,16.2,0.0,0.0,1.0,0.0,1.0,0.0,0.739009,0.673696,-0.850217,-0.526432,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-19,8.9,18.5,0.6,4.0,12.5,41.0,28.0,26.0,46.0,45.0,1017.9,1018.4,2.0,1.0,15.4,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.739009,-0.673696,-0.602635,0.798017,0.092268,-0.995734,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-20,6.2,24.9,0.0,4.8,14.0,33.0,20.0,11.0,63.0,39.0,1021.5,1017.8,2.0,1.0,15.5,24.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.850217,-0.526432,-0.273663,-0.961826,-0.273663,0.961826,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-21,11.3,30.2,0.0,5.4,9.3,41.0,20.0,19.0,38.0,18.0,1014.6,1010.2,7.0,7.0,22.0,28.2,0.0,0.0,1.0,0.0,0.0,1.0,-0.602635,0.798017,0.739009,-0.673696,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-22,18.2,20.6,0.0,12.2,2.3,54.0,30.0,30.0,71.0,64.0,1006.1,1007.2,7.0,8.0,18.2,19.8,0.0,0.0,1.0,0.0,0.0,1.0,-0.273663,0.961826,0.445738,-0.895163,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-23,13.7,20.5,0.0,3.4,6.5,33.0,20.0,19.0,61.0,51.0,1016.2,1015.3,8.0,3.0,15.6,19.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.850217,-0.526432,-0.602635,0.798017,0.092268,-0.995734,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-24,6.6,25.4,0.0,3.8,13.8,46.0,17.0,28.0,57.0,35.0,1013.5,1011.8,1.0,1.0,16.2,24.8,0.0,0.0,1.0,0.0,0.0,1.0,0.739009,0.673696,-0.850217,0.526432,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-25,9.3,24.0,0.0,7.0,13.2,33.0,13.0,19.0,63.0,40.0,1015.9,1012.6,7.0,4.0,16.8,23.5,0.0,0.0,1.0,0.0,0.0,1.0,0.739009,-0.673696,-0.602635,-0.798017,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-26,11.2,25.8,0.0,5.2,11.8,30.0,13.0,13.0,68.0,45.0,1010.8,1008.1,6.0,7.0,18.4,24.8,0.0,0.0,1.0,0.0,0.0,1.0,0.739009,-0.673696,-0.982973,0.18375,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-27,12.9,22.8,0.0,4.6,13.4,39.0,15.0,22.0,66.0,50.0,1007.6,1005.6,4.0,7.0,18.0,21.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.092268,0.995734,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-28,13.3,20.6,0.0,6.2,5.1,56.0,24.0,28.0,89.0,59.0,1004.6,1004.3,8.0,7.0,16.2,20.1,0.0,0.0,1.0,0.0,0.0,1.0,0.932472,0.361242,0.092268,-0.995734,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-29,10.7,19.1,0.8,4.8,9.3,48.0,28.0,30.0,45.0,49.0,1010.5,1009.8,5.0,7.0,16.2,17.9,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.850217,-0.526432,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-30,13.2,18.8,6.0,4.0,8.8,59.0,30.0,39.0,60.0,50.0,1006.2,1006.6,7.0,7.0,16.4,17.4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.850217,-0.526432,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2008-12-31,12.2,19.6,0.0,4.6,7.1,52.0,24.0,31.0,64.0,51.0,1007.7,1006.3,8.0,6.0,14.6,18.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.850217,-0.526432,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
MountGambier,2009-01-01,12.6,17.0,0.8,4.8,6.5,56.0,28.0,35.0,66.0,43.0,1008.3,1011.6,7.0,5.0,14.3,16.6,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,0.526432,0.092268,0.995734,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
MountGambier,2009-01-02,7.3,18.8,0.0,4.8,11.7,43.0,28.0,20.0,48.0,37.0,1020.6,1020.6,5.0,1.0,15.5,17.4,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,-0.602635,0.798017,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
MountGambier,2009-01-03,4.0,22.6,0.0,4.6,11.9,43.0,13.0,13.0,55.0,33.0,1020.5,1017.0,7.0,3.0,13.3,21.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,-0.273663,-0.961826,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
MountGambier,2009-01-04,6.2,25.3,0.0,4.8,13.8,33.0,11.0,20.0,56.0,44.0,1016.2,1013.8,3.0,1.0,16.6,23.9,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,0.739009,0.673696,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
MountGambier,2009-01-05,6.2,23.1,0.0,5.6,13.6,37.0,17.0,22.0,68.0,45.0,1014.8,1013.3,5.0,4.0,15.8,22.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,0.673696,0.092268,0.995734,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0
MountGambier,2009-01-06,12.7,24.7,0.0,5.4,8.5,43.0,17.0,31.0,90.0,65.0,1011.9,1010.4,8.0,5.0,16.4,21.6,0.0,1.0,0.866025,0.5,0.0,1.0,0.739009,0.673696,0.092268,-0.995734,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
MountGambier,2009-01-07,13.7,21.2,1.4,4.8,8.0,44.0,19.0,26.0,89.0,41.0,1012.3,1013.0,8.0,5.0,14.8,19.9,1.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,0.526432,-0.982973,0.18375,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
MountGambier,2009-01-08,10.1,19.3,0.0,5.8,11.7,48.0,26.0,31.0,42.0,44.0,1020.2,1021.1,7.0,6.0,17.1,17.5,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,0.092268,0.995734,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
MountGambier,2009-01-09,6.4,21.6,0.0,5.2,9.9,43.0,19.0,28.0,52.0,41.0,1021.7,1017.7,7.0,6.0,15.3,20.8,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,-0.602635,-0.798017,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
MountGambier,2009-01-10,9.0,22.5,0.0,5.2,13.8,46.0,20.0,31.0,59.0,47.0,1014.0,1011.9,1.0,1.0,16.4,21.4,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,0.739009,0.673696,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
MountGambier,2009-01-11,7.7,22.6,0.0,6.4,11.2,39.0,7.0,28.0,68.0,39.0,1013.3,1012.7,7.0,1.0,14.7,22.1,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,-0.602635,0.798017,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
MountGambier,2009-01-12,14.0,27.2,0.0,4.8,11.6,33.0,2.0,19.0,71.0,45.0,1018.5,1016.0,7.0,1.0,18.1,26.0,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,-0.602635,0.798017,0.092268,-0.995734,0,0,1,0,0,0,0,0,0,0,0
