id_Location,id_Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
NorahHead,2009-01-01,17.9,28.1,0.0,63.0,9.0,24.0,69.0,69.0,1005.3,1001.7,1.0,23.7,25.9,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,0.092268,-0.995734,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-02,19.1,23.8,0.0,69.0,15.0,28.0,62.0,62.0,1012.5,1012.8,4.0,22.6,23.0,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,-0.273663,0.961826,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-03,17.1,23.0,0.0,52.0,19.0,19.0,61.0,62.0,1021.1,1019.1,8.0,20.0,22.1,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,0.798017,-0.273663,-0.961826,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-04,19.7,25.0,0.0,61.0,39.0,46.0,70.0,68.0,1018.4,1015.2,0.0,22.8,23.7,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,0.739009,-0.673696,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-05,18.5,25.9,0.0,48.0,20.0,35.0,73.0,73.0,1013.4,1009.0,1.0,22.8,23.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,0.798017,0.739009,-0.673696,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-06,19.8,26.5,0.0,43.0,28.0,20.0,92.0,80.0,1011.8,1008.7,0.0,20.1,24.3,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,0.961826,-0.602635,0.798017,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-07,20.0,27.7,0.0,44.0,24.0,15.0,85.0,82.0,1010.1,1006.3,2.0,21.9,23.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,-0.602635,0.798017,0.445738,-0.895163,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-08,20.4,22.3,0.0,57.0,35.0,41.0,86.0,81.0,1011.3,1012.3,8.0,21.0,20.6,0.0,1.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.602635,0.798017,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-09,17.5,22.8,2.8,59.0,43.0,30.0,64.0,59.0,1019.0,1018.3,8.0,19.3,20.9,1.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.273663,0.961826,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-10,18.4,25.6,0.0,50.0,19.0,22.0,62.0,51.0,1016.8,1013.8,7.0,20.9,23.4,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,0.739009,-0.673696,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-11,19.6,27.3,0.0,43.0,19.0,30.0,69.0,66.0,1013.8,1011.6,1.0,23.0,24.0,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,0.739009,-0.673696,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-12,19.0,26.2,1.0,31.0,13.0,19.0,84.0,46.0,1015.2,1012.8,0.0,22.1,27.6,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,0.18375,-0.982973,0.18375,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-13,20.1,27.8,0.2,54.0,17.0,31.0,75.0,66.0,1019.3,1016.9,2.0,24.4,25.2,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,-0.850217,0.526432,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-14,19.8,26.7,0.0,52.0,22.0,41.0,78.0,69.0,1015.1,1011.5,0.0,23.3,25.1,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,0.739009,-0.673696,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-15,20.2,27.7,0.0,69.0,30.0,7.0,79.0,17.0,1009.6,1012.8,0.0,23.7,40.2,0.0,1.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,0.739009,-0.673696,0.445738,0.895163,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-16,19.0,24.7,10.4,57.0,11.0,20.0,78.0,69.0,1012.9,1009.5,8.0,20.4,23.3,1.0,1.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.982973,0.18375,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-17,18.0,21.1,1.2,61.0,48.0,43.0,65.0,63.0,1019.4,1019.8,7.0,18.9,20.4,1.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.273663,0.961826,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-18,14.5,23.8,0.0,41.0,11.0,22.0,66.0,54.0,1021.7,1020.1,1.0,20.1,22.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,0.798017,-0.982973,0.18375,0.739009,0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-19,17.2,26.2,0.0,54.0,30.0,35.0,65.0,67.0,1019.3,1015.5,5.0,22.9,24.7,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,0.798017,0.739009,-0.673696,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-20,18.9,26.7,0.0,48.0,20.0,37.0,74.0,71.0,1014.2,1010.7,0.0,23.5,25.5,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,0.739009,-0.673696,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-21,21.1,27.6,0.0,72.0,15.0,37.0,77.0,71.0,1012.3,1008.3,5.0,24.5,25.6,0.0,1.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,-0.982973,-0.18375,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-22,21.3,29.2,2.0,69.0,19.0,19.0,71.0,71.0,1009.7,1012.8,8.0,25.9,26.6,1.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,0.961826,0.932472,0.361242,0.445738,0.895163,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-23,21.7,33.2,0.0,41.0,19.0,24.0,61.0,67.0,1009.6,1007.9,1.0,29.2,26.5,0.0,0.0,0.866025,0.5,0.0,1.0,-0.602635,0.798017,0.092268,-0.995734,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-24,21.7,40.4,0.0,74.0,17.0,17.0,63.0,30.0,1005.4,1002.9,0.0,31.0,39.8,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,0.092268,-0.995734,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-25,20.4,23.8,0.0,65.0,31.0,24.0,69.0,68.0,1018.7,1018.1,8.0,21.4,23.2,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,-0.526432,-0.273663,0.961826,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-26,19.8,23.4,0.4,44.0,24.0,26.0,91.0,84.0,1018.6,1018.4,8.0,20.9,23.1,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,-0.982973,0.18375,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-27,20.6,26.1,0.0,31.0,13.0,13.0,94.0,70.0,1020.6,1019.6,7.0,21.7,25.9,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.982973,0.18375,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-28,20.1,28.1,0.2,41.0,6.0,30.0,80.0,70.0,1018.7,1016.3,6.0,24.2,26.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,0.445738,0.895163,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-29,20.9,29.6,0.2,50.0,9.0,39.0,81.0,75.0,1018.4,1016.3,3.0,24.0,26.4,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,-0.982973,-0.18375,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorahHead,2009-01-30,20.9,29.3,0.2,57.0,9.0,41.0,76.0,72.0,1018.5,1015.5,0.0,24.6,26.2,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,0.895163,0.739009,-0.673696,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
