id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
NorfolkIsland,2009-01-01,20.4,25.8,0.0,6.0,12.4,31.0,13.0,19.0,84.0,71.0,1014.5,1013.6,3.0,1.0,23.3,24.7,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,0.995734,0.932472,0.361242,0.445738,0.895163,0,0,1,0,0,0,0,0,0,0,0
NorfolkIsland,2009-01-02,20.9,26.7,0.2,8.0,10.3,31.0,15.0,6.0,79.0,77.0,1016.3,1015.5,2.0,5.0,25.0,25.1,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,0.961826,0.739009,-0.673696,0.739009,-0.673696,0,0,1,0,0,0,0,0,0,0,0
NorfolkIsland,2009-01-03,22.3,26.3,0.0,3.2,2.0,35.0,6.0,19.0,87.0,90.0,1014.6,1014.3,7.0,7.0,24.7,23.8,0.0,1.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,0.445738,0.895163,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
NorfolkIsland,2009-01-04,21.6,22.2,1.2,2.8,0.0,41.0,20.0,22.0,92.0,95.0,1016.0,1015.3,8.0,8.0,22.1,21.2,1.0,1.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,-0.602635,-0.798017,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
NorfolkIsland,2009-01-05,20.4,23.5,2.6,2.2,2.9,52.0,24.0,28.0,86.0,86.0,1015.3,1013.7,7.0,7.0,21.8,21.6,1.0,0.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,-0.602635,-0.798017,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
NorfolkIsland,2009-01-06,20.4,24.4,0.0,3.0,8.7,48.0,30.0,24.0,84.0,79.0,1014.5,1012.7,5.0,3.0,21.4,23.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,-0.602635,-0.798017,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
NorfolkIsland,2009-01-07,20.2,24.2,0.0,7.2,6.0,52.0,28.0,31.0,86.0,79.0,1014.1,1013.0,6.0,2.0,21.9,23.3,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,-0.602635,-0.798017,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
NorfolkIsland,2009-01-08,20.5,24.0,0.0,4.4,6.0,52.0,28.0,28.0,82.0,82.0,1011.5,1009.4,6.0,6.0,22.5,22.8,0.0,0.0,0.866025,0.5,0.0,1.0,0.445738,-0.895163,-0.602635,-0.798017,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
NorfolkIsland,2009-01-09,20.9,22.0,0.0,5.0,0.0,61.0,28.0,33.0,92.0,95.0,1003.9,1000.4,8.0,8.0,21.9,21.6,0.0,1.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.273663,0.961826,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
NorfolkIsland,2009-01-10,18.5,23.1,45.2,15.0,3.0,81.0,46.0,33.0,77.0,64.0,1001.7,1001.2,7.0,6.0,19.8,22.1,1.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.739009,0.673696,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
NorfolkIsland,2009-01-11,19.7,22.8,0.4,5.4,1.2,54.0,30.0,28.0,83.0,82.0,1006.4,1006.9,7.0,7.0,21.6,22.1,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.739009,0.673696,-0.602635,-0.798017,0,0,1,0,0,0,0,0,0,0,0
