id_Location,id_Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Nuriootpa,2009-01-01,13.3,22.7,0.0,9.6,12.2,61.0,22.0,28.0,66.0,37.0,1010.4,1011.4,7.0,2.0,16.7,21.1,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,0.673696,0.092268,0.995734,0.092268,0.995734,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-02,7.0,22.4,0.0,8.0,12.8,41.0,20.0,17.0,47.0,25.0,1020.1,1017.8,3.0,2.0,13.7,20.8,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.602635,-0.798017,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-03,10.5,28.9,0.0,8.0,12.9,41.0,19.0,7.0,35.0,13.0,1018.0,1014.5,4.0,5.0,16.8,26.4,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.445738,0.895163,-0.602635,0.798017,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-04,9.8,33.1,0.0,8.0,11.7,37.0,15.0,22.0,23.0,7.0,1014.1,1011.8,6.0,5.0,23.5,32.8,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,0.673696,0.445738,0.895163,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-05,12.5,32.6,0.0,11.2,13.3,35.0,9.0,17.0,26.0,12.0,1015.0,1012.4,0.0,1.0,22.0,31.0,0.0,0.0,0.866025,0.5,0.0,1.0,1.0,0.0,-0.602635,-0.798017,0.092268,0.995734,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-06,12.1,33.8,0.0,10.0,13.7,50.0,7.0,22.0,23.0,14.0,1012.1,1008.9,0.0,0.0,24.3,32.5,0.0,0.0,0.866025,0.5,0.0,1.0,-0.850217,0.526432,-0.850217,0.526432,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-07,11.7,26.0,0.0,11.6,11.8,43.0,11.0,17.0,53.0,44.0,1012.7,1012.4,4.0,3.0,18.2,24.7,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,0.673696,0.092268,0.995734,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-08,9.0,23.3,0.0,8.0,13.2,43.0,17.0,20.0,49.0,29.0,1019.3,1018.4,4.0,6.0,16.0,21.8,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.273663,0.961826,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-09,9.8,24.9,0.0,9.0,8.7,46.0,22.0,13.0,43.0,22.0,1018.6,1014.7,7.0,7.0,14.3,22.3,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.273663,-0.961826,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-11,11.2,28.3,0.0,7.6,12.2,52.0,11.0,20.0,61.0,20.0,1012.1,1010.3,2.0,1.0,17.4,27.6,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,0.739009,0.673696,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-12,13.0,32.4,0.0,8.8,13.2,44.0,20.0,7.0,47.0,19.0,1016.9,1014.1,1.0,0.0,19.0,30.0,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.273663,-0.961826,-0.273663,-0.961826,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-13,17.9,40.3,0.0,10.6,13.7,48.0,20.0,33.0,11.0,4.0,1011.3,1008.2,0.0,0.0,31.0,38.7,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,0.995734,-0.982973,-0.18375,0.445738,0.895163,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-14,17.2,34.8,0.0,14.8,11.6,35.0,2.0,17.0,75.0,19.0,1012.0,1009.8,2.0,2.0,20.6,33.8,0.0,0.0,0.866025,0.5,0.0,1.0,0.932472,0.361242,0.092268,-0.995734,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-15,10.8,27.3,0.0,9.6,11.8,39.0,11.0,17.0,61.0,25.0,1018.5,1017.2,4.0,4.0,16.8,26.4,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,-0.673696,-0.982973,0.18375,-0.982973,-0.18375,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-16,7.9,27.5,0.0,8.0,12.9,41.0,17.0,20.0,57.0,22.0,1022.3,1020.1,2.0,0.0,16.9,26.6,0.0,0.0,0.866025,0.5,0.0,1.0,-0.982973,-0.18375,-0.273663,0.961826,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-17,10.2,26.6,0.0,8.0,13.0,39.0,17.0,13.0,48.0,16.0,1023.0,1019.8,4.0,2.0,14.2,25.2,0.0,0.0,0.866025,0.5,0.0,1.0,0.092268,-0.995734,-0.273663,-0.961826,-0.273663,0.961826,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-18,14.2,31.6,0.0,10.0,13.3,35.0,15.0,17.0,29.0,10.0,1019.2,1015.7,3.0,3.0,21.1,30.1,0.0,0.0,0.866025,0.5,0.0,1.0,-0.273663,-0.961826,-0.273663,-0.961826,-0.850217,0.526432,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-19,12.3,38.0,0.0,10.2,13.4,48.0,9.0,24.0,17.0,5.0,1012.4,1008.7,0.0,0.0,28.1,37.2,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,0.673696,-0.850217,0.526432,0.932472,0.361242,0,0,1,0,0,0,0,0,0,0,0
Nuriootpa,2009-01-20,13.5,36.3,0.0,14.0,12.6,52.0,9.0,19.0,20.0,10.0,1007.6,1008.5,2.0,5.0,29.2,33.9,0.0,0.0,0.866025,0.5,0.0,1.0,0.739009,0.673696,-0.850217,0.526432,-0.850217,-0.526432,0,0,1,0,0,0,0,0,0,0,0
