id_Location,id_Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Month_cos,Month_sin,Season_cos,Season_sin,WindGustDir_cos,WindGustDir_sin,WindDir9am_cos,WindDir9am_sin,WindDir3pm_cos,WindDir3pm_sin,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017
Penrith,2008-12-01,15.2,32.6,0.0,59.0,13.0,22.0,35.0,23.0,1015.3,1012.75,24.4,31.3,0.0,0.0,1.0,0.0,1.0,0.0,0.932472,0.361242,0.739009,-0.673696,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-02,15.0,31.7,0.0,28.0,13.0,15.0,64.0,38.0,1015.3,1012.75,20.4,30.1,0.0,0.0,1.0,0.0,1.0,0.0,-0.982973,0.18375,0.739009,-0.673696,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-03,15.9,33.4,0.0,52.0,9.0,30.0,63.0,16.0,1015.3,1012.75,21.0,31.4,0.0,0.0,1.0,0.0,1.0,0.0,-0.602635,-0.798017,-0.982973,-0.18375,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-04,17.2,24.8,0.0,35.0,9.0,19.0,71.0,55.0,1015.3,1012.75,19.5,22.7,0.0,0.0,1.0,0.0,1.0,0.0,0.445738,-0.895163,-0.273663,0.961826,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-05,17.8,32.2,0.0,28.0,7.0,15.0,97.0,48.0,1015.3,1012.75,19.8,29.6,0.0,0.0,1.0,0.0,1.0,0.0,-0.982973,0.18375,-0.850217,0.526432,-0.850217,0.526432,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-06,18.1,36.2,0.2,46.0,7.0,24.0,75.0,26.0,1015.3,1012.75,25.9,35.7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.092268,-0.995734,0.092268,0.995734,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-07,19.3,27.8,0.0,50.0,4.0,24.0,99.0,89.0,1015.3,1012.75,20.3,21.7,0.0,1.0,1.0,0.0,1.0,0.0,-0.850217,-0.526432,-0.850217,0.526432,-0.602635,-0.798017,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-08,17.2,26.9,12.0,37.0,6.0,11.0,84.0,99.0,1015.3,1012.75,20.5,19.6,1.0,1.0,1.0,0.0,1.0,0.0,-0.602635,0.798017,1.0,0.0,0.445738,-0.895163,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-09,15.9,33.0,4.8,35.0,7.0,15.0,89.0,21.0,1015.3,1012.75,20.0,32.2,1.0,0.0,1.0,0.0,1.0,0.0,0.092268,0.995734,0.739009,-0.673696,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-11,17.3,18.7,0.0,31.0,13.0,11.0,100.0,84.0,1015.3,1012.75,17.4,18.6,0.0,1.0,1.0,0.0,1.0,0.0,0.092268,-0.995734,-0.602635,0.798017,-0.602635,0.798017,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-12,15.5,21.1,6.8,17.0,7.0,9.0,100.0,45.0,1015.3,1012.75,15.8,16.7,1.0,1.0,1.0,0.0,1.0,0.0,0.739009,-0.673696,-0.273663,-0.961826,-0.982973,-0.18375,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-13,15.8,32.7,42.2,76.0,9.0,31.0,100.0,35.0,1015.3,1012.75,21.1,32.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.602635,-0.798017,0.932472,0.361242,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-14,19.1,25.5,0.0,61.0,26.0,30.0,42.0,37.0,1015.3,1012.75,21.8,23.3,0.0,0.0,1.0,0.0,1.0,0.0,0.739009,0.673696,1.0,0.0,0.932472,0.361242,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-15,15.1,27.3,0.0,43.0,19.0,9.0,42.0,34.0,1015.3,1012.75,20.0,25.8,0.0,0.0,1.0,0.0,1.0,0.0,-0.850217,-0.526432,-0.982973,0.18375,-0.602635,-0.798017,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-16,12.9,30.5,0.0,24.0,2.0,13.0,70.0,32.0,1015.3,1012.75,18.4,29.2,0.0,0.0,1.0,0.0,1.0,0.0,0.445738,-0.895163,-0.273663,0.961826,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-17,14.8,31.6,0.0,50.0,4.0,13.0,69.0,30.0,1015.3,1012.75,21.9,30.4,0.0,0.0,1.0,0.0,1.0,0.0,-0.273663,-0.961826,-0.982973,-0.18375,-0.273663,-0.961826,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-18,18.6,33.5,0.0,56.0,7.0,30.0,60.0,26.0,1015.3,1012.75,23.3,32.1,0.0,0.0,1.0,0.0,1.0,0.0,-0.602635,-0.798017,0.739009,-0.673696,0.445738,0.895163,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-19,15.8,28.5,0.0,54.0,6.0,20.0,44.0,27.0,1015.3,1012.75,23.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.273663,-0.961826,0.739009,0.673696,-0.602635,-0.798017,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-20,14.2,24.1,0.0,39.0,19.0,20.0,52.0,55.0,1015.3,1012.75,18.3,20.6,0.0,0.0,1.0,0.0,1.0,0.0,-0.982973,-0.18375,-0.602635,0.798017,-0.602635,-0.798017,0,1,0,0,0,0,0,0,0,0,0
Penrith,2008-12-21,10.7,25.8,0.0,30.0,6.0,13.0,66.0,40.0,1015.3,1012.75,18.6,24.1,0.0,0.0,1.0,0.0,0.0,1.0,-0.982973,0.18375,-0.982973,0.18375,0.739009,0.673696,0,1,0,0,0,0,0,0,0,0,0
